time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/loss,train/clip_fraction,train/std,train/n_updates,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl
15,3667,64.69,30720,338.27535045,8,-0.006916505779372528,-0.602275500446558,0.9405845142900944,2404.341552734375,0.058642578125,0.3274034261703491,8480,7257.0011337280275,0.0003,0.2,0.0078000696
16,3908,65.41,32768,338.52337156999994,8,-0.008486604383506346,-0.6016286466270685,0.9680503346025944,1410.6314697265625,0.083544921875,0.3276802897453308,8490,3729.926524353027,0.0003,0.2,0.010569887
17,4151,67.97,34816,368.42000984,8,-0.005315831063489896,-0.6028499234467745,0.8656252473592758,3334.387451171875,0.041552734375,0.32781916856765747,8500,14371.02075881958,0.0003,0.2,0.0083459485
18,4396,72.56,36864,411.32587773,8,-0.007144910626811907,-0.6030990511178971,0.9213342145085335,4113.99658203125,0.05732421875,0.32755836844444275,8510,8525.127981567382,0.0003,0.2,0.007021502
19,4636,72.47,38912,410.29693245000004,8,-0.007565687774331309,-0.6004637110978365,0.899616576731205,2451.09228515625,0.046240234375,0.3271094560623169,8520,12935.314279174805,0.0003,0.2,0.0071116583
20,4877,71.89,40960,287.91213581000005,8,-0.006691818495164625,-0.5953844979405403,0.9104926884174347,3271.998779296875,0.033984375,0.3258773684501648,8530,8441.43663711548,0.0003,0.2,0.0051978948
21,5110,78.62,43008,325.10901916999995,8,-0.007637777333729901,-0.5889506194740534,0.930973120033741,2973.75634765625,0.060009765625,0.32496726512908936,8540,8264.76548614502,0.0003,0.2,0.0077912146
22,5352,79.38,45056,293.25917083999997,8,-0.004647615359863267,-0.5836356844753027,0.9390499293804169,1309.520263671875,0.09013671875,0.32418346405029297,8550,5146.2882663726805,0.0003,0.2,0.009592412
23,5593,80.64,47104,308.5698381,8,-0.005493607824610081,-0.5795006662607193,0.8579918146133423,11698.65625,0.02939453125,0.32392728328704834,8560,16625.551251220702,0.0003,0.2,0.0046730386
24,5836,79.82,49152,294.2533002100001,8,-0.010076959675643593,-0.5776285529136658,0.9097624346613884,2489.60693359375,0.095068359375,0.32349029183387756,8570,10451.538548278808,0.0003,0.2,0.009142131
25,6076,74.16,51200,331.58933477,8,-0.007592875038972125,-0.5758801817893981,0.8723023682832718,2666.675537109375,0.06884765625,0.3234065771102905,8580,13080.91876296997,0.0003,0.2,0.007535221
26,6321,71.61,53248,300.36139288000004,8,-0.007843859464628622,-0.5754775058478117,0.919700913131237,2552.099365234375,0.057763671875,0.32315072417259216,8590,7389.09630355835,0.0003,0.2,0.007730459
27,6566,72.76,55296,331.2970211099999,8,-0.005461312271654606,-0.5785546533763408,0.9258395284414291,1752.1522216796875,0.069287109375,0.3246194124221802,8600,6613.427038192749,0.0003,0.2,0.00826542
28,6800,72.43,57344,378.14986626999996,8,-0.007262788139632903,-0.5829075552523136,0.9290451779961586,4458.73095703125,0.086572265625,0.3244740962982178,8610,7783.550050354004,0.0003,0.2,0.010784861
29,7031,81.3,59392,412.94243604999997,8,-0.0068261156731750814,-0.5812458749860525,0.8895076289772987,10051.9541015625,0.0552734375,0.3239819407463074,8620,9515.579364776611,0.0003,0.2,0.007295951
30,7276,81.61,61440,476.93276686999997,8,-0.010385016365034971,-0.5793762475252151,0.9531865306198597,1340.31103515625,0.084228515625,0.3240683674812317,8630,3552.478333282471,0.0003,0.2,0.0130467545
31,7503,86.74,63488,529.99996312,8,-0.0043141876376466826,-0.5782867670059204,0.9219021871685982,3712.1943359375,0.04814453125,0.3233453631401062,8640,8101.003618621826,0.0003,0.2,0.0061265705
32,7737,95.41,65536,523.8536645,8,-0.009706657176138833,-0.5742556888610124,0.931500643491745,7455.29541015625,0.080029296875,0.32283973693847656,8650,5484.576352691651,0.0003,0.2,0.008552697
33,7983,82.23,67584,416.24317536,8,-0.007412321283482015,-0.5729497265070677,0.8426217585802078,2368.58837890625,0.031298828125,0.3229944705963135,8660,11117.326969146729,0.0003,0.2,0.004781579
34,8230,80.38,69632,339.17257613000004,8,-0.009742045894381591,-0.5752582386136055,0.9549381881952286,1521.22509765625,0.098388671875,0.32370197772979736,8670,4143.137468719482,0.0003,0.2,0.008247624
35,8464,76.43,71680,326.90436753,8,-0.006966379898949526,-0.5797794189304113,0.8817748054862022,4499.18115234375,0.05869140625,0.32434070110321045,8680,9673.87594833374,0.0003,0.2,0.009152763
36,8711,68.36,73728,379.1504160899999,8,-0.009897202387219296,-0.5827291529625654,0.8790360540151596,7207.92333984375,0.0716796875,0.3246198296546936,8690,10597.265502929688,0.0003,0.2,0.009763562
37,8955,73.19,75776,359.1654199199999,8,-0.009461687259317841,-0.5846641335636378,0.9570525847375393,2444.408203125,0.147998046875,0.32487523555755615,8700,3136.368605422974,0.0003,0.2,0.01797248
