rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/loss,train/learning_rate,train/n_updates
-817.47122613,324,0.05,6447,60468,204.15,9,0.6783785820007324,0.0001,202616
-732.15620381,328,0.05,6506,61016,197.91,9,0.8989695310592651,0.0001,202753
-712.3122725099998,332,0.05,6598,61882,199.31,9,0.7057942152023315,0.0001,202970
-684.67219559,336,0.05,6672,62571,201.9,9,0.9231764078140259,0.0001,203142
-626.55368107,340,0.05,6732,63117,200.48,9,0.8330567479133606,0.0001,203279
-590.79755782,344,0.05,6782,63568,189.21,9,14.912960052490234,0.0001,203391
-544.75775769,348,0.05,6834,64040,188.99,9,0.5028704404830933,0.0001,203509
-538.9483276000001,352,0.05,6903,64678,188.71,9,0.6734663248062134,0.0001,203669
-527.8514004100001,356,0.05,6948,65076,187.85,9,1.1650300025939941,0.0001,203768
-477.76569234000004,360,0.05,6996,65509,180.16,9,1.0393691062927246,0.0001,203877
-463.81624081999996,364,0.05,7157,67063,182.58,9,1.174149990081787,0.0001,204265
-428.23596867,368,0.05,7211,67556,182.93,9,0.46868273615837097,0.0001,204388
-369.48100073,372,0.05,7276,68161,180.24,9,1.1562587022781372,0.0001,204540
-365.6697783200001,376,0.05,7324,68587,180.76,9,0.8187555074691772,0.0001,204646
-363.44005988000004,380,0.05,7379,69081,173.67,9,0.5539795160293579,0.0001,204770
-339.53181418,384,0.05,7413,69371,171.63,9,0.9652261734008789,0.0001,204842
-327.64034767,388,0.05,7452,69710,163.01,9,0.8347437381744385,0.0001,204927
-361.48611317999996,392,0.05,7597,71111,171.69,9,0.9369499683380127,0.0001,205277
-370.20184691000003,396,0.05,7657,71659,169.48,9,0.9631176590919495,0.0001,205414
-311.6512358,400,0.05,7692,71958,164.29,9,0.9918289184570312,0.0001,205489
-272.1345934700001,404,0.05,7771,72700,159.37,9,0.6428694128990173,0.0001,205674
-257.14872312,408,0.05,7827,73210,158.95,9,9.52329158782959,0.0001,205802
-253.39864516,412,0.05,7910,73992,160.53,9,0.8600959777832031,0.0001,205997
-279.26920079,416,0.05,7965,74494,154.89,9,0.659906268119812,0.0001,206123
-305.46388365,420,0.05,8022,75006,151.5,9,1.2454900741577148,0.0001,206251
-254.64353954999999,424,0.05,8098,75714,152.46,9,0.780550479888916,0.0001,206428
-287.59333055,428,0.05,8145,76140,151.24,9,11.472005844116211,0.0001,206534
-247.92553527,432,0.05,8205,76688,148.06,9,0.9821804165840149,0.0001,206671
-269.95648013000005,436,0.05,8325,77838,152.67,9,0.5225567817687988,0.0001,206959
-284.50080643,440,0.05,8380,78340,152.23,9,0.8690385222434998,0.0001,207084
-267.91919516,444,0.05,8428,78768,152.0,9,0.9463865756988525,0.0001,207191
-255.78277701000007,448,0.05,8516,79602,155.62,9,11.140836715698242,0.0001,207400
-263.72733311,452,0.05,8579,80180,155.02,9,32.56575012207031,0.0001,207544
-267.55674208,456,0.05,8718,81513,164.37,9,0.5777013301849365,0.0001,207878
-247.17171117,460,0.05,8772,82008,164.99,9,0.532167911529541,0.0001,208001
-223.40508946000003,464,0.05,8830,82533,154.7,9,0.7663555145263672,0.0001,208133
-256.27702478,468,0.05,8883,83021,154.65,9,1.1101319789886475,0.0001,208255
-266.0742423,472,0.05,8920,83336,151.75,9,0.9113550186157227,0.0001,208333
-289.13927719000003,476,0.05,9001,84094,155.07,9,11.856873512268066,0.0001,208523
-255.02080146000003,480,0.05,9044,84482,154.01,9,0.6535483598709106,0.0001,208620
-277.77067977,484,0.05,9083,84820,154.49,9,0.9434964656829834,0.0001,208704
-261.1654571800001,488,0.05,9192,85860,161.5,9,14.857587814331055,0.0001,208964
-234.51747680000005,492,0.05,9259,86478,153.67,9,0.6775556802749634,0.0001,209119
-238.89415514000004,496,0.05,9298,86814,151.55,9,0.8907976150512695,0.0001,209203
-286.04473156,500,0.05,9384,87628,156.7,9,0.7613201141357422,0.0001,209406
-288.64116557,504,0.05,9509,88829,161.29,9,1.2738730907440186,0.0001,209707
-250.81481647,508,0.05,9580,89479,162.69,9,1.0210020542144775,0.0001,209869
-277.75202516999997,512,0.05,9645,90083,160.91,9,1.0667524337768555,0.0001,210020
-258.30105074999994,516,0.05,9719,90767,162.73,9,0.8836163878440857,0.0001,210191
-264.93059204,520,0.05,9803,91563,165.57,9,0.7778863310813904,0.0001,210390
-322.33779586,524,0.05,9871,92191,164.77,9,0.8940112590789795,0.0001,210547
-344.81167283999997,528,0.05,9921,92643,165.03,9,0.8251246213912964,0.0001,210660
-356.67730106999994,532,0.05,9975,93133,164.45,9,1.18288254737854,0.0001,210783
-374.85213903,536,0.05,10169,95023,171.85,9,0.7881449460983276,0.0001,211255
-389.45970005999993,540,0.05,10212,95398,170.58,9,0.6456097960472107,0.0001,211349
-426.29416593,544,0.05,10264,95868,171.0,9,0.9808080196380615,0.0001,211466
-472.50883756,548,0.05,10318,96362,167.6,9,0.9652118682861328,0.0001,211590
-468.55217152000006,552,0.05,10378,96912,167.32,9,0.838469386100769,0.0001,211727
-455.50099365,556,0.05,10486,97945,164.32,9,0.862242579460144,0.0001,211986
-437.4548592599999,560,0.05,10518,98218,162.1,9,0.883748471736908,0.0001,212054
-436.7598655299998,564,0.05,10562,98608,160.75,9,12.514985084533691,0.0001,212151
-440.51781859999994,568,0.05,10626,99195,161.74,9,32.71474838256836,0.0001,212298
-406.55825892,572,0.05,10666,99540,162.04,9,0.8477210998535156,0.0001,212384
