time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/clip_fraction,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/std,train/clip_range,train/explained_variance
59392,51.0,309.98477314,7,7559,29,0.00406843,0.013525390625,10636.705381011963,0.0003,-1.3243449315428735,2495.840576171875,-0.00315827589656692,2730,0.47013232111930847,0.2,0.9318513795733452
61440,48.68,238.27954056999997,7,7821,30,0.0045108874,0.037890625,6306.715893936157,0.0003,-1.3248475030064584,1128.457275390625,-0.003558557407814078,2740,0.4710035026073456,0.2,0.9528843834996223
63488,48.47,190.84652441999998,7,8082,31,0.005499384,0.03134765625,11254.635726928711,0.0003,-1.3275206565856934,3313.559326171875,-0.004540617678139824,2750,0.4714944362640381,0.2,0.911252461373806
65536,49.42,126.64659178000002,7,8339,32,0.002505674,0.01845703125,12365.510457611084,0.0003,-1.3279429033398629,4093.85498046875,-0.00295605815917952,2760,0.47118079662323,0.2,0.937095120549202
67584,47.58,82.79165450999999,7,8603,33,0.002385497,0.00673828125,14260.316703796387,0.0003,-1.3268849801272153,3398.993896484375,-0.0015893808333203197,2770,0.4709920287132263,0.2,0.8894042372703552
69632,48.33,114.11328132000003,7,8860,34,0.0035482368,0.01435546875,9458.446829223632,0.0003,-1.3267904106527566,2147.951904296875,-0.003596925086458214,2780,0.47090351581573486,0.2,0.9523373916745186
71680,50.52,140.15479890000003,7,9118,35,0.0049775047,0.033935546875,13264.407460021972,0.0003,-1.3274366233497858,13340.841796875,-0.004351174274052028,2790,0.4714547395706177,0.2,0.9063371121883392
73728,50.97,201.68613079999994,7,9376,36,0.0036718808,0.022265625,4726.439263534546,0.0003,-1.3284425996243954,1267.0750732421875,-0.003763107156555634,2800,0.4713495075702667,0.2,0.9543191455304623
75776,49.85,141.77093059,7,9637,37,0.0040655057,0.016845703125,10424.322699356078,0.0003,-1.327895287796855,3258.19287109375,-0.003504365372646134,2810,0.47100967168807983,0.2,0.9239767119288445
77824,49.67,157.61997587,7,9896,38,0.0045014434,0.04609375,10058.524059295654,0.0003,-1.3248438451439142,2645.581787109375,-0.0058008135922136715,2820,0.47006356716156006,0.2,0.9462206549942493
79872,48.65,175.10468803,7,10158,39,0.003270145,0.0181640625,14745.616761016845,0.0003,-1.3231092777103186,5538.2275390625,-0.0034505759336752816,2830,0.47016432881355286,0.2,0.9111933037638664
81920,50.46,293.81847533,7,10415,40,0.0030970597,0.022265625,5158.922570800782,0.0003,-1.3215710666030644,2298.558837890625,-0.003439071285538375,2840,0.4692245125770569,0.2,0.957360815256834
83968,52.13,337.73663554,7,10672,41,0.0056928894,0.040576171875,7165.567854690552,0.0003,-1.3165161352604628,1028.57666015625,-0.0055235221807379276,2850,0.46770137548446655,0.2,0.935560442507267
86016,52.51,274.77772255,7,10928,42,0.005078958,0.03427734375,5561.402026367187,0.0003,-1.3109193012118339,1851.0615234375,-0.004903686931356788,2860,0.4666904807090759,0.2,0.9457197412848473
88064,53.35,274.13392522,7,11184,43,0.0039514527,0.03876953125,5129.800131607056,0.0003,-1.3087451688945293,1965.2808837890625,-0.004458031512331218,2870,0.46647363901138306,0.2,0.9681290499866009
90112,51.0,230.30196850000004,7,11445,44,0.0031389194,0.02470703125,7360.712992095947,0.0003,-1.3064228013157844,4431.1494140625,-0.0037163111672271045,2880,0.46561697125434875,0.2,0.9476677216589451
92160,50.73,262.13302039,7,11702,45,0.0034830803,0.02041015625,8904.415251159668,0.0003,-1.3032841749489308,1012.4627075195312,-0.0031885710428468882,2890,0.4650607705116272,0.2,0.9473764598369598
94208,52.16,244.78892374999998,7,11957,46,0.006105664,0.03173828125,7860.889910316468,0.0003,-1.3020865585654975,721.3916015625,-0.004183509232825599,2900,0.4650411605834961,0.2,0.9505390636622906
96256,54.09,319.77990448,7,12212,47,0.0048686396,0.0546875,11184.25740814209,0.0003,-1.3011269342154264,1821.0426025390625,-0.006316558411344886,2910,0.46471983194351196,0.2,0.9063169732689857
98304,55.29,363.74247989,7,12465,48,0.0064596036,0.066064453125,12656.77777786255,0.0003,-1.3004084277898074,4662.6083984375,-0.006776027879095636,2920,0.4647957682609558,0.2,0.9184157103300095
100352,54.84,350.38292991000003,7,12723,49,0.0040323185,0.03095703125,6046.062868118286,0.0003,-1.2993170700967311,763.0926513671875,-0.003192998337908648,2930,0.463834285736084,0.2,0.936712235212326
