time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_range
9,3828,36864,18,619.3275862068965,-1524.3339741896552,-3.0994415283203125e-06,-2.817560742795467,179.69717407226562,0.9894546866416931,480.3451867580414,0.027587890625,170,0.0003,-0.004211202973965556,0.0038110092,0.2
9,4040,38912,19,629.311475409836,-1505.388755147541,-1.6689300537109375e-06,-2.8173109978437423,328.6071472167969,0.9941760897636414,1028.7526760578155,0.02060546875,180,0.0003,-0.002487371623283252,0.0024130256,0.2
9,4252,40960,20,641.1111111111111,-1511.0984941428571,-1.1920928955078125e-07,-2.8269905894994736,125.02430725097656,0.9982150197029114,5519.596781158447,0.150830078125,190,0.0003,0.0036164603268844077,0.011936922,0.2
9,4463,43008,21,652.1846153846154,-1534.4125741846153,-5.960464477539062e-07,-2.8341894686222076,67.34819793701172,1.0002894401550293,206.14160711765288,0.0201171875,200,0.0003,-0.005241287041280884,0.0047606807,0.2
9,4674,45056,22,662.5970149253732,-1547.1908945522387,-3.0994415283203125e-06,-2.8317278288304806,109.3017349243164,0.9965901374816895,329.4429668903351,0.022607421875,210,0.0003,-0.004682904564833734,0.0048954682,0.2
9,4885,47104,23,672.4057971014493,-1536.9140466086958,-1.1920928955078125e-06,-2.8209629967808723,114.69963073730469,0.9931321144104004,201.99525249004364,0.104296875,220,0.0003,0.0009021111676702276,0.008288298,0.2
9,5096,49152,24,679.4507042253521,-1555.889450380282,-4.76837158203125e-07,-2.8071630261838436,51.91049575805664,0.9821250438690186,117.62445600032807,0.06357421875,230,0.0003,-0.003901061453507282,0.005960363,0.2
9,5307,51200,25,688.2602739726027,-1579.9894219863013,-4.76837158203125e-07,-2.794087415933609,1804.3037109375,0.9805736541748047,1133.6638345718384,0.000634765625,240,0.0003,-0.0013040174490015488,0.0019933693,0.2
9,5520,53248,26,700.6052631578947,-1603.4904709473685,-3.5762786865234375e-06,-2.792902061343193,42.01976013183594,0.9797630310058594,163.8866944670677,0.006298828125,250,0.0003,-0.002250847165851155,0.0024052062,0.2
9,5731,55296,27,708.3076923076923,-1605.876432974359,-5.960464477539062e-07,-2.7934492081403732,125.8498306274414,0.9819466471672058,286.4694761276245,0.0078125,260,0.0003,-0.002294298754713964,0.003989092,0.2
9,5942,57344,28,715.625,-1605.9571526124998,5.364418029785156e-07,-2.8148594081401823,45.51203155517578,0.9969449043273926,101.84457421302795,0.109912109375,270,0.0003,-0.0022217170408111997,0.0073071974,0.2
9,6153,59392,29,722.5853658536586,-1624.066279817073,-3.933906555175781e-06,-2.836031809449196,64.40227508544922,1.0032997131347656,101.59590917825699,0.0876953125,280,0.0003,-0.005466208401776385,0.00720105,0.2
9,6365,61440,30,729.2142857142857,-1642.159875392857,-2.384185791015625e-07,-2.839257097244263,98.92852783203125,1.002619981765747,218.49880685806275,0.0044921875,290,0.0003,-0.0014556830348738004,0.003194741,0.2
9,6582,63488,31,732.0116279069767,-1648.1897593837205,-1.1920928955078125e-06,-2.8408974751830103,78.65006256103516,1.005309820175171,195.72180752754213,0.00517578125,300,0.0003,-0.0024395337895839475,0.0029262872,0.2
9,6792,65536,32,738.125,-1654.6684437727274,-1.430511474609375e-06,-2.8461858361959456,76.37722778320312,1.0126582384109497,704.241974234581,0.04677734375,310,0.0003,0.0007059909054078162,0.004330569,0.2
9,7003,67584,33,743.9666666666667,-1656.1271694444447,4.76837158203125e-07,-2.860170631855726,94.47618103027344,1.0127348899841309,176.09548654556275,0.03525390625,320,0.0003,-0.0013889186273445375,0.0034440528,0.2
9,7214,69632,34,749.554347826087,-1661.4167037934783,1.1920928955078125e-07,-2.8468452796339987,67.05877685546875,0.9974571466445923,141.46082735061646,0.05966796875,330,0.0003,-0.004992821312043816,0.0043061306,0.2
9,7427,71680,35,748.4842105263158,-1646.8983509473683,5.960464477539063e-08,-2.8383502744138243,48.3778190612793,1.002571702003479,114.88333122730255,0.0615234375,340,0.0003,-0.002813238388625905,0.0036485372,0.2
9,7638,73728,36,753.6907216494845,-1649.0742025979382,-2.384185791015625e-07,-2.83483110666275,878.4501342773438,0.9983496069908142,6251.433540821075,0.06376953125,350,0.0003,-0.002524573042319389,0.01089236,0.2
9,7849,75776,37,758.6868686868687,-1651.0223409797977,-1.1920928955078125e-07,-2.8251291938126086,69.93724060058594,0.9950063824653625,183.90199415683747,0.08271484375,360,0.0003,-0.001798495323600946,0.008513872,0.2
9,8060,77824,38,762.95,-1639.1321772799995,0.00014775991439819336,-2.822693222761154,23.859222412109375,0.9935705661773682,82.58361822366714,0.027001953125,370,0.0003,-0.0013043464030488394,0.0035433318,0.2
9,8271,79872,39,778.09,-1676.6897268399998,0.10513514280319214,-2.822042679041624,74.95536041259766,0.9937384724617004,142.44605848789215,0.00478515625,380,0.0003,-0.001978817005874589,0.0019122281,0.2
9,8482,81920,40,791.62,-1698.5068678799998,-0.2344733476638794,-2.823471635580063,20.8530330657959,0.9951357245445251,119.60924777984619,0.00654296875,390,0.0003,-0.0017746573634212837,0.0026605688,0.2
9,8692,83968,41,802.57,-1719.6069452000002,-0.049157023429870605,-2.8222329400479795,51.2685546875,0.992053747177124,105.85778130888939,0.053369140625,400,0.0003,-0.00475151797872968,0.0069530634,0.2
9,8903,86016,42,811.25,-1728.5433302500003,0.12288212776184082,-2.82077491953969,40.505531311035156,0.9943631887435913,118.55388333797455,0.02431640625,410,0.0003,-0.0012845232529798522,0.004131606,0.2
9,9114,88064,43,820.66,-1750.3424395900001,0.27231311798095703,-2.820688171684742,34.4324836730957,0.9910436868667603,140.68092181682587,0.00107421875,420,0.0003,-0.0011420226022892167,0.0017921268,0.2
9,9325,90112,44,834.76,-1768.36830755,-0.020736336708068848,-2.817171001434326,36.025543212890625,0.9913325905799866,124.13611396551133,0.001513671875,430,0.0003,-0.000893541518598795,0.0020860638,0.2
9,9538,92160,45,853.19,-1800.56276981,0.35397809743881226,-2.8155349738895894,82.84394073486328,0.9888763427734375,85.51412568092346,0.0119140625,440,0.0003,-0.002227793596466654,0.0031091091,0.2
9,9749,94208,46,868.27,-1823.95890859,-0.14828622341156006,-2.811688157171011,77.5719985961914,0.9878125786781311,123.65402013063431,0.011669921875,450,0.0003,-0.0012382451677694917,0.0020071755,0.2
9,9960,96256,47,872.85,-1817.7976576,0.4035235047340393,-2.8089617542922496,33.9284553527832,0.9861113429069519,103.11960436105728,0.00732421875,460,0.0003,-0.001882033895526547,0.0021944833,0.2
9,10171,98304,48,887.36,-1842.03172934,0.04349029064178467,-2.8071046873927115,4176.56591796875,0.9863579273223877,4509.399780154228,0.0,470,0.0003,-0.0003196452606061939,0.00044766814,0.2
9,10382,100352,49,898.1,-1869.6757939800002,0.4265907406806946,-2.80734428986907,53.92778396606445,0.9862778782844543,248.44758100509642,0.016357421875,480,0.0003,-0.0033268081169808283,0.0046040574,0.2
9,10593,102400,50,904.04,-1879.7330610899999,0.7946292757987976,-2.808262162655592,15.584747314453125,0.9869818687438965,67.0365402907133,0.005078125,490,0.0003,-0.002760914254031377,0.002398305,0.2
9,10804,104448,51,916.74,-1902.5958483099998,0.562749832868576,-2.811898113787174,17.97928237915039,0.9903541803359985,64.87229698300362,0.00390625,500,0.0003,-0.0019315524070407264,0.0020587496,0.2
9,11016,106496,52,915.34,-1894.5778972599999,0.8915318995714188,-2.8163948588073255,27.843088150024414,0.9911031723022461,106.84029479026795,0.011376953125,510,0.0003,-0.0017932101611222607,0.002665047,0.2
9,11227,108544,53,929.07,-1920.41511917,0.19356149435043335,-2.8173765994608404,312.6415100097656,0.9912552833557129,4810.018084359169,0.000537109375,520,0.0003,-0.0011755786756111775,0.0019324467,0.2
9,11438,110592,54,923.02,-1869.9690944800002,0.5092986226081848,-2.81689567938447,63.3218879699707,0.9905403852462769,746.1552482962609,0.0134765625,530,0.0003,-0.002442522487035603,0.0050067706,0.2
9,11650,112640,55,928.08,-1844.76819709,0.1740666627883911,-2.8159774422645567,162.76077270507812,0.9904500246047974,4384.82148797512,0.0,540,0.0003,-0.0005329814179276582,0.0004163468,0.2
9,11862,114688,56,928.21,-1839.4037740499998,0.06799978017807007,-2.8161572337150576,103.12132263183594,0.9907585978507996,5222.667460489273,0.0017578125,550,0.0003,-0.0007424906554660993,0.0012329209,0.2
9,12073,116736,57,928.21,-1835.70440814,0.08863979578018188,-2.816423710435629,300.6385192871094,0.990763783454895,4273.749895143509,0.00498046875,560,0.0003,-0.0025802471216593405,0.0030815012,0.2
9,12284,118784,58,931.51,-1828.71510135,0.7867497801780701,-2.8169900454580783,46.28367614746094,0.9912832975387573,180.19855176210405,0.0857421875,570,0.0003,-0.00967062604468083,0.007945212,0.2
9,12495,120832,59,939.4,-1862.5448636999997,0.6197159588336945,-2.814607145637274,33.21242904663086,0.9874308705329895,125.0612456202507,0.014599609375,580,0.0003,-0.003692469245288521,0.0021756701,0.2
9,12706,122880,60,938.45,-1857.79536413,0.8671739399433136,-2.809118829667568,16.33045768737793,0.9873793125152588,60.858396074175836,0.06865234375,590,0.0003,-0.007653963523625862,0.0059303083,0.2
9,12917,124928,61,945.24,-1860.8874786499998,0.045423150062561035,-2.8045945934951306,342.4707336425781,0.9828345775604248,873.585741186142,0.01494140625,600,0.0003,-0.0022626748497714287,0.0035754004,0.2
9,13128,126976,62,945.24,-1857.7930991900002,0.8473693132400513,-2.794724822789431,67.45584106445312,0.9779586791992188,77.973851531744,0.03173828125,610,0.0003,-0.00492545182351023,0.0060473406,0.2
9,13341,129024,63,941.42,-1834.6177188000001,0.850285992026329,-2.779665839672089,7.771967887878418,0.9703764915466309,75.56748741269112,0.0541015625,620,0.0003,-0.004585527195013128,0.0063033244,0.2
9,13551,131072,64,945.47,-1855.5822778499999,0.6237180829048157,-2.7732567131519317,357.1343688964844,0.9708319306373596,455.7834961950779,0.03798828125,630,0.0003,-0.0035875796915206593,0.00430922,0.2
9,13762,133120,65,950.83,-1883.7351192300002,0.6796876192092896,-2.7925124280154705,560.17626953125,0.989233136177063,486.5551648259163,0.038916015625,640,0.0003,-0.007640583417378366,0.0057715666,0.2
9,13973,135168,66,950.04,-1887.2849915200004,0.8642452955245972,-2.8094814315438272,131.6453094482422,0.984906017780304,117.61137944459915,0.037255859375,650,0.0003,-0.003062352421693504,0.005630369,0.2
9,14184,137216,67,949.27,-1915.64828487,0.7352594435214996,-2.8038605846464635,377.2837829589844,0.9853011965751648,460.7714324772358,0.01982421875,660,0.0003,-0.0015847559909161646,0.003889036,0.2
9,14395,139264,68,949.27,-1911.7914529400002,0.7869144976139069,-2.80488700568676,27.685142517089844,0.986592173576355,548.0642121434212,0.0361328125,670,0.0003,-0.0035042881667322946,0.004164367,0.2
9,14606,141312,69,949.27,-1941.21464047,0.9129284769296646,-2.8036194115877153,10.66373062133789,0.9825437068939209,93.23247635364532,0.06357421875,680,0.0003,-0.005500191937608178,0.008886714,0.2
9,14818,143360,70,949.56,-1947.40048989,0.6998769044876099,-2.7911954686045646,85.26239013671875,0.9722589254379272,377.4206952571869,0.060205078125,690,0.0003,-0.004586033061059425,0.004405754,0.2
9,15030,145408,71,949.56,-1940.8184685000003,0.8124959617853165,-2.765923932939768,79.87479400634766,0.9597498774528503,408.1058609485626,0.041259765625,700,0.0003,-0.005010793535620906,0.005679995,0.2
9,15241,147456,72,949.56,-1924.24572228,0.9068521484732628,-2.741331226378679,42.86526870727539,0.9493962526321411,92.70206851661206,0.040087890625,710,0.0003,-0.005695685483806301,0.0036983471,0.2
9,15452,149504,73,949.56,-1905.4162709499997,0.8852275758981705,-2.718097747117281,20.693214416503906,0.9359196424484253,95.27870388627052,0.0443359375,720,0.0003,-0.00558274173818063,0.0059513086,0.2
9,15663,151552,74,949.56,-1904.7201193499995,0.48408085107803345,-2.685803709924221,10.655309677124023,0.9263651371002197,35.96651331782341,0.072998046875,730,0.0003,-0.0021685180065105667,0.0051687574,0.2
9,15874,153600,75,949.56,-1924.1982219599997,0.8052664250135422,-2.6735872142016888,7.165653705596924,0.9224398136138916,46.80740584731102,0.083837890625,740,0.0003,-0.0035855884751072155,0.010614643,0.2
9,16085,155648,76,949.56,-1913.8697995399996,0.7838060259819031,-2.66763848811388,145.04620361328125,0.9171748161315918,145.09662142693998,0.068310546875,750,0.0003,-0.004956647148355841,0.0075353878,0.2
9,16296,157696,77,949.56,-1904.5776105199998,0.7217837870121002,-2.6627662666141987,10.060482025146484,0.9203275442123413,78.52556877732277,0.044677734375,760,0.0003,-0.0038964945153566076,0.0061590057,0.2
