train/actor_loss,train/ent_coef_loss,time/episodes,train/critic_loss,train/n_updates,train/ent_coef,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate
14.661551475524902,0.08644001185894012,4,146.27822875976562,850267,0.2230156511068344,9,217.0,92,154.65029725,868,0.0003
15.570218086242676,0.0398901030421257,8,138.70603942871094,850949,0.2560259699821472,9,193.75,166,30.572385125000025,1550,0.0003
-7.305183410644531,0.0913565456867218,12,128.08078002929688,852200,0.24655993282794952,9,233.41666666666666,296,142.03175808333336,2801,0.0003
207.03463745117188,-0.016244590282440186,16,97.8482666015625,854221,0.1831883043050766,9,301.375,504,-312.446846125,4822,0.0003
224.73016357421875,-0.08017237484455109,20,129.96353149414062,855385,0.17141126096248627,9,299.3,625,-313.49411725,5986,0.0003
227.23548889160156,0.039544373750686646,24,186.91357421875,856656,0.15350377559661865,9,302.375,757,-348.9361367083333,7257,0.0003
192.1781005859375,0.09772875159978867,28,112.90773010253906,857728,0.1628066748380661,9,297.4642857142857,870,-304.93584246428566,8329,0.0003
177.45947265625,0.08771518617868423,32,215.76651000976562,858587,0.17405830323696136,9,287.125,961,-308.75798725,9188,0.0003
143.4514923095703,-0.21871627867221832,36,172.70004272460938,859000,0.1764177531003952,9,266.69444444444446,1007,-269.9655271666666,9601,0.0003
152.05374145507812,0.23493841290473938,40,652.591796875,860157,0.16898809373378754,9,268.95,1128,-285.441468875,10758,0.0003
168.06967163085938,0.3255465626716614,44,277.216796875,860958,0.17262549698352814,9,262.70454545454544,1213,-289.2255177727273,11559,0.0003
166.2956085205078,-0.09644800424575806,48,233.32113647460938,861850,0.1696537733078003,9,259.3958333333333,1308,-260.381465625,12451,0.0003
147.1767578125,0.1758064329624176,52,199.98828125,862338,0.17010965943336487,9,248.82692307692307,1362,-254.99835369230766,12939,0.0003
124.12522888183594,0.2870979905128479,56,500.2529296875,863471,0.17206315696239471,9,251.28571428571428,1480,-313.05763187499997,14072,0.0003
165.66238403320312,-0.36667874455451965,60,256.7554931640625,864693,0.17427681386470795,9,254.9,1608,-327.0458589666667,15294,0.0003
134.20664978027344,0.20684611797332764,64,252.69732666015625,865163,0.17308546602725983,9,246.3125,1660,-328.24043515625004,15764,0.0003
189.1031951904297,0.11555011570453644,68,1977.599853515625,866178,0.17131255567073822,9,246.75,1766,-372.03104432352944,16779,0.0003
169.95774841308594,0.06990813463926315,72,295.5014343261719,867016,0.18186704814434052,9,244.68055555555554,1855,-315.11092666666667,17617,0.0003
170.88796997070312,0.7146221399307251,76,236.3966522216797,867944,0.18125873804092407,9,244.01315789473685,1953,-298.1981975789474,18545,0.0003
170.40858459472656,-0.4302154779434204,80,240.97393798828125,868937,0.18250100314617157,9,244.225,2058,-283.8634220375,19538,0.0003
135.94497680664062,-0.47562095522880554,84,206.74313354492188,870453,0.18285402655601501,9,250.64285714285714,2215,-272.9498385,21054,0.0003
221.03575134277344,-0.4668968617916107,88,180.03118896484375,871121,0.18530438840389252,9,246.8409090909091,2287,-271.75557488636366,21722,0.0003
209.605712890625,-0.050144076347351074,92,244.78271484375,872226,0.1830814629793167,9,248.1195652173913,2402,-316.48761711956524,22827,0.0003
174.16912841796875,-0.16266904771327972,96,188.64385986328125,872806,0.18097932636737823,9,243.82291666666666,2465,-308.5106716875,23407,0.0003
143.21051025390625,0.19615031778812408,100,482.95562744140625,873467,0.18232502043247223,9,240.68,2536,-287.50149733,24068,0.0003
126.61448669433594,-0.20019440352916718,104,205.5393829345703,873817,0.18410101532936096,9,235.5,2576,-257.00574543000005,24418,0.0003
127.51605987548828,0.4306344985961914,108,238.37631225585938,874515,0.1816282868385315,9,235.66,2651,-274.27886931000006,25116,0.0003
168.2034912109375,0.38333427906036377,112,404.4320068359375,875362,0.17803864181041718,9,231.62,2741,-271.3608412,25963,0.0003
120.07865142822266,0.026824578642845154,116,243.4042205810547,876153,0.17664362490177155,9,219.32,2825,-198.0161683,26754,0.0003
134.28826904296875,-0.07104003429412842,120,182.1724090576172,876845,0.17131060361862183,9,214.6,2900,-202.45489201000004,27446,0.0003
167.68783569335938,-0.3752296566963196,124,198.33837890625,877689,0.16309484839439392,9,210.33,2989,-196.53773141000005,28290,0.0003
195.6326904296875,0.19298073649406433,128,179.93421936035156,878330,0.16301223635673523,9,206.02,3059,-202.81895422000002,28931,0.0003
154.4527587890625,0.7324094772338867,132,198.1786346435547,878919,0.16580557823181152,9,203.32,3123,-179.82349200000002,29520,0.0003
159.01365661621094,0.35104048252105713,136,618.89306640625,879667,0.16473406553268433,9,206.67,3203,-196.55290074,30268,0.0003
146.7093505859375,-0.21369299292564392,140,215.34088134765625,880371,0.16387562453746796,9,202.14,3278,-194.25944104,30972,0.0003
192.9716339111328,-0.08924132585525513,144,135.69570922851562,881272,0.16205143928527832,9,203.14,3373,-197.55189947000002,31873,0.0003
115.14068603515625,0.1504301130771637,148,210.00918579101562,881798,0.16051366925239563,9,199.48,3431,-208.36385455000004,32399,0.0003
171.8544158935547,-0.14395512640476227,152,212.14903259277344,882669,0.1600768119096756,9,203.31,3523,-198.98022908000007,33270,0.0003
154.7966766357422,0.2739545702934265,156,208.31927490234375,883545,0.15947137773036957,9,200.74,3616,-186.21184923000007,34146,0.0003
165.96768188476562,-0.30635395646095276,160,194.45521545410156,884158,0.162358358502388,9,194.65,3683,-173.27291051000003,34759,0.0003
171.55252075195312,0.026729464530944824,164,553.8836669921875,884748,0.16350510716438293,9,195.85,3747,-164.34525930000004,35349,0.0003
