rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/std,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates
529.6169493846154,72.11538461538461,238,2048,8,1,,,,,,,,,,,
526.5631297924529,75.73584905660377,479,4096,8,2,0.32360443472862244,0.2,2156.732177734375,4172.220477676392,0.9684189110994339,-0.008303758240072057,-0.5781436011195182,0.008671477,0.0003,0.092919921875,8840
500.1535209999999,80.84210526315789,714,6144,8,3,0.32306116819381714,0.2,1488.4317626953125,4736.018509864807,0.9374999552965164,-0.009148721594829112,-0.5773601684719324,0.0076229195,0.0003,0.062841796875,8850
480.00555873999997,77.22,955,8192,8,4,0.32296448945999146,0.2,2625.829833984375,6924.693416595459,0.9220984280109406,-0.008159799964050762,-0.5750280525535345,0.0066557676,0.0003,0.06865234375,8860
462.40450167999995,79.23,1196,10240,8,5,0.32210928201675415,0.2,877.2884521484375,3586.314017868042,0.9464822821319103,-0.00802651931589935,-0.5726828940212727,0.008412294,0.0003,0.081494140625,8870
386.07570481000005,79.81,1432,12288,8,6,0.3211623430252075,0.2,1223.09521484375,3993.739838409424,0.9644050486385822,-0.010678818708402104,-0.5669865254312754,0.0089684995,0.0003,0.073779296875,8880
414.8332254300001,85.63,1661,14336,8,7,0.3206457197666168,0.2,2408.869384765625,6653.2670249938965,0.9474208988249302,-0.008297357498668135,-0.5618894543498755,0.0062753167,0.0003,0.051806640625,8890
446.06865539000006,86.44,1899,16384,8,8,0.32041865587234497,0.2,5630.3583984375,11091.70663909912,0.872634768486023,-0.009496974214562215,-0.5597319714725018,0.008222533,0.0003,0.062109375,8900
460.18739581999995,86.1,2145,18432,8,9,0.3211231231689453,0.2,2842.954345703125,9249.12142868042,0.9019866809248924,-0.005775294621707871,-0.5609499890357256,0.0066384235,0.0003,0.069140625,8910
528.77220893,78.37,2390,20480,8,10,0.3209754228591919,0.2,2636.848876953125,10310.255631256103,0.8405499905347824,-0.009392829112766777,-0.5629187602549791,0.0058437516,0.0003,0.06220703125,8920
515.760117,74.24,2626,22528,8,11,0.3209475874900818,0.2,605.2510375976562,3324.2706733703612,0.9517204090952873,-0.008522142271976918,-0.5629384346306324,0.00933839,0.0003,0.088330078125,8930
469.36000558,74.9,2866,24576,8,12,0.3209894299507141,0.2,2043.532958984375,5268.646514892578,0.9278167709708214,-0.006611807845183648,-0.5628792371600866,0.0061672265,0.0003,0.051318359375,8940
423.77860139999996,77.22,3107,26624,8,13,0.32070446014404297,0.2,4995.51904296875,7192.202159118652,0.952245581895113,-0.007407563753076829,-0.5619807448238134,0.005341896,0.0003,0.053955078125,8950
430.73711109000004,82.66,3343,28672,8,14,0.319648802280426,0.2,978.3277587890625,7429.328618240356,0.9188829362392426,-0.010103968084149529,-0.5576166156679392,0.008249679,0.0003,0.04296875,8960
471.15354768000003,84.42,3577,30720,8,15,0.31890320777893066,0.2,1364.1558837890625,3313.6932270050047,0.9509817995131016,-0.008302136353449896,-0.5518869768828154,0.010588627,0.0003,0.095947265625,8970
520.30308384,79.94,3823,32768,8,16,0.3196883797645569,0.2,983.6650390625,6798.6154838562015,0.9081453457474709,-0.00596693890838651,-0.551649720594287,0.00719346,0.0003,0.058349609375,8980
533.0139995700001,80.11,4063,34816,8,17,0.3199010491371155,0.2,913.772705078125,3250.2659841537475,0.9642159342765808,-0.008918493578676134,-0.5552295107394457,0.009729878,0.0003,0.084033203125,8990
493.46032822999996,76.4,4303,36864,8,18,0.31984466314315796,0.2,5218.6376953125,6034.973237228393,0.9393764324486256,-0.005746448753052391,-0.555891016498208,0.00590781,0.0003,0.05185546875,9000
408.1056997999999,71.95,4544,38912,8,19,0.32037967443466187,0.2,1656.141357421875,5339.313976287842,0.9421867281198502,-0.009347179795440752,-0.5573787648230791,0.007403508,0.0003,0.061181640625,9010
372.57676789,76.55,4784,40960,8,20,0.3196958303451538,0.2,2569.16064453125,4242.171914672852,0.9462072774767876,-0.008211437397403643,-0.5571356393396855,0.009495178,0.0003,0.105126953125,9020
357.33479725000007,75.02,5026,43008,8,21,0.3188563287258148,0.2,3032.1083984375,6606.36156616211,0.9447547495365143,-0.009115430412930437,-0.552109232917428,0.0069617443,0.0003,0.073486328125,9030
369.6490604799999,77.0,5265,45056,8,22,0.3184121549129486,0.2,1196.3822021484375,5319.311759185791,0.9237508624792099,-0.0075158154417295005,-0.5486187510192394,0.007546535,0.0003,0.069140625,9040
474.23754541,77.52,5501,47104,8,23,0.318750262260437,0.2,1366.124755859375,4581.279604530335,0.9284169748425484,-0.0090142685075989,-0.5482466366142035,0.0081989635,0.0003,0.094482421875,9050
440.54688491,79.15,5741,49152,8,24,0.318207323551178,0.2,1966.9049072265625,5719.313856887818,0.937274195253849,-0.006462337788252626,-0.5480887945741415,0.0069771665,0.0003,0.05537109375,9060
467.0147169199999,83.1,5974,51200,8,25,0.31776899099349976,0.2,4766.19775390625,6528.902170562744,0.9495050236582756,-0.008295232351520099,-0.5447525277733802,0.0060740653,0.0003,0.053662109375,9070
484.57473593000003,81.71,6218,53248,8,26,0.3175431787967682,0.2,2155.77978515625,6037.282618331909,0.932228684425354,-0.009807019517756999,-0.5430340800434351,0.007111576,0.0003,0.080029296875,9080
411.02457233,81.1,6455,55296,8,27,0.31632059812545776,0.2,2088.73974609375,3775.354408454895,0.9337494745850563,-0.00902977964724414,-0.5382522504776717,0.012273958,0.0003,0.118798828125,9090
