time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/std,train/n_updates,train/explained_variance,train/approx_kl
9,221,1,513.8739234166667,159.66666666666666,2048,,,,,,,,,,,
9,449,2,607.7535182413793,136.86206896551724,4096,266.196533203125,0.2,-1.634212588891387,0.065966796875,-0.009494294025353156,0.0003,1707.7131991386414,0.5479474067687988,5410,0.9459273777902126,0.0076675136
9,675,3,620.4758018222221,133.55555555555554,6144,356.7117919921875,0.2,-1.629979533702135,0.0578125,-0.006657925956824328,0.0003,1954.0125046253204,0.5467660427093506,5420,0.9544029459357262,0.006519309
9,905,4,579.234999921875,125.640625,8192,104.35482025146484,0.2,-1.6195778787136077,0.09375,-0.008974564603704493,0.0003,695.5697354793549,0.5413417816162109,5430,0.9765569809824228,0.008507399
9,1130,5,548.6948563797469,128.60759493670886,10240,604.0958862304688,0.2,-1.6066178236156703,0.054150390625,-0.005561773671070113,0.0003,4508.357811927795,0.5401383638381958,5440,0.9305901229381561,0.0060686283
9,1357,6,524.3605490736842,128.23157894736843,12288,1371.282958984375,0.2,-1.6017017126083375,0.011328125,-0.0050219577664393,0.0003,5115.891409301757,0.5385408401489258,5450,0.9135127440094948,0.003174636
9,1585,7,537.99766876,122.88,14336,259.00347900390625,0.2,-1.5906147629022598,0.085302734375,-0.009870629533543252,0.0003,2819.1978323936464,0.5343347787857056,5460,0.9610970467329025,0.009416021
9,1811,8,540.8467483400001,124.66,16384,678.6535034179688,0.2,-1.5818862602114678,0.0546875,-0.006339515146100894,0.0003,4883.4545017242435,0.5339254140853882,5470,0.8949031457304955,0.006356409
9,2039,9,516.57333659,122.44,18432,169.26393127441406,0.2,-1.5828989904373885,0.128076171875,-0.013875707442639395,0.0003,507.04153180122375,0.5344183444976807,5480,0.9893180932849646,0.01442905
9,2266,10,550.3139477699999,126.06,20480,865.8394165039062,0.2,-1.583160912618041,0.034033203125,-0.0077867758955108,0.0003,4413.521348571778,0.5345242023468018,5490,0.9189044237136841,0.006513973
9,2493,11,549.2629507900001,123.44,22528,198.2470245361328,0.2,-1.5795080494135618,0.106591796875,-0.007148428511573002,0.0003,1471.114469242096,0.5322859883308411,5500,0.955450601875782,0.011204808
9,2722,12,567.8580962399999,119.09,24576,343.9151611328125,0.2,-1.5745571710169315,0.056005859375,-0.004768370499368757,0.0003,1474.3067730903626,0.5323787927627563,5510,0.9627818390727043,0.0063396376
9,2946,13,551.32922888,124.4,26624,611.67041015625,0.2,-1.5724401075392962,0.0341796875,-0.007447624224005267,0.0003,5489.8492221832275,0.5307344198226929,5520,0.9436790123581886,0.003874199
9,3172,14,505.53218914000007,124.17,28672,460.1588134765625,0.2,-1.5651073675602674,0.04951171875,-0.009135467594023793,0.0003,2080.726982879639,0.5285335779190063,5530,0.9150247424840927,0.008519687
