rollout/ep_len_mean,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
165.76,9,0.4944670000000002,-1041.6929052,152,2849,26607,,,
164.84,9,0.4842450000000006,-1033.56704415,156,2908,27145,,,
164.18,9,0.47219900000000004,-1032.8714541399997,160,2976,27779,,,
161.96,9,0.4623189999999997,-1028.09005634,164,3033,28299,,,
162.36,9,0.44749899999999965,-1025.26356896,168,3116,29079,,,
164.08,9,0.4370869999999998,-1021.18477889,172,3176,29627,,,
167.16,9,0.4227610000000003,-1027.89218621,176,3256,30381,,,
162.12,9,0.41569300000000053,-1008.1322092200003,180,3298,30753,,,
163.7,9,0.40246899999999997,-1000.2290264,184,3373,31449,,,
162.32,9,0.3935770000000005,-1014.4599464799999,188,3425,31917,,,
162.84,9,0.3780729999999999,-1010.02883017,192,3511,32733,,,
160.84,9,0.3683450000000006,-992.2254498499999,196,3567,33245,,,
165.38,9,0.3521190000000003,-1000.8466695800001,200,3658,34099,,,
165.24,9,0.3349049999999999,-1010.87131905,204,3753,35005,,,
168.06,9,0.3180709999999999,-1012.70909389,208,3847,35891,,,
167.38,9,0.30446700000000004,-991.5068847999999,212,3923,36607,,,
166.26,9,0.29447300000000065,-983.0799103,216,3981,37133,,,
166.26,9,0.27817100000000006,-945.7993476299998,220,4071,37991,,,
165.1,9,0.26631499999999986,-937.2347567300001,224,4139,38615,,,
163.94,9,0.2569290000000001,-921.29283789,228,4193,39109,,,
167.86,9,0.23705500000000013,-918.94495216,232,4302,40155,,,
171.12,9,0.2177889999999999,-940.7268452499998,236,4409,41169,,,
173.86,9,0.20388099999999965,-936.0699096499999,240,4487,41901,,,
177.7,9,0.18830099999999983,-939.7394282299999,244,4574,42721,,,
177.22,9,0.17553299999999983,-939.4355647100002,248,4646,43393,,,
174.08,9,0.1637149999999995,-948.0347035900002,252,4713,44015,,,
173.78,9,0.1540630000000005,-949.8875951699999,256,4769,44523,,,
174.88,9,0.13992700000000013,-962.1325771899997,260,4848,45267,,,
176.2,9,0.1275390000000003,-959.83531201,264,4919,45919,,,
178.16,9,0.10899499999999973,-966.7479366900001,268,5021,46895,,,
181.3,9,0.09261700000000028,-975.82778043,272,5113,47757,,,
177.3,9,0.08589099999999983,-964.35928047,276,5153,48111,,,
186.4,9,0.06153299999999973,-1000.03938075,280,5286,49393,,,
186.52,9,0.05,-1013.9614716599999,284,5362,50101,0.0001,2.144052743911743,25
188.34,9,0.05,-1029.0266319500001,288,5432,50751,0.0001,1.6807430982589722,187
190.66,9,0.05,-1037.55565002,292,5542,51799,0.0001,0.7934001684188843,449
200.38,9,0.05,-1078.2880443899999,296,5695,53283,0.0001,0.8543254137039185,820
196.5,9,0.05,-1082.39842287,300,5747,53749,0.0001,0.8744847774505615,937
