rollout/ep_rew_mean,train/actor_loss,time/episodes,time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/fps,time/total_timesteps,train/learning_rate
447.7828410000001,-168.04800415039062,4,63,2525.791259765625,0.4628998637199402,350279,145.0,0.3498211205005646,9,580,0.0003
678.31627325,-304.41973876953125,8,117,583.3360595703125,0.5261247754096985,350766,133.375,0.28619688749313354,9,1067,0.0003
454.22197233333327,-140.94033813476562,12,185,513.978515625,0.5932913422584534,351390,140.91666666666666,-0.011025585234165192,9,1691,0.0003
467.59815081249997,-180.6671142578125,16,230,757.725830078125,0.5971764326095581,351792,130.8125,-0.10489313304424286,9,2093,0.0003
553.5284931,-183.85052490234375,20,273,589.66552734375,0.6120802164077759,352169,123.5,-0.07116986811161041,9,2470,0.0003
553.7025944166667,-169.44247436523438,24,307,605.009765625,0.6116186380386353,352456,114.875,-0.10818527638912201,8,2757,0.0003
600.6504055714286,-228.12579345703125,28,359,641.7525634765625,0.6017455458641052,352926,115.25,-0.04582710564136505,8,3227,0.0003
542.94263528125,-196.11825561523438,32,399,2248.322265625,0.5927670001983643,353279,111.875,-0.01902717910706997,8,3580,0.0003
582.2030179444444,-227.47653198242188,36,443,803.22802734375,0.5714593529701233,353670,110.30555555555556,-0.026794780045747757,8,3971,0.0003
616.3137309000001,-234.95494079589844,40,485,786.0361328125,0.5634711384773254,354033,108.35,0.054622847586870193,8,4334,0.0003
605.8600425681818,-301.9668273925781,44,530,660.6285400390625,0.5570159554481506,354435,107.63636363636364,-0.04704885184764862,8,4736,0.0003
599.540942875,-286.84259033203125,48,573,659.6730346679688,0.5697821378707886,354816,106.60416666666667,-0.07783989608287811,8,5117,0.0003
622.1073850576922,-336.3897705078125,52,622,784.174072265625,0.5605323910713196,355249,106.73076923076923,0.0051482319831848145,8,5550,0.0003
613.8055158750001,-300.04620361328125,56,666,782.0714111328125,0.5468361377716064,355640,106.08928571428571,0.10841761529445648,8,5941,0.0003
607.4387375500002,-249.011474609375,60,709,758.8529052734375,0.5357490181922913,356015,105.26666666666667,-0.03649919480085373,8,6316,0.0003
603.7207689218751,-310.25347900390625,64,741,597.4788818359375,0.5310078859329224,356291,103.0,-0.07065852731466293,8,6592,0.0003
578.9192309264706,-280.7080078125,68,769,648.9288330078125,0.5368829369544983,356514,100.22058823529412,0.16303637623786926,8,6815,0.0003
574.7761682083334,-340.7586975097656,72,823,678.4886474609375,0.5559881329536438,357000,101.40277777777777,0.030467398464679718,8,7301,0.0003
553.6195428815789,-331.8743896484375,76,853,569.545654296875,0.5618208050727844,357256,99.4342105263158,-0.12820661067962646,8,7557,0.0003
532.9296349125,-320.4805908203125,80,898,1204.95703125,0.5594820976257324,357649,99.375,0.20137014985084534,8,7950,0.0003
497.86106410714274,-279.3282470703125,84,928,463.5185852050781,0.5718122720718384,357903,97.66666666666667,-0.008830774575471878,8,8204,0.0003
482.1253549204546,-243.4319610595703,88,963,960.0778198242188,0.5871310234069824,358199,96.5909090909091,0.10957574099302292,8,8500,0.0003
498.3229101956521,-311.0048828125,92,1012,994.2784423828125,0.5991144180297852,358638,97.16304347826087,0.08028912544250488,8,8939,0.0003
500.76150030208333,-271.26904296875,96,1044,893.4722900390625,0.599890947341919,358902,95.86458333333333,0.016749627888202667,8,9203,0.0003
502.54664938999997,-297.2498779296875,100,1081,1443.181884765625,0.5962005257606506,359220,95.21,0.03582987189292908,8,9521,0.0003
504.8921254,-316.6136474609375,104,1126,921.85205078125,0.6037443280220032,359626,93.47,0.014566995203495026,8,9927,0.0003
490.48079941,-288.29986572265625,108,1162,1892.7520751953125,0.5913150310516357,359935,91.69,0.038620129227638245,8,10236,0.0003
527.9126673100001,-254.33718872070312,112,1199,1090.58154296875,0.5817007422447205,360254,88.64,-0.04801282286643982,8,10555,0.0003
543.29865579,-284.7203369140625,116,1245,1151.2222900390625,0.5919376611709595,360663,88.71,0.10865926742553711,8,10964,0.0003
512.69570219,-296.044677734375,120,1288,813.036865234375,0.5704541802406311,361036,88.67,-0.0331139862537384,8,11337,0.0003
511.78132798,-307.222900390625,124,1327,1367.7796630859375,0.5764086246490479,361372,89.16,-0.015625685453414917,8,11673,0.0003
497.63173436000005,-328.02679443359375,128,1364,710.2928466796875,0.5916869044303894,361688,87.62,-0.03888583928346634,8,11989,0.0003
482.8776864300001,-275.40106201171875,132,1397,896.4798583984375,0.607390284538269,361970,86.91,0.08023902773857117,8,12271,0.0003
484.55480295000007,-234.2102508544922,136,1435,903.099365234375,0.6231812238693237,362301,86.31,-0.009983777068555355,8,12602,0.0003
483.18596514000006,-313.842041015625,140,1481,726.887939453125,0.6298818588256836,362712,86.79,0.008478090167045593,8,13013,0.0003
484.9922002299999,-314.1865234375,144,1517,2600.92578125,0.6263445019721985,363016,85.81,-0.07325242459774017,8,13317,0.0003
484.73025072,-311.14263916015625,148,1563,918.573974609375,0.6193129420280457,363421,86.05,-0.04067409783601761,8,13722,0.0003
470.18230272999995,-298.5650329589844,152,1606,1277.3016357421875,0.6127766370773315,363805,85.56,0.06344674527645111,8,14106,0.0003
485.77788365,-331.8988037109375,156,1650,694.3350830078125,0.6313449144363403,364189,85.49,0.01328459195792675,8,14490,0.0003
500.1350782100001,-300.59796142578125,160,1707,976.0601806640625,0.6387925744056702,364705,86.9,0.007772963494062424,8,15006,0.0003
511.0034566800001,-255.10069274902344,164,1776,1137.5399169921875,0.6309677362442017,365340,90.49,0.05152452737092972,8,15641,0.0003
