time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/learning_rate,train/std
70,726.63,143360,-635.51660307,9,14867,3140,-0.0043241124651103744,-1.9878495272248984,0.2,3356.243467617035,0.005421706,0.4983764886856079,0.04482421875,676.2503051757812,0.0003,0.6561695337295532
71,724.29,145408,-618.26997063,9,15079,3150,-0.0028897421012516133,-1.9847301863133908,0.2,6681.989016914367,0.004069965,0.5578725636005402,0.032666015625,1228.6646728515625,0.0003,0.6541588306427002
72,719.54,147456,-582.12401876,9,15292,3160,-0.001976047291827854,-1.982870849221945,0.2,2818.890211582184,0.00311398,0.5458075404167175,0.01845703125,334.9918212890625,0.0003,0.6553089618682861
73,689.88,149504,-474.94295396000007,9,15507,3170,-0.0022885725418746007,-1.9866826236248016,0.2,4819.4379573822025,0.0030810172,0.47299569845199585,0.0158203125,3671.916259765625,0.0003,0.656320333480835
74,668.39,151552,-404.37817169000016,9,15721,3180,-0.003957904726848938,-1.9917826402932406,0.2,9149.692433166503,0.0038106334,0.49699413776397705,0.016845703125,5017.34765625,0.0003,0.6583157777786255
75,645.45,153600,-315.59751409,9,15937,3190,-0.005456734356994275,-1.9921933148056268,0.2,5110.3536637306215,0.005172316,0.5656176805496216,0.041162109375,2823.034423828125,0.0003,0.6556887626647949
76,632.49,155648,-262.55122035,9,16150,3200,-0.0034387576364679263,-1.990688095614314,0.2,9010.218783569337,0.0047342507,0.6129519641399384,0.02109375,5031.20751953125,0.0003,0.6574362516403198
77,628.5,157696,-256.15638526,9,16363,3210,-0.0059811486964463255,-1.988065218180418,0.2,3022.2220157146453,0.006306065,0.7721835076808929,0.05390625,115.3595962524414,0.0003,0.6526192426681519
78,611.15,159744,-188.81278092,9,16577,3220,-0.007526983527350239,-1.978189031407237,0.2,1980.9819539546966,0.006373454,0.8402369171380997,0.05419921875,2318.198486328125,0.0003,0.6512159705162048
79,600.97,161792,-164.46102248,9,16791,3230,-0.0054612927466223486,-1.9700443420559168,0.2,6453.26847820282,0.004834423,0.7264453172683716,0.02529296875,1454.7764892578125,0.0003,0.6489757895469666
80,587.0,163840,-111.41994111999996,9,17007,3240,-0.005597217965987511,-1.967365112528205,0.2,3823.4225458145143,0.0055077863,0.8273292928934097,0.05419921875,1140.0379638671875,0.0003,0.6501303911209106
81,579.48,165888,-84.51613543999999,9,17220,3250,-0.003742742466420168,-1.9696397811174393,0.2,7412.085915374756,0.004033733,0.684540867805481,0.026220703125,6643.3056640625,0.0003,0.6501853466033936
82,574.73,167936,-62.78023773999999,9,17431,3260,-0.0050062764348695055,-1.9692989487200976,0.2,3997.00284576416,0.0072020744,0.7379891574382782,0.042333984375,1059.0968017578125,0.0003,0.6503264904022217
83,564.48,169984,-55.558118929999985,9,17646,3270,-0.005928291296004318,-1.96666269749403,0.2,2666.579253578186,0.0071447473,0.4984871745109558,0.055810546875,4765.09814453125,0.0003,0.6477311849594116
84,554.63,172032,-26.31431584000001,9,17862,3280,-0.0018543230238719844,-1.9586406722664833,0.2,5611.066881561279,0.0045522368,0.5396997928619385,0.019921875,1848.349365234375,0.0003,0.6461682915687561
85,534.4,174080,24.4895141,9,18080,3290,-0.0030119013295916374,-1.9546089328825473,0.2,9060.466983413697,0.004404405,0.5146509408950806,0.02314453125,6146.1689453125,0.0003,0.6452953219413757
86,530.83,176128,45.77264516000001,9,18291,3300,-0.00525998283555964,-1.9523164767771959,0.2,9060.044913101196,0.0032414626,0.7434108853340149,0.03173828125,4717.0048828125,0.0003,0.6450565457344055
87,515.38,178176,63.627430240000024,9,18507,3310,-0.0027483880701765885,-1.9485239069908857,0.2,1883.8478228092195,0.0048174746,0.6911745369434357,0.022314453125,197.58499145507812,0.0003,0.6419103145599365
88,502.03,180224,116.89264813999998,9,18721,3320,-0.004323875746194972,-1.9433762729167938,0.2,4145.178987979889,0.0068108276,0.6630085706710815,0.045068359375,2073.8525390625,0.0003,0.6435739994049072
89,512.35,182272,79.5645431,9,18934,3330,-0.005172181963280309,-1.9473387777805329,0.2,6305.710528373718,0.0038329177,0.7675336599349976,0.042919921875,3818.630126953125,0.0003,0.6435022950172424
90,506.95,184320,78.70308196,9,19148,3340,-0.005171429099573288,-1.9491737328469754,0.2,2074.063646030426,0.005404037,0.8686476498842239,0.06044921875,986.6962890625,0.0003,0.6453432440757751
91,507.68,186368,61.74987616999998,9,19359,3350,-0.003393892606254667,-1.9472381588071586,0.2,2491.2564823150633,0.004994033,0.786130741238594,0.038232421875,642.6651611328125,0.0003,0.6416369676589966
92,493.07,188416,88.06558182000002,9,19574,3360,-0.005255898144969251,-1.9385376520454884,0.2,747.1057127952575,0.0056960075,0.8552896827459335,0.040380859375,158.13636779785156,0.0003,0.6403868198394775
93,488.96,190464,91.57688454999999,9,19788,3370,-0.0029865387819882016,-1.9342973615974188,0.2,8216.857105064391,0.0018711243,0.3445139527320862,0.012451171875,4750.60400390625,0.0003,0.6399955153465271
94,460.08,192512,120.62440838999999,9,20008,3380,-0.004538999418218737,-1.9330087821930646,0.2,4810.9897356033325,0.004837161,0.4423002600669861,0.02177734375,477.35107421875,0.0003,0.6392616629600525
95,443.95,194560,138.24007926,9,20228,3390,-0.002203668697620742,-1.9298810064792633,0.2,9047.086569595336,0.0031731422,0.5670717656612396,0.0146484375,5770.78857421875,0.0003,0.6376441717147827
96,436.17,196608,158.42221911000001,9,20443,3400,-0.006552182976884069,-1.9236043345183134,0.2,7268.394355773926,0.0071854233,0.6557567417621613,0.049658203125,1160.66650390625,0.0003,0.6353788375854492
97,422.49,198656,185.6692587,9,20660,3410,-0.004367736841231817,-1.92065160125494,0.2,5105.757653236389,0.005515729,0.8472763001918793,0.040966796875,3091.30419921875,0.0003,0.6360342502593994
98,417.42,200704,204.69166356999997,9,20875,3420,-0.003785586834419519,-1.9215493686497211,0.2,8316.709033966064,0.0032717015,0.6979698538780212,0.02646484375,4742.83642578125,0.0003,0.635842502117157
99,396.55,202752,259.7194797,9,21098,3430,-0.0025651680909504647,-1.9176532600075007,0.2,5061.98750705719,0.0054311706,0.7834223657846451,0.01787109375,3143.76513671875,0.0003,0.6331626176834106
100,398.37,204800,236.47129796000004,9,21313,3440,-0.003419678947830107,-1.9090570580214261,0.2,7562.41900100708,0.0048714653,0.7354558706283569,0.01884765625,2118.832763671875,0.0003,0.6306147575378418
101,367.71,206848,308.91409308999994,9,21533,3450,-0.004341179257608019,-1.8994009289890528,0.2,4714.315154075623,0.005598766,0.7950717657804489,0.044775390625,1724.7872314453125,0.0003,0.6271988153457642
102,351.6,208896,339.5665454799999,9,21755,3460,-0.0009225498324667569,-1.8930387448519468,0.2,9730.02774772644,0.0027518198,0.8161446899175644,0.003759765625,3595.169921875,0.0003,0.6272592544555664
103,352.92,210944,339.57713107,9,21969,3470,-0.002374336251523346,-1.891992222890258,0.2,10450.49182510376,0.0024249733,0.7368000149726868,0.01005859375,4324.7724609375,0.0003,0.6266402006149292
104,344.21,212992,342.49455902000017,9,22185,3480,-0.004110386458341964,-1.8938165586441755,0.2,2863.095276069641,0.0035729734,0.7753806859254837,0.0298828125,579.2022094726562,0.0003,0.6281510591506958
105,348.99,215040,337.31854106,9,22396,3490,-0.003193520280183293,-1.8988035641610623,0.2,7430.981662368775,0.0037508036,0.7418438792228699,0.009765625,5663.068359375,0.0003,0.6285419464111328
106,335.66,217088,389.03003691,9,22614,3500,-0.0017967351108381991,-1.8982121590524912,0.2,3695.33337059021,0.0038199448,0.6627631485462189,0.011669921875,560.0980834960938,0.0003,0.6275143623352051
107,331.49,219136,408.1675363299999,9,22826,3510,-0.0031861988303717227,-1.894678357243538,0.2,8047.383195114136,0.0036498168,0.5250433683395386,0.02177734375,4015.17333984375,0.0003,0.6265933513641357
108,332.27,221184,400.40438035999983,9,23040,3520,-0.006903146596596343,-1.895616500079632,0.2,3325.217396354675,0.0052664443,0.796263799071312,0.05048828125,1515.906005859375,0.0003,0.6287463903427124
109,340.06,223232,376.5875303199999,9,23254,3530,-0.002693771482154261,-1.900399186089635,0.2,3615.5531438827516,0.003454165,0.5626837909221649,0.023779296875,566.1343383789062,0.0003,0.6285108923912048
110,332.42,225280,395.0428340300001,9,23467,3540,-0.004452101525384933,-1.8912704534828664,0.2,2788.152303123474,0.006387761,0.6787923574447632,0.04658203125,1280.72314453125,0.0003,0.6224050521850586
111,345.33,227328,360.62338360999996,9,23682,3550,-0.004970429539389443,-1.879022203758359,0.2,3082.143228149414,0.004860848,0.7619434297084808,0.062060546875,993.1174926757812,0.0003,0.6212892532348633
112,363.31,229376,326.0360209100001,9,23893,3560,-0.001983168604056118,-1.8775479041039944,0.2,2727.158468914032,0.0042923097,0.863474115729332,0.016845703125,298.95806884765625,0.0003,0.6208288669586182
113,372.96,231424,322.98905489000003,9,24108,3570,-0.00519492368621286,-1.8727031588554381,0.2,1371.1659158229827,0.005232592,0.6645312011241913,0.048291015625,320.8991394042969,0.0003,0.6184000968933105
114,371.75,233472,324.9936295200001,9,24326,3580,-0.0025957162764825626,-1.8629490539431572,0.2,6314.468517780304,0.0062355595,0.46958136558532715,0.02841796875,3821.8369140625,0.0003,0.6152620911598206
115,379.91,235520,325.01920559,9,24541,3590,-0.0051395858092291745,-1.859146621450782,0.2,6516.115235328674,0.0069130943,0.5909613966941833,0.0453125,705.8314819335938,0.0003,0.6154987215995789
116,381.15,237568,312.2802308700001,9,24758,3600,-0.0013934154696471524,-1.860831705853343,0.2,6349.268757247924,0.0022390212,0.549762487411499,0.003466796875,4546.609375,0.0003,0.6167024374008179
117,380.04,239616,323.43387762,9,24975,3610,-0.005141021333110984,-1.8604296628385781,0.2,5965.875631713867,0.0074095577,0.776905357837677,0.05380859375,2149.89013671875,0.0003,0.6152328252792358
118,387.49,241664,307.32431144000003,9,25191,3620,-0.0029050940327579157,-1.8560194212943315,0.2,7427.04952583313,0.003145279,0.7208853363990784,0.026611328125,4968.58056640625,0.0003,0.6139880418777466
119,387.11,243712,305.37884978999995,9,25405,3630,-0.0022385597068932837,-1.847163624316454,0.2,4467.870715808868,0.003403964,0.8755139485001564,0.014111328125,3439.037841796875,0.0003,0.6094118356704712
120,400.11,245760,287.34412813,9,25620,3640,-0.0037071103026391937,-1.8336102433502675,0.2,3796.083382892609,0.006353573,0.7603976875543594,0.03798828125,3625.727783203125,0.0003,0.6059510707855225
121,409.13,247808,291.85320952999996,9,25835,3650,-0.008229070474772015,-1.825589655339718,0.2,7720.165236663818,0.006004888,0.4056053161621094,0.039404296875,2176.48388671875,0.0003,0.6040092706680298
122,420.84,249856,275.3373468,9,26050,3660,-0.00593125781888375,-1.8212986167520284,0.2,6784.490001678467,0.006425486,0.6014602482318878,0.045263671875,938.3516235351562,0.0003,0.6033855676651001
123,425.86,251904,265.28392018,9,26266,3670,-0.0034493253457185346,-1.8174492601305245,0.2,4988.562487983703,0.003584828,0.5128849446773529,0.028955078125,2329.171630859375,0.0003,0.6018446683883667
124,427.54,253952,281.42483489000006,9,26482,3680,-0.002551149834471289,-1.813547307625413,0.2,7467.275427436829,0.0030464767,0.5308870375156403,0.019970703125,2547.99658203125,0.0003,0.6007225513458252
125,411.45,256000,314.54454289,9,26698,3690,-0.005927633494138718,-1.811269686743617,0.2,4946.413457870483,0.005175018,0.7205088138580322,0.044384765625,777.197021484375,0.0003,0.6002377867698669
126,420.35,258048,288.35052491000005,9,26911,3700,-0.0034899605700047685,-1.8070238836109638,0.2,9199.405570220948,0.0054219514,0.6898963153362274,0.043896484375,2084.8203125,0.0003,0.5982125997543335
127,416.93,260096,314.57151730000004,9,27128,3710,-0.005261995446926448,-1.8007687877863645,0.2,2947.563001060486,0.008270601,0.5206442177295685,0.048095703125,1507.6085205078125,0.0003,0.5969483852386475
