time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates
20,391.3,-1683.2979782699997,9,4256,40960,0.008714026,2482.6590501785277,0.0003,-2.4715732514858244,0.064697265625,-0.015025295727537014,0.2,-1.6689300537109375e-06,667.1323852539062,190
21,415.24,-1737.9816582199999,9,4468,43008,0.009179717,1432.81629447937,0.0003,-2.462971227616072,0.059912109375,-0.021958808894851245,0.2,1.1920928955078125e-07,573.9418334960938,200
22,428.94,-1770.9780866499998,9,4677,45056,0.0086476635,3547.427013015747,0.0003,-2.460406169295311,0.07509765625,-0.018329310542321765,0.2,1.1920928955078125e-07,612.9824829101562,210
23,446.87,-1851.1051743699998,9,4887,47104,0.0060055004,2121.314874267578,0.0003,-2.4508110731840134,0.031982421875,-0.015554071354563348,0.2,6.556510925292969e-07,651.2515258789062,220
24,455.77,-1882.97635277,9,5096,49152,0.008342284,3679.2196006774902,0.0003,-2.46113755851984,0.033740234375,-0.012559214333305136,0.2,-2.384185791015625e-07,1266.49169921875,230
25,477.53,-1944.8528349500002,9,5306,51200,0.007839585,1648.0477791786193,0.0003,-2.450622161477804,0.083837890625,-0.019610999946598894,0.2,0.0,1112.0020751953125,240
26,492.53,-1967.08921783,9,5518,53248,0.009406423,2003.5303058624268,0.0003,-2.4513044007122518,0.097607421875,-0.02035639446694404,0.2,-1.1920928955078125e-07,1646.4169921875,250
27,501.53,-2001.0170414,9,5728,55296,0.010398969,2498.942313671112,0.0003,-2.425870102643967,0.110595703125,-0.024027907877461986,0.2,0.0,734.4168090820312,260
28,510.44,-2012.52669924,9,5941,57344,0.0076580127,2486.8013999938967,0.0003,-2.428291787207127,0.051513671875,-0.016765740550181363,0.2,0.0,475.47119140625,270
29,519.77,-2051.68862407,9,6155,59392,0.009119241,2533.7387793540956,0.0003,-2.460410763323307,0.0740234375,-0.021138117188820617,0.2,1.1920928955078125e-07,571.090576171875,280
30,524.51,-2084.6371527600004,9,6365,61440,0.0089989845,3356.0828903198244,0.0003,-2.4720524922013283,0.10107421875,-0.02163531527330633,0.2,-1.1920928955078125e-07,1954.4298095703125,290
31,531.56,-2070.7918928100003,9,6576,63488,0.008834455,1893.9811333656312,0.0003,-2.448006974160671,0.060009765625,-0.019760367181152105,0.2,1.1920928955078125e-07,314.05218505859375,300
32,537.7,-2080.4351088700005,9,6788,65536,0.0176473,1277.4838897228242,0.0003,-2.470214205235243,0.229931640625,-0.01631641814019531,0.2,0.0,575.2166748046875,310
33,543.03,-2090.9369478900003,9,6997,67584,0.002586222,2090.79336605072,0.0003,-2.4623877085745334,0.000537109375,-0.005421817771275528,0.2,0.0,569.5859375,320
34,555.13,-2081.01157239,9,7208,69632,0.013534104,902.787641620636,0.0003,-2.42604214027524,0.26435546875,-0.02120360238768626,0.2,1.1920928955078125e-07,304.175537109375,330
35,565.9,-2084.25136792,9,7419,71680,0.0101127345,8128.6907596588135,0.0003,-2.4553407698869707,0.112890625,-0.011700029514031485,0.2,0.0,18406.603515625,340
36,573.87,-2106.28817138,9,7629,73728,0.0122268945,958.7356809616089,0.0003,-2.4505197517573833,0.133447265625,-0.01840886579884682,0.2,5.960464477539063e-08,348.0057678222656,350
37,580.56,-2154.2390710100003,9,7840,75776,0.00039969824,1327.38954372406,0.0003,-2.4459814704954623,0.0,-0.0019581279630074278,0.2,2.384185791015625e-07,413.57098388671875,360
38,591.2,-2176.6654283000003,9,8049,77824,0.00072987215,2027.7282732009887,0.0003,-2.4288877464830874,0.0,-0.0024688619247172027,0.2,5.960464477539063e-08,262.2885437011719,370
39,589.27,-2144.3729559,9,8262,79872,0.01108571,603.0654412269593,0.0003,-2.4013287983834743,0.0890625,-0.010715487555717117,0.2,2.384185791015625e-07,245.57456970214844,380
40,588.49,-2140.16465491,9,8471,81920,0.008407927,1682.1765510559082,0.0003,-2.3268476761877537,0.09619140625,-0.005172883617342449,0.2,-1.1920928955078125e-07,1580.642333984375,390
41,597.29,-2145.88076935,9,8681,83968,0.0022229676,1310.4216891288756,0.0003,-2.3328960493206976,0.0,-0.00405202558322344,0.2,2.384185791015625e-07,443.2079772949219,400
42,602.82,-2153.0337694400005,9,8893,86016,0.0046054106,795.7567738771438,0.0003,-2.3252691753208636,0.0259765625,-0.01154874358762754,0.2,0.0,406.4330139160156,410
43,611.21,-2157.6985407200004,9,9102,88064,0.008987665,1377.5394973754883,0.0003,-2.2820973463356493,0.13935546875,-0.016002223927353044,0.2,8.940696716308594e-07,686.9166259765625,420
44,623.27,-2179.4621330600003,9,9312,90112,0.0033871792,705.1606338381768,0.0003,-2.310563215613365,0.00263671875,-0.003183981872280128,0.2,0.011678755283355713,72.907470703125,430
45,635.08,-2187.00612669,9,9522,92160,0.0036800469,492.64608458280566,0.0003,-2.2388916604220865,0.00146484375,-0.004326176509493962,0.2,0.0974045991897583,54.88520431518555,440
46,637.66,-2219.948649,9,9733,94208,0.0012451344,746.2277696490288,0.0003,-2.2570366971194744,0.0,-0.0037185122724622487,0.2,0.050564467906951904,50.649879455566406,450
47,636.36,-2191.9546006399996,9,9942,96256,0.0044980515,1487.7780668258667,0.0003,-2.211041457951069,0.006396484375,-0.0046873656945535915,0.2,0.4384578466415405,974.3084716796875,460
48,641.7,-2220.2725769800004,9,10151,98304,0.0011252104,686.2025308132172,0.0003,-2.2926527358591557,0.0,-0.004268147956463508,0.2,0.4218428134918213,592.5807495117188,470
49,646.77,-2169.0503763500005,9,10362,100352,0.0050995564,925.9669184684753,0.0003,-2.246091766655445,0.010546875,-0.007027674079290591,0.2,0.39509445428848267,228.5142822265625,480
50,652.85,-2155.08039576,9,10571,102400,0.0027361969,897.4973700761795,0.0003,-2.2730855859816073,0.000927734375,-0.005278218828607351,0.2,0.4359557032585144,471.3520202636719,490
51,652.58,-2151.5892048700002,9,10781,104448,0.006299182,81.08432478010654,0.0003,-2.2500636294484138,0.0294921875,-0.009668903253623285,0.2,0.34161871671676636,9.3291015625,500
52,642.97,-2133.7323598300004,9,10991,106496,0.0026925243,1381.8156120300293,0.0003,-2.288256433606148,0.00146484375,-0.004521753898006864,0.2,0.5601800978183746,417.0050964355469,510
53,643.27,-2125.7653618800005,9,11202,108544,0.004574951,1302.1931213378907,0.0003,-2.273063953220844,0.008251953125,-0.005689724777766969,0.2,0.690277099609375,448.5533447265625,520
54,634.14,-2063.3702072600004,9,11413,110592,0.008584571,600.2997577190399,0.0003,-2.305151482671499,0.069384765625,-0.01355320994334761,0.2,0.864683523774147,107.34855651855469,530
55,634.29,-2041.48912288,9,11622,112640,0.0016580743,1306.7916772842407,0.0003,-2.353463317453861,0.0,-0.0036861717060673984,0.2,0.6461087465286255,216.4485321044922,540
56,631.19,-2044.27780006,9,11832,114688,0.0042350474,638.778609752655,0.0003,-2.3224165618419645,0.002587890625,-0.00755895534530282,0.2,-0.049155235290527344,26.820035934448242,550
57,630.59,-2064.51794392,9,12044,116736,0.0066074347,953.7540195465087,0.0003,-2.366643097996712,0.02568359375,-0.012946647481294348,0.2,0.6931846439838409,216.0363006591797,560
58,637.84,-2086.2423499500005,9,12253,118784,0.006679383,1157.2068302154541,0.0003,-2.366873220354319,0.032177734375,-0.010633370374853257,0.2,0.23501205444335938,288.8547668457031,570
59,640.73,-2080.78243321,9,12465,120832,0.007716691,328.1768768787384,0.0003,-2.3550812415778637,0.0529296875,-0.014668673306005076,0.2,0.8760931193828583,373.590087890625,580
60,652.14,-2116.74045403,9,12674,122880,0.005541279,1218.8555626392365,0.0003,-2.3066554978489875,0.013671875,-0.008773046676651575,0.2,0.04411029815673828,762.115966796875,590
61,667.26,-2148.01407201,9,12883,124928,0.008639939,419.3962490081787,0.0003,-2.3394787974655626,0.075830078125,-0.0206534417666262,0.2,0.8211428076028824,97.03995513916016,600
62,669.41,-2153.42098077,9,13095,126976,0.009065246,397.0920388698578,0.0003,-2.3345372967422007,0.0669921875,-0.014293520590581466,0.2,0.5881612300872803,35.53762435913086,610
63,656.3,-2102.36876149,9,13308,129024,0.007027612,1136.5700839042663,0.0003,-2.3428509712219237,0.049462890625,-0.012299270246876404,0.2,0.6341865062713623,465.7672424316406,620
64,672.13,-2148.2585502700003,9,13516,131072,0.0049322015,1530.0356182575226,0.0003,-2.344972654432058,0.010009765625,-0.010263221393688581,0.2,0.506598025560379,1643.7083740234375,630
65,682.99,-2158.73483263,9,13725,133120,0.009134239,306.7758932590485,0.0003,-2.3843163937330245,0.063134765625,-0.018082523439079522,0.2,0.30454349517822266,61.82209396362305,640
66,675.12,-2187.91735913,9,13937,135168,0.008189189,645.8330903053284,0.0003,-2.374338311702013,0.0521484375,-0.016491164872422814,0.2,0.6798225045204163,133.84793090820312,650
67,682.37,-2259.2885426599996,9,14146,137216,0.0072240345,794.7743574619293,0.0003,-2.3566313318908216,0.068115234375,-0.01720143807178829,0.2,0.4648042917251587,368.9605712890625,660
68,669.72,-2243.87730108,9,14359,139264,0.010796221,483.46735672950746,0.0003,-2.376574873179197,0.102685546875,-0.021567910906742326,0.2,0.4431506395339966,87.86499786376953,670
69,661.4,-2221.85170988,9,14570,141312,0.005580482,1095.57004404068,0.0003,-2.33069853708148,0.03251953125,-0.011642322440457065,0.2,0.6639984846115112,177.8450469970703,680
70,666.2,-2219.64268378,9,14779,143360,0.008304384,892.0702692985535,0.0003,-2.334925016760826,0.07587890625,-0.02006911307689734,0.2,0.8589927554130554,56.48675537109375,690
71,667.24,-2224.80657383,9,14989,145408,0.00748412,903.4241387367249,0.0003,-2.2697986483573915,0.048876953125,-0.014437898618052714,0.2,0.8440845459699631,664.1473999023438,700
72,670.52,-2231.29774372,9,15199,147456,0.010186871,377.2673300981522,0.0003,-2.3350030563771726,0.105810546875,-0.02050623941759113,0.2,0.7727443426847458,25.105043411254883,710
73,677.07,-2221.95685161,9,15410,149504,0.0063118013,764.4452102184296,0.0003,-2.2581811882555485,0.01162109375,-0.008492478758853395,0.2,0.2249196171760559,95.37682342529297,720
74,667.86,-2254.26800977,9,15621,151552,0.008122247,500.9747407674789,0.0003,-2.285975553840399,0.055712890625,-0.01615280769619858,0.2,0.8126582652330399,301.59625244140625,730
75,669.19,-2291.35829197,9,15833,153600,0.007007965,756.3826818704605,0.0003,-2.2950204730033876,0.0359375,-0.010917435577721336,0.2,0.5699191689491272,197.11770629882812,740
