time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/entropy_loss,train/std,train/loss,train/learning_rate,train/clip_range,train/n_updates,train/value_loss
1,2048,218,9,-940.7003337,166.8,,,,,,,,,,,
2,4096,440,9,-1097.5680784347828,176.1304347826087,-0.00765908470202703,0.006333327,0.040380859375,0.00022685527801513672,-2.838841326534748,1.0011483430862427,6756.529296875,0.0003,0.2,10,13348.043743133545
3,6144,658,9,-1092.904441625,186.875,-0.006237757008057088,0.004954062,0.04140625,-0.00016188621520996094,-2.83692876547575,0.9973959922790527,7021.76806640625,0.0003,0.2,20,18126.338175964356
4,8192,879,9,-1052.15537275,185.36363636363637,-0.005070924977189861,0.003489357,0.018896484375,-4.8279762268066406e-05,-2.8323759764432905,0.9976984262466431,9720.6767578125,0.0003,0.2,30,11986.938661193848
5,10240,1095,9,-1069.4613875384614,196.03846153846155,-0.009522163914516569,0.005085182,0.069482421875,-1.5497207641601562e-05,-2.8370484061539174,1.0017294883728027,5002.54052734375,0.0003,0.2,40,14212.12017364502
6,12288,1310,9,-1058.1155512033897,207.72881355932202,-0.009212733589811251,0.007686519,0.067431640625,-2.7418136596679688e-06,-2.8356505878269673,0.9964728355407715,2025.2183837890625,0.0003,0.2,50,10022.903343200684
7,14336,1522,9,-1102.7606474920635,225.34920634920636,-0.007369527954142541,0.009013117,0.049267578125,-2.86102294921875e-06,-2.8151623241603376,0.9829004406929016,6263.68603515625,0.0003,0.2,60,11981.020935058594
8,16384,1738,9,-1086.4836129295772,230.07042253521126,-0.007596014952287078,0.004789761,0.031396484375,-2.5153160095214844e-05,-2.799000145494938,0.9799531698226929,2632.3681640625,0.0003,0.2,70,5432.235074615479
9,18432,1955,9,-1096.474904925,227.675,-0.011499337462009863,0.008064155,0.106884765625,-1.0728836059570312e-06,-2.7885105162858963,0.9758803844451904,1234.391845703125,0.0003,0.2,80,12306.399605560302
10,20480,2166,9,-1129.9405581084338,245.0722891566265,-0.007153015260701068,0.003930426,0.022314453125,-2.384185791015625e-07,-2.7944981433451175,0.9816826581954956,5546.94189453125,0.0003,0.2,90,10176.60285949707
11,22528,2382,9,-1138.2151664175824,246.93406593406593,-0.005448318234994076,0.004057627,0.02666015625,-2.5033950805664062e-06,-2.8154768504202368,0.9956761598587036,1191.21826171875,0.0003,0.2,100,3255.93128452301
12,24576,2595,9,-1150.6964431145832,250.33333333333334,-0.00972008466196712,0.0056518754,0.038720703125,-1.0728836059570312e-06,-2.838278732448816,1.0039210319519043,4402.28515625,0.0003,0.2,110,8510.77021484375
13,26624,2812,9,-1158.49962689,258.08,-0.007579765483387746,0.0052035158,0.028564453125,7.152557373046875e-07,-2.841750609874725,1.0028806924819946,2386.709716796875,0.0003,0.2,120,5389.501784515381
14,28672,3025,9,-1185.79845607,269.77,-0.011558494420023635,0.0066471407,0.047119140625,5.364418029785156e-07,-2.8279616929590703,0.9914625883102417,4265.64013671875,0.0003,0.2,130,8011.15548248291
15,30720,3238,9,-1209.3688680599998,277.07,-0.00705375732286484,0.0073108915,0.062109375,-9.5367431640625e-07,-2.8276993252336977,1.0006107091903687,2861.364501953125,0.0003,0.2,140,10318.523347473145
16,32768,3452,9,-1211.7317701700001,287.96,-0.006890613325231243,0.003659632,0.02314453125,2.384185791015625e-07,-2.8419230923056604,1.0041849613189697,3372.901611328125,0.0003,0.2,150,5867.948091125489
17,34816,3669,9,-1209.34912407,291.58,-0.006072797195520252,0.035551395,0.111474609375,7.748603820800781e-07,-2.8466728776693344,0.9937246441841125,2133.005615234375,0.0003,0.2,160,9656.520668029785
18,36864,3885,9,-1241.02176014,296.73,-0.00540914349257946,0.005426418,0.054443359375,7.748603820800781e-07,-2.825721228122711,0.9958341121673584,24535.12890625,0.0003,0.2,170,12330.042603302001
19,38912,4104,9,-1220.6312341399998,294.2,-0.005054886717698537,0.0023135399,0.002587890625,-5.960464477539062e-07,-2.827562855184078,0.9942189455032349,3495.12841796875,0.0003,0.2,180,7600.376602935791
20,40960,4319,9,-1231.5880612299998,299.89,-0.010290826023265254,0.006611001,0.035986328125,-1.1920928955078125e-07,-2.816694986820221,0.982151985168457,1512.66748046875,0.0003,0.2,190,12708.92527923584
21,43008,4536,9,-1206.2470415799999,288.05,-0.006069037245470099,0.0031654497,0.025439453125,-2.384185791015625e-07,-2.810718009620905,0.9913809299468994,2413.64013671875,0.0003,0.2,200,5142.274980163575
22,45056,4751,9,-1251.45546364,289.79,-0.0013342532532988117,0.02571698,0.18310546875,1.7881393432617188e-07,-2.819024010747671,0.984795868396759,4859.361328125,0.0003,0.2,210,10362.546661949158
23,47104,4968,9,-1240.00647349,292.34,-0.002736376487882808,0.0019299143,0.004150390625,0.0,-2.804564241319895,0.9825718402862549,3556.5078125,0.0003,0.2,220,5782.5673542022705
24,49152,5183,9,-1224.50354619,283.57,-0.010734675859566778,0.0044499887,0.051611328125,0.0,-2.803151769936085,0.9837716817855835,3074.41015625,0.0003,0.2,230,5414.959705734253
25,51200,5393,9,-1255.82139542,290.28,-0.0074004291993333025,0.0036872365,0.015966796875,-1.1920928955078125e-07,-2.8029186107218265,0.9814712405204773,2717.33544921875,0.0003,0.2,240,4165.79779548645
26,53248,5610,9,-1232.47153456,290.53,-0.008766921734786593,0.0056934203,0.049169921875,-3.5762786865234375e-07,-2.7974838227033616,0.9785058498382568,551.9507446289062,0.0003,0.2,250,2226.3970436096192
