rollout/ep_rew_mean,time/fps,train/ent_coef,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/critic_loss,train/actor_loss
750.39623425,9,0.3330394923686981,4,163.5,250453,0.0003,0.6801251769065857,654,71,512.8163452148438,-155.90695190429688
636.025165625,9,0.34590110182762146,8,142.25,250937,0.0003,0.5287085175514221,1138,124,734.624755859375,-245.64596557617188
579.4001579166667,9,0.3977402150630951,12,135.91666666666666,251430,0.0003,0.3796851933002472,1631,178,1869.7216796875,-268.94415283203125
452.823243375,9,0.4207228124141693,16,132.1875,251914,0.0003,0.19588355720043182,2115,232,2186.1904296875,-240.67630004882812
385.34338005000006,9,0.42286816239356995,20,124.75,252294,0.0003,0.10596811771392822,2495,275,2403.473876953125,-258.8438720703125
468.2014014166666,9,0.4224426746368408,24,121.66666666666667,252719,0.0003,-0.18692463636398315,2920,323,1514.1463623046875,-232.3993682861328
360.0156954642856,9,0.4026455879211426,28,119.14285714285714,253135,0.0003,-0.17536000907421112,3336,370,1746.434326171875,-232.51611328125
285.26521396875,8,0.393340140581131,32,115.3125,253489,0.0003,-0.03651750460267067,3690,410,512.0293579101562,-242.583740234375
221.34822319444447,8,0.3850770592689514,36,113.44444444444444,253883,0.0003,-0.042008209973573685,4084,455,3091.045654296875,-240.2879638671875
168.87834239999998,8,0.38408103585243225,40,114.1,254363,0.0003,-0.02726154774427414,4564,508,2507.76953125,-206.56350708007812
89.95797127272725,9,0.3601609170436859,44,131.0,255563,0.0003,-0.06956343352794647,5764,633,2000.1614990234375,-159.98257446289062
61.38477741666667,9,0.3614737093448639,48,126.33333333333333,255863,0.0003,-0.20445317029953003,6064,668,729.2334594726562,-117.40177154541016
38.97517296153846,9,0.36774659156799316,52,121.96153846153847,256141,0.0003,-0.358060359954834,6342,701,518.256103515625,-109.96664428710938
47.278406089285724,9,0.3778795301914215,56,118.5,256435,0.0003,-0.09503094851970673,6636,736,2282.931884765625,-109.20864868164062
52.16375013333334,9,0.3836826682090759,60,117.1,256825,0.0003,0.15084314346313477,7026,780,1029.260498046875,-104.79583740234375
32.675568750000004,8,0.3945983946323395,64,115.328125,257180,0.0003,0.23459887504577637,7381,820,808.013671875,-109.97372436523438
41.30373845588236,8,0.3980486989021301,68,111.66176470588235,257392,0.0003,-0.22292231023311615,7593,847,923.0428466796875,-99.51823425292969
91.71090570833333,8,0.40062636137008667,72,108.90277777777777,257640,0.0003,0.12557077407836914,7841,876,3014.782958984375,-107.69578552246094
115.46894573684212,8,0.4169788658618927,76,107.22368421052632,257948,0.0003,0.020719636231660843,8149,912,1231.07666015625,-138.94631958007812
117.87742759999999,8,0.4294936954975128,80,105.125,258209,0.0003,0.256743848323822,8410,944,1226.49951171875,-161.51031494140625
118.68874891666664,8,0.4346587061882019,84,104.57142857142857,258583,0.0003,-0.06490083038806915,8784,986,903.2224731445312,-122.01904296875
120.4370341818182,8,0.43532031774520874,88,103.11363636363636,258873,0.0003,0.08593227714300156,9074,1020,2411.737548828125,-103.64389038085938
122.2768027173913,8,0.4350453317165375,92,101.8586956521739,259170,0.0003,0.02563122659921646,9371,1055,1014.67724609375,-128.2257537841797
124.30585016666667,8,0.4377575218677521,96,100.44791666666667,259442,0.0003,-0.02013246715068817,9643,1087,1426.3284912109375,-104.59730529785156
124.23984856000001,8,0.4319734275341034,100,100.28,259827,0.0003,0.21775320172309875,10028,1131,1591.110107421875,-84.0113525390625
84.56278391,8,0.4262268841266632,104,97.62,260215,0.0003,0.009372018277645111,10416,1175,1606.78515625,-162.19515991210938
96.05576657000002,8,0.4285540282726288,108,98.39,260776,0.0003,-0.21766097843647003,10977,1236,1406.9827880859375,-128.15284729003906
112.64709855000001,8,0.4267905354499817,112,97.86,261216,0.0003,0.11405998468399048,11417,1285,1187.72802734375,-92.69175720214844
114.89373466999996,8,0.422614723443985,116,103.33,262247,0.0003,-0.0942876785993576,12448,1394,997.5369262695312,-81.27485656738281
145.74240457999997,8,0.43380287289619446,120,103.65,262659,0.0003,0.03356441110372543,12860,1440,1164.7213134765625,-90.44049072265625
116.94009082999999,8,0.44533586502075195,124,102.07,262926,0.0003,-0.04979261755943298,13127,1472,1779.131591796875,-93.23664855957031
149.52107282999998,8,0.45300137996673584,128,101.09,263244,0.0003,-0.11038590967655182,13445,1509,1047.3291015625,-59.45041275024414
180.86274310000005,8,0.4619317650794983,132,101.32,263621,0.0003,0.022641826421022415,13822,1552,1096.8372802734375,-80.40272521972656
209.98894830000006,8,0.48379644751548767,136,102.62,264145,0.0003,0.07496548444032669,14346,1609,1606.9720458984375,-66.62018585205078
231.09396572999998,8,0.49389633536338806,140,105.89,264952,0.0003,-0.17226827144622803,15153,1695,852.128662109375,-41.50012969970703
274.41726685,8,0.5054199695587158,144,98.84,265447,0.0003,0.019053883850574493,15648,1749,1418.0523681640625,-63.89837646484375
318.79243186,8,0.4968540370464325,148,100.55,265918,0.0003,0.061045192182064056,16119,1802,1749.37255859375,-43.192325592041016
344.1676913400001,8,0.5093173980712891,152,103.91,266532,0.0003,-0.01590608060359955,16733,1868,1272.3662109375,-60.94700622558594
328.89087159,8,0.5231581926345825,156,110.91,267526,0.0003,-0.10834379494190216,17727,1973,933.146240234375,-30.733844757080078
349.58920651,8,0.5153233408927917,160,114.76,268301,0.0003,0.04304541274905205,18502,2055,1277.37744140625,-9.8143310546875
364.21824488000004,8,0.5086722373962402,164,115.31,268711,0.0003,-0.057014185935258865,18912,2101,1034.1199951171875,-35.128318786621094
