rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl
643.5,2048,-524.9946150000001,208,9,1,,,,,,,,,,
822.25,4096,-1514.2562617500002,417,9,2,2984.0015824317934,0.2,0.627156674861908,-1.7897640682756901,0.00283203125,2460,0.0003,973.3472900390625,-0.0035864649806171657,0.0019289623
839.5714285714286,6144,-2030.6030405714287,627,9,3,162.1367799758911,0.2,0.9487743526697159,-1.6713187541812657,0.053515625,2470,0.0003,114.29940032958984,-0.01365746391529683,0.0063472902
816.0,8192,-1971.2732806,838,9,4,402.7791047930717,0.2,0.6580187380313873,-1.8186438124626876,0.059814453125,2480,0.0003,240.78448486328125,-0.011911626972141676,0.006361834
841.4166666666666,10240,-2005.36036125,1047,9,5,181.97096242308618,0.2,0.786480188369751,-1.7260864838957786,0.091748046875,2490,0.0003,32.99800491333008,-0.018621466151671484,0.009833492
814.4666666666667,12288,-1974.8689653333336,1257,9,6,4292.266921114921,0.2,0.6635894477367401,-1.7595449570566415,0.03701171875,2500,0.0003,1798.3372802734375,-0.006407377365394496,0.00530966
836.4117647058823,14336,-2083.1625010588236,1466,9,7,328.04550168514254,0.2,0.8152961134910583,-1.7862436026334763,0.04755859375,2510,0.0003,93.8844223022461,-0.012646449916064739,0.0073208874
853.7368421052631,16384,-2111.6117841052633,1675,9,8,152.14505838751793,0.2,0.9477211646735668,-1.7042431756854057,0.088232421875,2520,0.0003,72.00982666015625,-0.017666491873387712,0.010108733
844.8571428571429,18432,-2116.7106021428576,1884,9,9,162.53284314870834,0.2,0.7764341235160828,-1.8826514318585397,0.05,2530,0.0003,24.111906051635742,-0.014707854107837193,0.0063988706
858.4347826086956,20480,-2215.9759296521743,2093,9,10,361.80052342414854,0.2,0.599500298500061,-1.8287102065980434,0.06796875,2540,0.0003,265.6917724609375,-0.014422201208071783,0.007580747
