time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss
9,894.0,208,2048,-2647.8905825,1,,,,,,,,,,,
9,677.8333333333334,420,4096,-2011.4466738333333,2,-2.7264870718121528,0.6817702651023865,0.2,482.9218357086182,0.0003,0.019677734375,0.9417558312416077,-0.005727429185935762,0.0028927873,750,114.65497589111328
9,599.4,631,6144,-1632.6808331999998,3,-2.720391296595335,0.5195112824440002,0.2,957.2013576507568,0.0003,0.06552734375,0.9457752108573914,-0.010433939439826645,0.0057766614,760,363.2233581542969
9,605.75,840,8192,-1795.4034774166666,4,-2.725650554150343,0.3192322254180908,0.2,6377.996422767639,0.0003,0.043896484375,0.9461614489555359,-0.006011794022924732,0.0064739957,770,6812.05859375
9,662.2142857142857,1049,10240,-1979.3737197857142,5,-2.731262983381748,0.6714062094688416,0.2,484.1101709127426,0.0003,0.042138671875,0.9518184661865234,-0.009306110796751454,0.0060132537,780,98.72201538085938
9,612.7,1263,12288,-1696.0124402000001,6,-2.736553055793047,0.8060316890478134,0.2,357.0387878656387,0.0003,0.033154296875,0.9498490691184998,-0.00855528897664044,0.005357237,790,265.0883483886719
9,594.1739130434783,1473,14336,-1640.7806900869564,7,-2.731858918070793,0.24995028972625732,0.2,8922.44397201538,0.0003,0.00146484375,0.9480588436126709,-0.0025329081734525973,0.002590243,800,4545.06689453125
9,620.56,1683,16384,-1710.6913325199996,8,-2.737497506290674,0.5181171894073486,0.2,1410.2280826568604,0.0003,0.0095703125,0.955912709236145,-0.0036795330146560446,0.0026562705,810,295.3444519042969
9,648.7407407407408,1892,18432,-1761.1408545925924,9,-2.7472347266972066,0.11152338981628418,0.2,808.5227436542511,0.0003,0.026025390625,0.9568042755126953,-0.008142822756781243,0.004699366,820,138.2698516845703
9,635.75,2104,20480,-1717.39274240625,10,-2.7491341665387155,0.9032607302069664,0.2,144.57856909036636,0.0003,0.0677734375,0.957819402217865,-0.009897861313947941,0.008271674,830,30.0236873626709
9,598.6388888888889,2316,22528,-1584.125004611111,11,-2.749159647524357,0.6889894604682922,0.2,863.285036611557,0.0003,0.01875,0.9580992460250854,-0.007019703058176674,0.0038799401,840,451.08319091796875
9,612.45,2527,24576,-1611.873581725,12,-2.7490059845149517,0.3056090474128723,0.2,8638.608987045289,0.0003,0.007080078125,0.9570382833480835,-0.00350959842762677,0.002869886,850,3040.232666015625
9,609.046511627907,2737,26624,-1582.836131116279,13,-2.7474320463836195,0.4843895435333252,0.2,1318.5353037834168,0.0003,0.01650390625,0.9567406177520752,-0.00586413252458442,0.0040196856,860,795.0587158203125
9,616.5,2948,28672,-1610.3411024782608,14,-2.7472463749349116,0.5372749269008636,0.2,3871.9319056510926,0.0003,0.0083984375,0.9569213390350342,-0.002241070504533127,0.0037679651,870,334.10968017578125
9,617.4897959183673,3158,30720,-1591.3340119591835,15,-2.7391195058822633,0.6790316104888916,0.2,576.870070886612,0.0003,0.022216796875,0.9480809569358826,-0.00883101423678454,0.003997964,880,358.1957702636719
9,629.2884615384615,3368,32768,-1608.3061674807689,16,-2.724896351248026,0.4932733178138733,0.2,3947.068113517761,0.0003,0.017041015625,0.9444962739944458,-0.0031329445366282014,0.0034998883,890,394.9256286621094
9,620.9821428571429,3580,34816,-1601.5837066607144,17,-2.7207904890179635,0.5173332691192627,0.2,856.029850101471,0.0003,0.0357421875,0.9445170760154724,-0.007524992857361213,0.005147148,900,273.3412780761719
9,634.0862068965517,3789,36864,-1626.978484310345,18,-2.723860166221857,0.6496193706989288,0.2,1231.251440191269,0.0003,0.02158203125,0.9480169415473938,-0.007193589446251281,0.004734152,910,220.6759490966797
9,641.2666666666667,3998,38912,-1625.52607845,19,-2.7187921687960626,0.8174696713685989,0.2,224.55369017124175,0.0003,0.041796875,0.9393008947372437,-0.0076990448476863095,0.008770851,920,44.60148620605469
9,639.140625,4209,40960,-1594.7476158906252,20,-2.7025834411382674,0.5131907761096954,0.2,3319.2013520240785,0.0003,0.031982421875,0.9339169859886169,-0.002373188128694892,0.004727439,930,1685.284912109375
9,650.1060606060606,4419,43008,-1602.1530900454547,21,-2.6973112486302853,0.487775981426239,0.2,6053.15505771637,0.0003,0.003173828125,0.9349232912063599,-0.002530853552161716,0.0023748842,940,988.1685180664062
9,645.3478260869565,4629,45056,-1590.3315372608697,22,-2.699679508805275,0.7059054374694824,0.2,633.4909346580505,0.0003,0.033740234375,0.9360094666481018,-0.007343745665275491,0.005454562,950,142.0955810546875
9,654.6901408450705,4838,47104,-1615.420507464789,23,-2.7010162763297556,0.9129476398229599,0.2,1115.667482471466,0.0003,0.01494140625,0.935945451259613,-0.00651629177009454,0.0036606651,960,204.6848907470703
9,652.4266666666666,5050,49152,-1597.6667881866667,24,-2.7098499961197375,0.6969528496265411,0.2,840.7557199478149,0.0003,0.0384765625,0.941630482673645,-0.008355537473107688,0.006144704,970,204.3767852783203
9,636.1125,5262,51200,-1570.1389261250001,25,-2.7130623713135718,0.5822107195854187,0.2,4387.192158412933,0.0003,0.045654296875,0.9406112432479858,-0.00590939776157029,0.00574655,980,342.5262756347656
9,645.0121951219512,5471,53248,-1602.6831132317072,26,-2.704873990267515,0.6931739449501038,0.2,3661.3117995262146,0.0003,0.0619140625,0.9348560571670532,-0.0074318690196378155,0.0054280534,990,308.1812438964844
9,653.4880952380952,5680,55296,-1618.5708052857142,27,-2.705148301273584,0.8246193677186966,0.2,169.3618665933609,0.0003,0.056494140625,0.9396500587463379,-0.008884047329775057,0.0081348615,1000,47.15153503417969
