train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed
700012,-366.98507025,9,513,4,0.454180508852005,64.26335144042969,0.3229782283306122,128.25,729.0721435546875,0.0003,56
701096,-1051.800917125,9,1597,8,0.4715559482574463,541.966064453125,-0.007093757390975952,199.625,579.671142578125,0.0003,170
701636,-813.609073,9,2137,12,0.4833466410636902,371.693359375,-0.04300187528133392,178.08333333333334,613.250244140625,0.0003,229
702402,-774.1603291875001,9,2903,16,0.4678895175457001,413.25433349609375,-0.04480718448758125,181.4375,562.88623046875,0.0003,311
703008,-709.5286879500001,9,3509,20,0.4202386736869812,432.1456298828125,-0.14644016325473785,175.45,965.7820434570312,0.0003,377
703515,-631.7538951666667,9,4016,24,0.4264235198497772,325.1331787109375,0.17271959781646729,167.33333333333334,753.6187133789062,0.0003,433
703865,-670.9052231071429,9,4366,28,0.429710328578949,400.6854553222656,0.2257910966873169,155.92857142857142,561.6051025390625,0.0003,473
704309,-683.3478521250001,9,4810,32,0.41604509949684143,358.69903564453125,-0.22747212648391724,150.3125,466.8967590332031,0.0003,522
704743,-706.2283627500002,9,5244,36,0.39231905341148376,368.8162841796875,-0.01731586456298828,145.66666666666666,535.944091796875,0.0003,571
705103,-720.914551825,9,5604,40,0.3818487524986267,410.5030212402344,-0.007925895974040031,140.1,419.5709228515625,0.0003,612
705567,-737.6607146590909,9,6068,44,0.3779677450656891,422.4189758300781,0.01554698497056961,137.9090909090909,690.4755859375,0.0003,663
705957,-705.5679548958334,9,6458,48,0.3700738251209259,422.2946472167969,-0.17769479751586914,134.54166666666666,508.39520263671875,0.0003,708
706449,-722.9250358461541,9,6950,52,0.3529667854309082,426.0911865234375,0.2036730945110321,133.65384615384616,447.9691162109375,0.0003,762
706764,-635.0115838749999,9,7265,56,0.35366833209991455,393.9806213378906,0.08269985765218735,129.73214285714286,567.2232666015625,0.0003,799
