rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/std,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/learning_rate,train/n_updates
146.83203588888884,251,54.52777777777778,2048,1,8,,,,,,,,,,,
312.0717092285714,501,57.94285714285714,4096,2,8,0.3114132285118103,0.2,0.005028392,-0.5027680572122335,0.3750583529472351,30194.10732269287,-0.0038333429300109858,7484.1181640625,0.042333984375,0.0003,9330
346.26905991000007,749,59.05,6144,3,8,0.3111545145511627,0.2,0.005119048,-0.5012248456478119,0.7765615433454514,16328.484011840821,-0.004784860368818045,5832.6767578125,0.041943359375,0.0003,9340
464.28991999999994,1001,60.67,8192,4,8,0.31085890531539917,0.2,0.006750997,-0.4993142195045948,0.656825602054596,25753.440602111816,-0.009318503888789565,9534.3388671875,0.061181640625,0.0003,9350
432.97966880000007,1248,61.2,10240,5,8,0.31066977977752686,0.2,0.007918203,-0.49754772074520587,0.8827969431877136,11459.478772735596,-0.008523825078736991,3514.3583984375,0.084912109375,0.0003,9360
445.4161315199999,1494,62.65,12288,6,8,0.31058257818222046,0.2,0.0038102993,-0.49686095789074897,0.7331831753253937,26618.71634979248,-0.0075767534755868836,6291.0966796875,0.05234375,0.0003,9370
414.69481595,1742,63.57,14336,7,8,0.3102446496486664,0.2,0.0044380287,-0.495679447427392,0.7748498022556305,17945.086720275878,-0.008417999476660044,7094.75439453125,0.0421875,0.0003,9380
416.19468093999996,1989,63.57,16384,8,8,0.3097133934497833,0.2,0.004199245,-0.49278430119156835,0.8638796508312225,15253.679501342773,-0.005950582974764984,6774.2294921875,0.02578125,0.0003,9390
297.97936852,2240,61.03,18432,9,8,0.3097896873950958,0.2,0.007974805,-0.4910986218601465,0.8370567411184311,14524.143389892579,-0.007787026686128229,17281.529296875,0.06123046875,0.0003,9400
371.88435585,2487,62.1,20480,10,8,0.30909988284111023,0.2,0.004652053,-0.4894948940724134,0.8696979433298111,17029.616641235352,-0.005901903823541943,8937.62109375,0.0388671875,0.0003,9410
372.93122188,2736,61.61,22528,11,8,0.3078920841217041,0.2,0.00831996,-0.4836250446736813,0.8675553798675537,7099.167012405395,-0.008559939992846922,2317.6259765625,0.09033203125,0.0003,9420
478.66067021000003,2984,62.33,24576,12,8,0.3076145052909851,0.2,0.0062374673,-0.478805935382843,0.7379897832870483,25121.347200012206,-0.006315388936491218,18364.787109375,0.044677734375,0.0003,9430
449.17742144000005,3230,62.68,26624,13,8,0.30750203132629395,0.2,0.00870638,-0.47719618305563927,0.799894705414772,14151.451797485352,-0.00429277904186165,4001.9755859375,0.0333984375,0.0003,9440
408.13066716000003,3483,60.93,28672,14,8,0.30767694115638733,0.2,0.004655865,-0.47747852802276614,0.7954022437334061,20956.3445892334,-0.005701450396736618,9466.8974609375,0.03994140625,0.0003,9450
374.94368603999993,3729,62.61,30720,15,8,0.30774402618408203,0.2,0.0028495006,-0.47830897346138956,0.7228726446628571,31422.247805786134,-0.004268344145384617,6982.57177734375,0.01953125,0.0003,9460
329.60714197999994,3978,61.22,32768,16,8,0.30771541595458984,0.2,0.005038349,-0.47833260111510756,0.7891310304403305,16522.810791015625,-0.004611310097971,8211.0263671875,0.021826171875,0.0003,9470
401.9779103,4228,62.19,34816,17,8,0.30744877457618713,0.2,0.0044198185,-0.4778936017304659,0.8973811715841293,12680.053002929688,-0.0045979797374457124,2727.564453125,0.02822265625,0.0003,9480
493.76366394,4475,61.6,36864,18,8,0.30735108256340027,0.2,0.0040507317,-0.4765941437333822,0.8096913993358612,14155.025596618652,-0.004796048515709117,4276.49267578125,0.039990234375,0.0003,9490
477.73299528,4721,62.4,38912,19,8,0.3070393204689026,0.2,0.005773602,-0.47528062090277673,0.8587614297866821,9403.85617980957,-0.009157520608277991,2947.927490234375,0.061328125,0.0003,9500
456.98644111,4969,64.67,40960,20,8,0.3071114122867584,0.2,0.0045840545,-0.4739801108837128,0.8220691233873367,14468.554328155518,-0.005174772479222156,6918.6455078125,0.048193359375,0.0003,9510
354.59897359,5218,62.91,43008,21,8,0.3069959580898285,0.2,0.0054209037,-0.4741468898952007,0.926276832818985,7649.781327819825,-0.006068255317222793,2621.444091796875,0.078076171875,0.0003,9520
386.13833010999997,5468,61.72,45056,22,8,0.3064877986907959,0.2,0.008500559,-0.47222631573677065,0.8614842295646667,12420.185459899902,-0.009800836458452977,4896.16015625,0.08212890625,0.0003,9530
372.98719116,5716,61.49,47104,23,8,0.30695682764053345,0.2,0.005978822,-0.47191550992429254,0.8563810884952545,11912.487339782714,-0.008670250815339387,4357.802734375,0.060595703125,0.0003,9540
374.77877596999997,5969,59.93,49152,24,8,0.30648183822631836,0.2,0.0072443658,-0.4724565662443638,0.8825178667902946,7835.320324707031,-0.006814859283622354,2333.28173828125,0.0458984375,0.0003,9550
287.55509886,6220,59.59,51200,25,8,0.30669891834259033,0.2,0.006250994,-0.4712313372641802,0.8949731662869453,10620.741276550292,-0.00848880327976076,6378.23046875,0.069580078125,0.0003,9560
314.80890667000006,6465,60.66,53248,26,8,0.30687105655670166,0.2,0.0033496749,-0.47261583618819714,0.872573733329773,17813.161337280275,-0.002657163444382604,14174.8955078125,0.02451171875,0.0003,9570
328.18013392,6713,62.35,55296,27,8,0.30665287375450134,0.2,0.004940428,-0.4723080389201641,0.8840751796960831,9892.550436401367,-0.008741064832429401,7209.23046875,0.0353515625,0.0003,9580
431.91229554,6963,62.45,57344,28,8,0.30622929334640503,0.2,0.00971147,-0.470376643165946,0.8885143995285034,10091.655286407471,-0.008366201640455984,5210.03369140625,0.068994140625,0.0003,9590
422.06327840000006,7214,60.62,59392,29,8,0.30583757162094116,0.2,0.0045591034,-0.4677251551300287,0.8640432208776474,12190.277703857422,-0.005881897763174493,902.7534790039062,0.054150390625,0.0003,9600
435.69176336000004,7462,61.06,61440,30,8,0.30580395460128784,0.2,0.003940248,-0.4661892604082823,0.8943780064582825,13938.077878570557,-0.0067174148192862045,3458.1884765625,0.0486328125,0.0003,9610
