train/critic_loss,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,train/learning_rate,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates
33.36487579345703,1651,9,170,-1584.73387875,15.671477317810059,0.6362332105636597,0.0003,4,412.75,-1.3578145503997803,1550
26.92498779296875,2951,9,305,-1392.015382875,30.46422576904297,0.43974965810775757,0.0003,8,368.875,-2.3325579166412354,2850
60.94184494018555,6080,9,624,-1415.6539715833333,50.491851806640625,0.1946319043636322,0.0003,12,506.6666666666667,-1.9355871677398682,5979
30.9494571685791,10084,9,1029,-1638.6060284999999,78.48394012451172,0.07917533814907074,0.0003,16,630.25,-1.3054951429367065,9983
25.275188446044922,13377,9,1364,-1480.01978045,100.69424438476562,0.06708794087171555,0.0003,20,668.85,1.083880066871643,13276
20.393741607666016,16274,9,1659,-1355.6388541666665,104.65235137939453,0.07622317224740982,0.0003,24,678.0833333333334,0.704891562461853,16173
108.2641372680664,20278,9,2065,-1362.4290039999998,114.05995178222656,0.07747878134250641,0.0003,28,724.2142857142857,-0.33070629835128784,20177
29.075504302978516,23634,9,2406,-1294.2072270625,122.2177734375,0.07224275916814804,0.0003,32,738.5625,-0.2880654036998749,23533
55.019527435302734,26839,9,2731,-1191.7027537222223,123.50677490234375,0.0745876282453537,0.0003,36,745.5277777777778,-0.36501380801200867,26738
4123.40673828125,29034,9,2956,-1052.8700844,126.577392578125,0.07157230377197266,0.0003,40,725.85,-0.6012436151504517,28933
46.19000244140625,29859,9,3044,-931.3933108181817,125.21824645996094,0.07315974682569504,0.0003,44,678.6136363636364,-0.39307907223701477,29758
53.91059112548828,32830,9,3346,-984.6955006041666,125.12713623046875,0.08216937631368637,0.0003,48,683.9583333333334,-0.7486340403556824,32729
66.29130554199219,34778,9,3546,-962.578995923077,125.27056884765625,0.08465766906738281,0.0003,52,668.8076923076923,-0.3906802535057068,34677
81.18648529052734,38003,9,3874,-950.7484487857143,117.42190551757812,0.0929064229130745,0.0003,56,678.625,0.47085416316986084,37902
115.4329605102539,42007,9,4280,-977.33190815,116.79121398925781,0.10539944469928741,0.0003,60,700.1166666666667,-0.39244818687438965,41906
72.54891967773438,44473,9,4531,-962.1598086406249,122.3603744506836,0.10492952167987823,0.0003,64,694.890625,0.04952465742826462,44372
64.51420593261719,47818,9,4871,-973.6789346617646,116.20573425292969,0.11841357499361038,0.0003,68,703.2058823529412,-0.6333664059638977,47717
115.19013977050781,51822,9,5277,-1011.8865038055555,126.17459869384766,0.13442204892635345,0.0003,72,719.75,-0.16032880544662476,51721
70.66780853271484,53086,9,5409,-941.9318433157894,123.38092041015625,0.14234307408332825,0.0003,76,698.5,-0.5990417003631592,52985
105.95536804199219,54585,9,5564,-857.1776517374999,117.15638732910156,0.1465863138437271,0.0003,80,682.3125,0.3357650935649872,54484
101.54385375976562,55573,9,5668,-795.3788067857141,108.97740936279297,0.15664756298065186,0.0003,84,661.5833333333334,0.5593041181564331,55472
131.395751953125,56274,9,5743,-724.1916285909091,106.29186248779297,0.1569293886423111,0.0003,88,639.4772727272727,-0.011483438313007355,56173
128.38388061523438,56906,9,5811,-655.7442725434782,94.13839721679688,0.16779012978076935,0.0003,92,618.5434782608696,-0.587138831615448,56805
79.66551208496094,57525,9,5878,-592.5244355,100.34596252441406,0.17556270956993103,0.0003,96,599.21875,-0.12084825336933136,57424
81.44518280029297,58228,9,5954,-534.40873104,85.08179473876953,0.1676776260137558,0.0003,100,582.28,-0.028266286477446556,58127
105.46707153320312,58777,9,6014,-435.89742699000004,89.68412780761719,0.1706600934267044,0.0003,104,571.26,0.3057379126548767,58676
124.9758529663086,59428,9,6084,-354.10570469999993,71.20762634277344,0.1737005114555359,0.0003,108,564.77,0.3840509057044983,59327
88.39468383789062,60003,9,6147,-261.62954964999994,73.43768310546875,0.17222698032855988,0.0003,112,539.23,-0.14017312228679657,59902
136.83103942871094,60556,9,6207,-134.90063905,78.19396209716797,0.1724788248538971,0.0003,116,504.72,-0.012252923101186752,60455
119.40843200683594,61502,9,6307,-71.26340561000004,69.72358703613281,0.18275560438632965,0.0003,120,481.25,0.07023602724075317,61401
142.09910583496094,61900,9,6352,-5.088888970000008,55.526947021484375,0.1824513077735901,0.0003,124,456.26,-0.3239688277244568,61799
144.75823974609375,62310,9,6398,87.00594338,53.187164306640625,0.17511992156505585,0.0003,128,420.32,-0.2720543146133423,62209
246.14117431640625,63284,9,6501,150.89597425999997,38.94685363769531,0.18735133111476898,0.0003,132,396.5,-0.0946899801492691,63183
104.94982147216797,63867,9,6564,201.13529481999996,45.455352783203125,0.18905410170555115,0.0003,136,370.28,0.2597516179084778,63766
1308.803466796875,64520,9,6635,227.31330698000002,25.559715270996094,0.1893349140882492,0.0003,140,354.86,-0.38257700204849243,64419
132.59603881835938,65178,9,6705,250.98493481000003,33.76950454711914,0.20101165771484375,0.0003,144,353.19,-0.05671899393200874,65077
310.45843505859375,65987,9,6791,343.13325144000004,35.28413391113281,0.20214951038360596,0.0003,148,331.57,0.02133466675877571,65886
1579.2337646484375,66724,9,6870,405.20697073,-1.6785778999328613,0.21035760641098022,0.0003,152,319.46,0.034757256507873535,66623
1562.837158203125,67503,9,6953,469.28033187,19.414051055908203,0.21269184350967407,0.0003,156,295.0,0.16506549715995789,67402
205.04861450195312,67985,9,7007,558.8058186,5.52882194519043,0.2150574028491974,0.0003,160,259.78,0.029040828347206116,67884
