train/ent_coef_loss,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,time/episodes,time/fps,train/learning_rate,train/n_updates
-0.7332121729850769,1323,330.75,16.655555725097656,22.07366943359375,-1865.148145,0.7164584994316101,137,4,9,0.0003,1222
-0.7153455018997192,1739,217.375,43.40023422241211,29.333723068237305,-1306.178348,0.6418502330780029,184,8,9,0.0003,1638
-0.5572279691696167,2071,172.58333333333334,643.0289306640625,33.62903594970703,-1145.5397677499998,0.6040813326835632,222,12,9,0.0003,1970
-0.4472213387489319,2511,156.9375,668.8656005859375,47.965187072753906,-1038.1341897500001,0.5639967918395996,272,16,9,0.0003,2410
-0.4106867015361786,2746,137.3,1991.13037109375,61.11619567871094,-950.3273733000002,0.5458734035491943,300,20,9,0.0003,2645
-0.23082871735095978,3211,133.79166666666666,1336.905029296875,72.627197265625,-916.9575458333334,0.5185844898223877,352,24,9,0.0003,3110
0.01654329150915146,3577,127.75,1052.086669921875,86.60794067382812,-896.1427564642856,0.5064631700515747,394,28,9,0.0003,3476
-0.048690445721149445,4019,125.59375,150.92669677734375,90.54547119140625,-889.5967086875,0.49756720662117004,443,32,9,0.0003,3918
0.2109084129333496,4366,121.27777777777777,510.0418395996094,109.33106994628906,-888.6879202222223,0.48866191506385803,483,36,9,0.0003,4265
-0.18855151534080505,4846,121.15,440.71136474609375,123.3036117553711,-886.35620455,0.46655285358428955,536,40,9,0.0003,4745
0.06431007385253906,5824,132.36363636363637,715.799560546875,137.10760498046875,-947.5831894772728,0.47517746686935425,639,44,9,0.0003,5723
-0.1861194372177124,6898,143.70833333333334,569.4318237304688,157.64932250976562,-952.86592325,0.4904590845108032,752,48,9,0.0003,6797
-0.12231981009244919,7730,148.65384615384616,301.64666748046875,182.9342041015625,-966.2300769230769,0.456827849149704,840,52,9,0.0003,7629
0.05315261334180832,8526,152.25,251.3895263671875,194.13072204589844,-962.4192037142858,0.41908547282218933,925,56,9,0.0003,8425
-0.10082937031984329,9932,165.53333333333333,208.53836059570312,214.11386108398438,-981.1108722500002,0.3748832046985626,1071,60,9,0.0003,9831
-0.28078651428222656,12049,188.265625,425.9225158691406,231.75306701660156,-1021.3524611875,0.3278586268424988,1287,64,9,0.0003,11948
0.21733179688453674,15376,226.11764705882354,110.49124145507812,265.700439453125,-1127.5920936911764,0.26495057344436646,1625,68,9,0.0003,15275
0.09913956373929977,19127,265.65277777777777,92.57765197753906,312.4953308105469,-1290.0617194722222,0.20795197784900665,2006,72,9,0.0003,19026
-0.2942841649055481,22296,293.36842105263156,75.3248519897461,318.8200378417969,-1334.4896574342104,0.17352887988090515,2328,76,9,0.0003,22195
0.25579607486724854,25260,315.75,86.38892364501953,343.23760986328125,-1461.3612237625002,0.15032316744327545,2629,80,9,0.0003,25159
0.175667405128479,28363,337.6547619047619,45.663917541503906,354.029541015625,-1501.9267339047624,0.137678325176239,2945,84,9,0.0003,28262
0.7078179121017456,31027,352.57954545454544,46.110023498535156,369.1204833984375,-1572.685728590909,0.13378025591373444,3217,88,9,0.0003,30926
0.30318135023117065,33563,364.8152173913044,119.86470794677734,379.4867858886719,-1564.3826893369564,0.12202611565589905,3476,92,9,0.0003,33462
0.4741951525211334,36531,380.53125,55.04271697998047,366.04595947265625,-1630.21281828125,0.1131746843457222,3778,96,9,0.0003,36430
0.3826966881752014,38045,380.45,284.4739685058594,373.3968200683594,-1594.25892772,0.1101638674736023,3935,100,9,0.0003,37944
-0.4207456707954407,40853,395.3,51.075782775878906,380.9528503417969,-1624.19604971,0.10505346208810806,4221,104,9,0.0003,40752
0.4428499639034271,44070,423.31,148.93710327148438,379.9594421386719,-1712.43024079,0.09823208302259445,4548,108,9,0.0003,43969
-0.34233778715133667,47262,451.91,45.61260986328125,394.39154052734375,-1829.55240951,0.09026734530925751,4873,112,9,0.0003,47161
0.29882484674453735,48166,456.55,47.061214447021484,389.79974365234375,-1846.6499190199997,0.08979291468858719,4969,116,9,0.0003,48065
-0.32309746742248535,50364,476.18,678.1705322265625,392.7411804199219,-1914.38266195,0.0884174257516861,5194,120,9,0.0003,50263
-0.26544374227523804,52513,493.02,79.01708984375,400.4642333984375,-1942.7951880500002,0.08693939447402954,5414,124,9,0.0003,52412
-0.6419321298599243,54073,504.96,62.25843048095703,410.8616638183594,-1964.87185436,0.08510897308588028,5575,128,9,0.0003,53972
0.43533796072006226,56151,521.32,61.26805877685547,393.46661376953125,-1960.1511248800002,0.08575033396482468,5788,132,9,0.0003,56050
0.42085227370262146,57009,526.43,6390.029296875,391.2824401855469,-1954.71723008,0.0858907550573349,5879,136,9,0.0003,56908
0.21185936033725739,58407,535.61,69.01353454589844,405.6831970214844,-1971.59829639,0.08577501773834229,6024,140,9,0.0003,58306
0.8025522828102112,60567,547.43,66.63443756103516,407.2011413574219,-1985.5816741499998,0.08505737781524658,6246,144,9,0.0003,60466
0.054738834500312805,62848,559.5,45.67804718017578,395.6273498535156,-2006.47220105,0.08342250436544418,6479,148,9,0.0003,62747
-0.4565039277076721,64194,564.64,63.04320526123047,401.5697021484375,-1985.0332241600001,0.08114034682512283,6619,152,9,0.0003,64093
0.3051391839981079,66014,574.88,61.04902648925781,409.0071716308594,-2011.45259628,0.0793912410736084,6806,156,9,0.0003,65913
0.2714812457561493,67510,575.78,5101.5380859375,409.39739990234375,-1998.40942112,0.07789019495248795,6961,160,9,0.0003,67409
