time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,train/n_updates,train/learning_rate,train/loss
9,189.42,61257,-869.7830636199999,0.05,316,6519,127814,0.0001,0.36446747183799744
9,190.52,62307,-861.2830094899999,0.05,320,6630,128076,0.0001,0.5046805143356323
9,192.62,63297,-851.58591865,0.05,324,6734,128324,0.0001,0.40063461661338806
9,196.23,64383,-877.5138376499998,0.05,328,6847,128595,0.0001,0.7141212821006775
9,198.77,65127,-857.0308047,0.05,332,6927,128781,0.0001,0.40840446949005127
9,201.37,65939,-854.4477898899999,0.05,336,7013,128984,0.0001,0.2469286024570465
9,209.57,67319,-885.8134028199999,0.05,340,7156,129329,0.0001,11.209684371948242
9,204.87,67759,-857.7112256999999,0.05,344,7205,129439,0.0001,11.652408599853516
9,205.35,68353,-840.02307829,0.05,348,7270,129588,0.0001,0.3885612189769745
9,209.03,69289,-820.34957018,0.05,352,7368,129822,0.0001,0.4340018630027771
9,203.51,70057,-764.6299265599998,0.05,356,7450,130014,0.0001,0.44116342067718506
9,209.32,71332,-734.3139442000002,0.05,360,7583,130332,0.0001,0.35100361704826355
9,208.09,72153,-743.5181380199999,0.05,364,7670,130538,0.0001,0.4024016559123993
9,208.64,72748,-742.4965036600001,0.05,368,7735,130686,0.0001,13.512696266174316
9,201.61,73159,-716.22989422,0.05,372,7781,130789,0.0001,0.35112905502319336
9,183.19,73667,-715.21260441,0.05,376,7837,130916,0.0001,0.3219059705734253
9,185.97,74839,-702.5180799700001,0.05,380,7959,131209,0.0001,0.3436852693557739
9,184.77,75239,-701.8010244599999,0.05,384,8004,131309,0.0001,0.39982229471206665
9,189.01,76581,-680.33122159,0.05,388,8144,131645,0.0001,0.5515592694282532
9,189.68,76978,-656.4679629699999,0.05,392,8189,131744,0.0001,0.26524868607521057
9,191.78,77702,-658.31500047,0.05,396,8266,131925,0.0001,0.25236785411834717
9,188.29,78239,-631.2044870600001,0.05,400,8325,132059,0.0001,0.44760197401046753
9,195.83,79339,-662.56131593,0.05,404,8440,132334,0.0001,0.34905993938446045
9,195.68,79867,-643.89631532,0.05,408,8498,132466,0.0001,0.26720935106277466
9,204.33,81162,-649.2830118400001,0.05,412,8632,132790,0.0001,0.8482393026351929
9,202.29,81486,-645.90703833,0.05,416,8670,132871,0.0001,0.9888057112693787
9,203.01,82608,-619.74568596,0.05,420,8787,133151,0.0001,0.5661141872406006
9,198.34,83131,-618.29176239,0.05,424,8844,133282,0.0001,0.2852523624897003
9,199.97,84380,-591.8937330199999,0.05,428,8975,133594,0.0001,0.23364751040935516
9,204.29,85556,-603.5073668199999,0.05,432,9097,133888,0.0001,0.3697875738143921
9,205.06,86445,-609.3375382199999,0.05,436,9191,134111,0.0001,0.26969975233078003
9,196.95,87014,-579.33318348,0.05,440,9253,134253,0.0001,0.4442960023880005
9,211.68,88927,-588.7566108499999,0.05,444,9450,134731,0.0001,0.3055576682090759
9,214.14,89767,-607.89325954,0.05,448,9539,134941,0.0001,0.43106287717819214
9,209.26,90215,-580.01108651,0.05,452,9589,135053,0.0001,0.5420678853988647
9,205.7,90627,-593.85315118,0.05,456,9635,135156,0.0001,0.2302563339471817
9,198.94,91226,-601.54725822,0.05,460,9699,135306,0.0001,0.33420637249946594
9,198.03,91956,-592.1698744199999,0.05,464,9778,135488,0.0001,0.38727784156799316
9,195.86,92334,-609.18437076,0.05,468,9821,135583,0.0001,0.45282575488090515
9,197.01,92860,-604.8694993,0.05,472,9878,135714,0.0001,0.3316832184791565
9,195.63,93230,-608.04295812,0.05,476,9920,135807,0.0001,0.4268430173397064
9,189.27,93766,-602.61817606,0.05,480,9979,135941,0.0001,0.20904754102230072
9,191.01,94340,-622.20292619,0.05,484,10041,136084,0.0001,0.33852243423461914
9,181.25,94706,-650.47324289,0.05,488,10083,136176,0.0001,0.4589605927467346
9,183.55,95333,-674.5680428400001,0.05,492,10151,136333,0.0001,15.076289176940918
9,185.57,96259,-675.0838088700001,0.05,496,10249,136564,0.0001,0.49037009477615356
9,193.1,97549,-704.4198563099999,0.05,500,10383,136887,0.0001,12.001961708068848
9,187.08,98047,-679.89504286,0.05,504,10438,137011,0.0001,0.34215620160102844
9,189.08,98775,-671.9469479799998,0.05,508,10516,137193,0.0001,0.434088796377182
9,187.11,99873,-676.94940592,0.05,512,10631,137468,0.0001,0.4756924510002136
9,190.35,100521,-666.5904941199999,0.05,516,10701,137630,0.0001,0.37532150745391846
9,188.67,101475,-696.45823394,0.05,520,10801,137868,0.0001,0.2486414760351181
9,190.11,102142,-650.70564161,0.05,524,10873,138035,0.0001,0.48842549324035645
9,181.28,102508,-634.2725809,0.05,528,10915,138126,0.0001,13.131174087524414
9,177.74,103330,-655.18275686,0.05,532,11002,138332,0.0001,0.41187459230422974
9,173.8,103825,-627.84201733,0.05,536,11056,138456,0.0001,0.32640233635902405
9,173.07,104321,-630.50808523,0.05,540,11111,138580,0.0001,0.39061439037323
9,166.08,105535,-634.9294783,0.05,544,11238,138883,0.0001,0.22669613361358643
9,163.94,106161,-607.5785994999999,0.05,548,11305,139040,0.0001,0.7947903871536255
9,165.28,106743,-646.2274385200001,0.05,552,11369,139185,0.0001,0.2545415163040161
9,165.2,107147,-627.82323119,0.05,556,11414,139286,0.0001,25.306041717529297
9,165.83,107809,-622.5448212399999,0.05,560,11486,139452,0.0001,0.4579504430294037
9,161.87,108143,-601.98411142,0.05,564,11524,139535,0.0001,0.5099329948425293
9,161.85,108519,-605.4749209,0.05,568,11567,139629,0.0001,0.40744099020957947
9,162.1,109070,-609.71038608,0.05,572,11627,139767,0.0001,0.8111856579780579
9,162.92,109522,-595.8262255,0.05,576,11678,139880,0.0001,0.3391493856906891
9,171.3,110896,-620.38830807,0.05,580,11820,140223,0.0001,0.3438894748687744
9,173.0,111640,-621.29050235,0.05,584,11900,140409,0.0001,0.3866412043571472
9,173.84,112090,-613.87234863,0.05,588,11949,140522,0.0001,0.3326578736305237
9,172.83,112616,-597.3949241400002,0.05,592,12007,140653,0.0001,0.4052027463912964
9,168.52,113111,-560.68346875,0.05,596,12062,140777,0.0001,0.5111210346221924
9,162.0,113749,-548.4020822699999,0.05,600,12131,140937,0.0001,0.299710750579834
9,168.74,114921,-551.04045987,0.05,604,12253,141230,0.0001,0.35424312949180603
9,166.08,115383,-559.77453669,0.05,608,12304,141345,0.0001,0.4443036615848541
9,160.3,115903,-536.7468844,0.05,612,12361,141475,0.0001,0.37578338384628296
9,160.53,116574,-550.2590182399999,0.05,616,12433,141643,0.0001,0.34425318241119385
9,156.57,117132,-537.16091865,0.05,620,12494,141782,0.0001,0.4225044846534729
9,155.02,117644,-546.47074392,0.05,624,12551,141910,0.0001,0.39155691862106323
9,164.42,118950,-560.43054696,0.05,628,12687,142237,0.0001,0.43357765674591064
9,161.64,119494,-534.53918306,0.05,632,12746,142373,0.0001,0.49748602509498596
9,159.45,119770,-515.38789048,0.05,636,12779,142442,0.0001,0.5594122409820557
9,157.11,120032,-492.56791016000005,0.05,640,12810,142507,0.0001,15.40955924987793
9,152.12,120747,-466.5965122399999,0.05,644,12887,142686,0.0001,0.46535345911979675
9,150.76,121237,-447.24408907000003,0.05,648,12941,142809,0.0001,0.5878247022628784
9,149.76,121719,-448.82982745000004,0.05,652,12994,142929,0.0001,0.3989735245704651
9,153.76,122523,-471.78814120000004,0.05,656,13079,143130,0.0001,0.4514320194721222
9,157.94,123603,-475.01033942999993,0.05,660,13192,143400,0.0001,10.893682479858398
9,158.45,123988,-453.86085927000005,0.05,664,13236,143496,0.0001,0.33091795444488525
9,161.42,124661,-429.37893427,0.05,668,13308,143665,0.0001,0.49301302433013916
9,160.12,125082,-424.0217501900001,0.05,672,13355,143770,0.0001,0.5346451997756958
9,160.64,125586,-426.19593386,0.05,676,13411,143896,0.0001,0.6517594456672668
9,156.48,126544,-380.77346020000005,0.05,680,13511,144135,0.0001,0.43487733602523804
9,155.65,127205,-370.56258370999996,0.05,684,13583,144301,0.0001,0.40651509165763855
9,155.19,127609,-359.00386657999996,0.05,688,13628,144402,0.0001,13.349425315856934
9,154.82,128098,-341.39484386000004,0.05,692,13682,144524,0.0001,0.5787668824195862
9,156.83,128794,-348.67258756,0.05,696,13757,144698,0.0001,0.2845689058303833
9,156.31,129380,-369.27984697,0.05,700,13820,144844,0.0001,0.4069870114326477
9,149.52,129873,-364.3176132199999,0.05,704,13875,144968,0.0001,11.672758102416992
9,148.84,130267,-379.71996719000003,0.05,708,13919,145066,0.0001,9.892133712768555
9,147.84,130687,-391.5806343999999,0.05,712,13966,145171,0.0001,0.7530100345611572
9,146.93,131267,-339.68070027,0.05,716,14029,145316,0.0001,0.3480569124221802
9,146.57,131789,-352.06438455000006,0.05,720,14086,145447,0.0001,44.665679931640625
9,150.13,132657,-380.4957020700001,0.05,724,14178,145664,0.0001,0.42400529980659485
9,143.49,133299,-380.70000539,0.05,728,14247,145824,0.0001,0.6016479134559631
9,143.57,133851,-339.79634562,0.05,732,14308,145962,0.0001,32.23661804199219
9,149.21,134691,-366.6015821400001,0.05,736,14397,146172,0.0001,0.3981170058250427
9,150.84,135116,-368.01371044000007,0.05,740,14444,146278,0.0001,0.6373105049133301
9,150.54,135801,-372.4923819800001,0.05,744,14518,146450,0.0001,8.196455955505371
9,154.86,136723,-408.10773636,0.05,748,14615,146680,0.0001,0.3336688280105591
9,155.71,137290,-394.73698905,0.05,752,14677,146822,0.0001,0.40924468636512756
9,156.26,138149,-345.09200760000004,0.05,756,14768,147037,0.0001,0.4628620743751526
9,160.35,139638,-342.06207615999995,0.05,760,14922,147409,0.0001,0.24073275923728943
9,163.32,140320,-370.50120748000006,0.05,764,14995,147579,0.0001,32.21696472167969
9,159.75,140636,-390.1309138,0.05,768,15032,147658,0.0001,0.5362305641174316
9,158.24,140906,-406.99288944000006,0.05,772,15064,147726,0.0001,0.31376200914382935
9,157.36,141322,-403.60994067000007,0.05,776,15111,147830,0.0001,0.5685135722160339
9,151.48,141692,-410.64433648000005,0.05,780,15153,147922,0.0001,0.4417995512485504
9,148.8,142085,-417.5581221,0.05,784,15197,148021,0.0001,0.33062368631362915
9,149.2,142529,-421.34772124000006,0.05,788,15247,148132,0.0001,0.28872960805892944
9,149.25,143023,-433.6367717400001,0.05,792,15301,148255,0.0001,0.4889315962791443
9,147.81,143575,-443.94234112999993,0.05,796,15362,148393,0.0001,0.5991935729980469
9,144.78,143858,-363.9066749,0.05,800,15395,148464,0.0001,0.38546353578567505
9,144.32,144305,-368.57963634,0.05,804,15444,148576,0.0001,0.5074503421783447
9,145.13,144780,-336.30736953,0.05,808,15497,148694,0.0001,15.135549545288086
9,145.15,145202,-309.42719769,0.05,812,15544,148800,0.0001,0.29559648036956787
9,145.71,145838,-371.82570667,0.05,816,15613,148959,0.0001,0.541443943977356
9,145.71,146360,-372.29606893,0.05,820,15670,149089,0.0001,32.47734069824219
9,143.06,146963,-366.80064380999994,0.05,824,15735,149240,0.0001,0.3540918231010437
9,140.38,147337,-353.25829361999996,0.05,828,15778,149334,0.0001,0.7001115679740906
9,140.34,147885,-388.89116532,0.05,832,15838,149471,0.0001,0.4804398715496063
9,137.16,148407,-367.0737587499999,0.05,836,15895,149601,0.0001,0.4639478325843811
9,138.37,148953,-370.75521549000007,0.05,840,15955,149738,0.0001,0.5573875904083252
9,135.75,149376,-364.91772262000006,0.05,844,16002,149843,0.0001,0.4313652515411377
9,131.04,149827,-329.77123879,0.05,848,16053,149956,0.0001,0.49552544951438904
9,132.0,150490,-326.10067195999994,0.05,852,16124,150122,0.0001,0.5884953737258911
9,128.55,151004,-336.16419518000004,0.05,856,16180,150250,0.0001,0.4228554368019104
9,118.86,151524,-354.1818349000001,0.05,860,16238,150380,0.0001,0.20765842497348785
9,115.25,151845,-308.76291936000007,0.05,864,16275,150461,0.0001,0.41393864154815674
9,115.75,152211,-278.61166025000006,0.05,868,16317,150552,0.0001,0.8718895316123962
9,117.93,152699,-270.70959022,0.05,872,16371,150674,0.0001,0.44569408893585205
9,117.39,153061,-215.58556044,0.05,876,16412,150765,0.0001,0.4601156413555145
9,118.48,153540,-204.02736913999996,0.05,880,16465,150884,0.0001,0.5477593541145325
9,117.97,153882,-204.14908195000007,0.05,884,16505,150970,0.0001,0.4377099871635437
9,118.88,154417,-208.41079613000002,0.05,888,16563,151104,0.0001,0.5088996887207031
9,118.8,154903,-198.37063122,0.05,892,16617,151225,0.0001,0.46704840660095215
9,118.92,155467,-203.80200483000002,0.05,896,16678,151366,0.0001,0.3188277781009674
9,122.33,156091,-242.05905839,0.05,900,16746,151522,0.0001,0.41837066411972046
9,126.01,156906,-248.48413474000006,0.05,904,16832,151726,0.0001,0.28317147493362427
9,133.06,158086,-296.74852302,0.05,908,16956,152021,0.0001,0.33255884051322937
9,137.44,158946,-309.42312784,0.05,912,17047,152236,0.0001,0.5165190696716309
9,134.78,159316,-278.57510291,0.05,916,17089,152328,0.0001,0.5653989911079407
9,141.51,160511,-264.06620258,0.05,920,17213,152627,0.0001,0.46874356269836426
9,141.49,161112,-243.16667753000002,0.05,924,17278,152777,0.0001,0.5981701612472534
9,141.51,161488,-247.19890214000003,0.05,928,17321,152871,0.0001,12.242353439331055
9,143.27,162212,-277.13372026,0.05,932,17399,153052,0.0001,0.594546914100647
9,143.91,162798,-260.85355283000007,0.05,936,17462,153199,0.0001,0.40945690870285034
9,142.63,163216,-278.92359211999997,0.05,940,17509,153303,0.0001,0.5336613059043884
9,143.01,163677,-261.56307271,0.05,944,17560,153419,0.0001,12.837041854858398
9,143.94,164221,-285.88656460000004,0.05,948,17619,153555,0.0001,0.42220357060432434
9,142.95,164785,-306.56131403,0.05,952,17681,153696,0.0001,0.5378549098968506
9,141.38,165142,-345.22427792,0.05,956,17722,153785,0.0001,13.920661926269531
9,141.54,165678,-328.31661374,0.05,960,17780,153919,0.0001,0.413338840007782
9,151.01,166946,-368.03547218,0.05,964,17912,154236,0.0001,0.3699495494365692
9,151.81,167392,-404.35029175999995,0.05,968,17962,154347,0.0001,0.45489710569381714
9,153.27,168026,-400.28697493000004,0.05,972,18030,154506,0.0001,0.8296374082565308
9,160.7,169131,-405.42239701000005,0.05,976,18146,154782,0.0001,0.2420067936182022
9,162.28,169768,-425.58805820000003,0.05,980,18215,154941,0.0001,0.6574219465255737
9,167.8,170662,-431.46241337,0.05,984,18309,155165,0.0001,0.7009152173995972
9,169.49,171366,-423.9053016099999,0.05,988,18385,155341,0.0001,8.246540069580078
9,168.27,171730,-423.9685284800001,0.05,992,18426,155432,0.0001,0.45815956592559814
9,176.57,173124,-459.05099861,0.05,996,18571,155780,0.0001,0.618323028087616
9,173.37,173428,-452.82700761,0.05,1000,18606,155856,0.0001,10.38949203491211
9,171.72,174078,-409.7973251,0.05,1004,18676,156019,0.0001,0.4779725670814514
9,164.96,174582,-361.4571831799999,0.05,1008,18732,156145,0.0001,0.7747364640235901
9,160.45,174991,-344.51702688999995,0.05,1012,18778,156247,0.0001,15.302513122558594
9,160.05,175321,-359.52528284,0.05,1016,18816,156330,0.0001,0.39538872241973877
9,156.43,176154,-340.8773988899999,0.05,1020,18905,156538,0.0001,0.3850588798522949
9,154.03,176515,-335.03379063999995,0.05,1024,18946,156628,0.0001,0.4483233094215393
9,154.11,176899,-335.0998781400001,0.05,1028,18989,156724,0.0001,0.44975903630256653
9,163.08,178520,-309.52226177000006,0.05,1032,19157,157129,0.0001,0.4354918301105499
9,162.43,179041,-355.58843578000005,0.05,1036,19214,157260,0.0001,0.47056061029434204
9,161.78,179394,-334.05257506999993,0.05,1040,19254,157348,0.0001,0.47842565178871155
9,167.27,180404,-367.77721634,0.05,1044,19360,157600,0.0001,10.621493339538574
9,166.79,180900,-366.53879226,0.05,1048,19415,157724,0.0001,0.6052613854408264
9,163.92,181177,-341.46793441,0.05,1052,19448,157794,0.0001,0.36496835947036743
9,165.81,181723,-308.88679613,0.05,1056,19507,157930,0.0001,0.7570847272872925
9,164.33,182111,-306.3776393300001,0.05,1060,19551,158027,0.0001,0.4892650246620178
9,155.88,182534,-290.75857183,0.05,1064,19599,158133,0.0001,0.5949546694755554
9,157.78,183170,-272.59938995,0.05,1068,19667,158292,0.0001,0.3548651337623596
9,154.92,183518,-269.30840674,0.05,1072,19707,158379,0.0001,0.44799941778182983
9,148.81,184012,-301.00700215,0.05,1076,19762,158502,0.0001,0.4546947479248047
9,150.52,184820,-259.13321311999994,0.05,1080,19847,158704,0.0001,0.4727603495121002
9,148.72,185534,-248.39573708,0.05,1084,19924,158883,0.0001,0.5966705083847046
9,145.88,185954,-249.04469731,0.05,1088,19971,158988,0.0001,0.32746368646621704
9,157.78,187508,-233.98557226999998,0.05,1092,20131,159376,0.0001,0.5030920505523682
9,150.99,188223,-176.68876806,0.05,1096,20208,159555,0.0001,0.41756537556648254
9,153.92,188820,-203.09791848,0.05,1100,20273,159704,0.0001,0.6928816437721252
9,152.96,189374,-201.74487554999996,0.05,1104,20333,159843,0.0001,0.6439908146858215
9,152.25,189807,-204.78227535999997,0.05,1108,20382,159951,0.0001,0.49190863966941833
9,153.12,190303,-223.25321917000005,0.05,1112,20437,160075,0.0001,0.827134907245636
9,157.26,191047,-208.65234429000003,0.05,1116,20516,160261,0.0001,0.5394722819328308
9,153.63,191517,-229.55155044,0.05,1120,20568,160379,0.0001,0.5155300498008728
9,153.14,191829,-248.44822399,0.05,1124,20604,160457,0.0001,0.42268770933151245
9,155.56,192455,-234.93042912,0.05,1128,20672,160613,0.0001,0.5144203901290894
9,143.87,192907,-252.75086249999995,0.05,1132,20722,160726,0.0001,0.5748053789138794
9,142.94,193335,-222.05380846,0.05,1136,20770,160833,0.0001,0.45318037271499634
9,143.75,193769,-244.99086816,0.05,1140,20819,160942,0.0001,0.5347974300384521
9,142.49,194653,-238.38055647000002,0.05,1144,20913,161163,0.0001,0.6244205832481384
9,140.82,194982,-197.72881816,0.05,1148,20950,161245,0.0001,0.5438470244407654
9,146.38,195815,-194.76755299999996,0.05,1152,21039,161453,0.0001,0.5715694427490234
9,146.62,196385,-177.42027480000002,0.05,1156,21101,161596,0.0001,0.7822510004043579
9,148.86,196997,-149.56280017999998,0.05,1160,21167,161749,0.0001,0.5801997184753418
9,147.29,197263,-161.18669505000003,0.05,1164,21199,161815,0.0001,0.5965266227722168
9,145.85,197755,-177.66699789999998,0.05,1168,21253,161938,0.0001,0.6111271977424622
9,148.03,198321,-183.34793089,0.05,1172,21315,162080,0.0001,0.45225632190704346
9,148.79,198891,-212.15656403000008,0.05,1176,21377,162222,0.0001,43.39194869995117
9,147.95,199615,-198.91164556000004,0.05,1180,21454,162403,0.0001,32.6662483215332
