time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/value_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss
30,576.2,6331,9,-1532.9561236600005,61440,-0.004296144042746164,0.2,1152.6712646484375,0.0064453125,0.9652098417282104,1298.6469764232636,-2.384185791015625e-07,290,0.0003,0.003581822,-2.7669266395270826
31,577.22,6542,9,-1498.22999285,63488,0.002321640166337602,0.2,1676.7061767578125,0.04345703125,0.9628335237503052,6671.65157507658,5.960464477539063e-08,300,0.0003,0.0045504095,-2.763369472324848
32,586.95,6753,9,-1488.45977479,65536,-0.001690094439254608,0.2,1077.4620361328125,0.050146484375,0.9582241773605347,6663.979822349548,-1.1920928955078125e-07,310,0.0003,0.005833568,-2.7559632651507853
33,599.26,6962,9,-1505.6685671299995,67584,-0.0005739446205552667,0.2,1220.2034912109375,0.0,0.9581458568572998,5570.991070246697,-0.033899545669555664,320,0.0003,0.00042142975,-2.752372096478939
34,601.65,7171,9,-1507.5343736299994,69632,-0.00048411934403702617,0.2,45.40708923339844,0.0,0.9580875635147095,144.27479022741318,0.41378724575042725,330,0.0003,0.0009967444,-2.7522161222994326
35,605.76,7381,9,-1500.1603500299998,71680,-0.000964077771641314,0.2,861.337158203125,0.0,0.9583543539047241,489.3244362413883,0.2102251648902893,340,0.0003,0.00081545964,-2.7523230351507664
36,606.2,7590,9,-1510.2944618499998,73728,-0.0030031716130906718,0.2,40.28171920776367,0.0037109375,0.9570728540420532,440.9862360537052,0.517505019903183,350,0.0003,0.0023383372,-2.7517293550074102
37,613.15,7799,9,-1512.3400090699997,75776,-0.0005754658050136641,0.2,68.22798919677734,0.0,0.955339252948761,176.41245849132537,0.6624094247817993,360,0.0003,0.0004978011,-2.748369936645031
38,622.82,8010,9,-1518.9403316200003,77824,-0.00016579023795202375,0.2,825.8812866210938,0.0,0.9550923109054565,5510.460778450966,0.041368961334228516,370,0.0003,0.0001244543,-2.7462216801941395
39,628.51,8219,9,-1550.01699909,79872,-0.0008208791201468557,0.2,125.1989974975586,0.0,0.9553506970405579,5127.437839984894,0.132329523563385,380,0.0003,0.0004579774,-2.7461917743086817
40,640.28,8429,9,-1554.5312740299996,81920,-0.0013939660173491574,0.2,69.56321716308594,4.8828125e-05,0.9556519985198975,622.4838002443314,0.39740586280822754,390,0.0003,0.0013502019,-2.746753057092428
41,647.47,8638,9,-1531.56782221,83968,-0.00011128525657113641,0.2,5665.5859375,0.0,0.9554340243339539,5174.654166126251,0.1509479284286499,400,0.0003,3.8267084e-05,-2.746875448524952
42,655.17,8847,9,-1547.3156357999999,86016,-0.0011309186316793784,0.2,20.174436569213867,0.003955078125,0.9549761414527893,72.91994943618775,0.7403053343296051,410,0.0003,0.0034951274,-2.7460135653615
43,670.09,9056,9,-1567.3241448599997,88064,-0.004328335955506191,0.2,80.87572479248047,0.031982421875,0.9586800336837769,82.17192285060882,0.8613540381193161,420,0.0003,0.005808378,-2.7487724594771863
44,686.0,9265,9,-1590.1899386500002,90112,-0.0022133898019092157,0.2,18.759971618652344,0.010107421875,0.9597740173339844,51.227591609954835,0.8725209534168243,430,0.0003,0.0021004686,-2.75441335812211
45,691.8,9475,9,-1570.5243116099998,92160,-0.001674014248419553,0.2,32.13377380371094,0.010595703125,0.9633774757385254,76.82735802531242,0.6663274168968201,440,0.0003,0.0024369904,-2.757673690468073
46,698.19,9684,9,-1580.13768125,94208,-0.002372121240478009,0.2,732.1582641601562,0.010546875,0.9635024666786194,5598.26435315609,0.032397568225860596,450,0.0003,0.0032570655,-2.7629784643650055
47,708.78,9896,9,-1602.24188362,96256,-0.0021180838302825578,0.2,16.822338104248047,0.007861328125,0.9655784368515015,913.3971909165382,0.4527457356452942,460,0.0003,0.002510188,-2.765043356269598
48,709.32,10106,9,-1595.8146493800002,98304,-0.0005854431743500754,0.2,1436.2724609375,0.0001953125,0.9652709364891052,5375.406381845474,0.16569024324417114,470,0.0003,0.0011038819,-2.767440914362669
49,708.8,10317,9,-1563.2356939,100352,-0.004254216118715704,0.2,1116.9759521484375,0.020703125,0.9666174054145813,838.6778364658355,0.3965776562690735,480,0.0003,0.004445904,-2.767556452006102
50,718.42,10528,9,-1573.12081278,102400,-0.00041818967438302936,0.2,78.36495208740234,0.00166015625,0.9669600129127502,4901.802682566643,0.29996711015701294,490,0.0003,0.0014857666,-2.7701181307435037
51,725.12,10740,9,-1559.4993812100001,104448,-0.0036789455407415517,0.2,829.1228637695312,0.01513671875,0.9687243700027466,1582.1801861286162,0.47515982389450073,500,0.0003,0.003075644,-2.771566616743803
52,723.73,10949,9,-1549.43709876,106496,-0.001458243049273733,0.2,44.270748138427734,0.01025390625,0.9735398888587952,809.9017849802971,0.5457194447517395,510,0.0003,0.0015656537,-2.7776993580162523
53,734.98,11159,9,-1559.76519947,108544,-0.009179480056627654,0.2,19.306299209594727,0.067431640625,0.9737555980682373,418.0681199133396,0.5313762724399567,520,0.0003,0.0060424297,-2.7842996828258038
54,743.2,11369,9,-1598.1941395299996,110592,-0.005309778076480143,0.2,36.96827697753906,0.0271484375,0.9724231362342834,786.3958846926689,0.48687446117401123,530,0.0003,0.0048172628,-2.782691103965044
55,739.45,11581,9,-1560.1155118899999,112640,-0.003808431426296011,0.2,214.400634765625,0.018505859375,0.9729888439178467,779.133097577095,0.6160636842250824,540,0.0003,0.004459897,-2.781911963224411
56,731.08,11793,9,-1492.7608718499998,114688,-0.0037850749009521677,0.2,90.50526428222656,0.0181640625,0.9734878540039062,8564.953015589714,0.141717791557312,550,0.0003,0.0038001444,-2.7832028925418855
57,726.75,12004,9,-1443.9683386700003,116736,-0.0003193139214999974,0.2,6630.9296875,0.0,0.97223961353302,12569.093536567689,0.1641310453414917,560,0.0003,0.00018992613,-2.7823792889714243
58,718.47,12216,9,-1384.2043463200002,118784,-0.0008590931523940526,0.2,1180.8409423828125,0.00244140625,0.9752038717269897,6970.015373921395,0.5724321901798248,570,0.0003,0.0018171071,-2.78341578990221
59,730.08,12427,9,-1368.2282132099995,120832,-0.0023630418625543827,0.2,227.08908081054688,0.003173828125,0.9750368595123291,6539.725346708297,0.25600504875183105,580,0.0003,0.0030980837,-2.7873481579124926
60,717.31,12637,9,-1321.41314789,122880,-0.005466664175037295,0.2,345.76141357421875,0.0408203125,0.9759211540222168,634.3228623390198,0.7102726697921753,590,0.0003,0.0050669354,-2.7868815757334233
61,672.55,12852,9,-1174.5819648700003,124928,-0.0022474284734926185,0.2,6548.81005859375,0.01669921875,0.9758511781692505,4854.698941421509,0.413560688495636,600,0.0003,0.0039203386,-2.7891621619462965
62,670.26,13062,9,-1151.9265596400003,126976,-0.0003821265796432272,0.2,1097.3665771484375,0.0,0.9763569831848145,18116.20454826355,0.10236072540283203,610,0.0003,0.00049279025,-2.789278354495764
63,678.29,13271,9,-1164.1433695200003,129024,-0.007992098190879916,0.2,145.59071350097656,0.0498046875,0.9736977815628052,785.7073009967804,0.7446325421333313,620,0.0003,0.005486078,-2.787288065254688
64,678.64,13482,9,-1143.3220732999998,131072,-0.0045537083991803225,0.2,59.69554901123047,0.035791015625,0.9824180603027344,232.21366715431213,0.6347012519836426,630,0.0003,0.0043320083,-2.793323774635792
65,683.62,13691,9,-1116.43215153,133120,-0.0025659815000835806,0.2,981.7771606445312,0.026123046875,0.9826920032501221,6874.611826705933,0.23568302392959595,640,0.0003,0.005550356,-2.8020467326045035
66,685.67,13901,9,-1104.49344045,135168,-0.001022617323906161,0.2,5285.53662109375,0.00947265625,0.9797015190124512,7954.128948497772,0.10284024477005005,650,0.0003,0.0037453035,-2.7989530310034754
67,684.86,14112,9,-1059.44577278,137216,-0.004461764145526103,0.2,7681.07421875,0.018310546875,0.9778788685798645,4051.562727355957,0.3351629376411438,660,0.0003,0.004281259,-2.7946802973747253
68,675.08,14322,9,-1001.9598568499999,139264,-0.004405735633918084,0.2,1006.3743896484375,0.041259765625,0.9775702953338623,3972.129364967346,0.16550183296203613,670,0.0003,0.005133259,-2.792193830013275
69,663.32,14532,9,-947.7928211899999,141312,-0.00433386210934259,0.2,3745.651611328125,0.0412109375,0.9738936424255371,6999.833057975769,0.31391263008117676,680,0.0003,0.0055611143,-2.7890598393976687
70,632.81,14746,9,-815.21907896,143360,-0.004434877133462578,0.2,485.28887939453125,0.02724609375,0.9716766476631165,8336.906080627441,0.18720990419387817,690,0.0003,0.0031885058,-2.7819803051650522
71,615.7,14959,9,-761.6134139999999,145408,-0.0008514320303220302,0.2,5279.767578125,0.000390625,0.9683618545532227,16836.53836364746,0.147111177444458,700,0.0003,0.0016707014,-2.7761127576231956
72,584.05,15172,9,-675.7496658999996,147456,-0.003948178596328944,0.2,2323.700439453125,0.025341796875,0.9657217860221863,11259.991693115235,0.2661561369895935,710,0.0003,0.005459664,-2.7710910856723787
73,555.94,15385,9,-549.6087433099999,149504,-0.005411934320000001,0.2,981.7725219726562,0.0388671875,0.9640479683876038,8457.304116058349,0.4243449568748474,720,0.0003,0.0039142566,-2.7655950263142586
74,533.39,15599,9,-450.53404706999993,151552,-0.002147025184240192,0.2,13120.578125,0.00361328125,0.9640896916389465,17519.699868774413,0.1712391972541809,730,0.0003,0.0033924817,-2.764151976257563
75,520.78,15814,9,-364.37467323000004,153600,-0.0020356897184683476,0.2,3253.023193359375,0.002001953125,0.9637177586555481,13609.745233535767,0.34793657064437866,740,0.0003,0.0014006244,-2.7646855764091014
76,497.04,16030,9,-219.53576185999998,155648,-0.002575975358195137,0.2,4212.39892578125,0.00205078125,0.9666863679885864,15339.307231140137,0.36577308177948,750,0.0003,0.0019597332,-2.7657615803182125
77,458.33,16247,9,-34.470270239999984,157696,-0.0025321082241134716,0.2,4927.7314453125,0.02451171875,0.9591901302337646,14891.85192604065,0.44784998893737793,760,0.0003,0.0059688636,-2.7629167824983596
78,439.9,16463,9,64.59812887,159744,-0.004901224104105495,0.2,6692.5029296875,0.0396484375,0.9557313919067383,19609.780966949464,0.47295457124710083,770,0.0003,0.007330139,-2.752306244522333
79,421.59,16679,9,130.90270886,161792,-0.002147015887021553,0.2,9114.1474609375,0.018798828125,0.9515385627746582,18821.77565574646,0.4771583080291748,780,0.0003,0.0063755987,-2.7424734570086002
80,394.87,16899,9,226.9899455,163840,-0.0025786223355680703,0.2,2459.958251953125,0.00927734375,0.9449394345283508,12233.223525619507,0.45817625522613525,790,0.0003,0.0031876867,-2.7309885680675507
81,337.57,17117,9,360.10744535,165888,-0.0025644469787948765,0.2,9804.3046875,0.008154296875,0.9402437210083008,21446.814657592775,0.33963680267333984,800,0.0003,0.001997079,-2.719670130312443
82,307.28,17332,9,421.93449492,167936,-0.002899291054927744,0.2,9884.7578125,0.01484375,0.9341720342636108,19511.915432739257,0.45953184366226196,810,0.0003,0.003289191,-2.707411439716816
83,270.1,17554,9,494.79513532,169984,-0.004176060327154119,0.2,5777.224609375,0.0328125,0.9342096447944641,13506.579472351073,0.4193689823150635,820,0.0003,0.005558701,-2.7017746277153494
84,257.5,17770,9,528.7515398500001,172032,-0.004559313597565051,0.2,6644.732421875,0.035693359375,0.9313924312591553,23561.395668792724,0.31083840131759644,830,0.0003,0.0062508564,-2.699309141933918
85,243.45,17987,9,516.3536155500001,174080,-0.002583870111266151,0.2,8963.7275390625,0.01376953125,0.9221391677856445,14788.264449310303,0.44799160957336426,840,0.0003,0.0044580256,-2.686968591809273
86,234.49,18206,9,526.0163247500001,176128,-0.0033447141613578424,0.2,7454.794921875,0.02490234375,0.9157013893127441,11333.537188720704,0.5986213386058807,850,0.0003,0.0031522675,-2.6685727283358576
87,221.07,18426,9,544.94432403,178176,-0.002318484615534544,0.2,17157.79296875,0.004296875,0.9176215529441833,20961.127072143554,0.4375959634780884,860,0.0003,0.0023433068,-2.663191497325897
88,210.9,18646,9,537.67583424,180224,-0.0067542213044362144,0.2,7768.41796875,0.05283203125,0.9110766053199768,20706.919225311278,0.28983455896377563,870,0.0003,0.004747403,-2.659524082392454
89,204.08,18868,9,552.2990924000001,182272,-0.003080397081794217,0.2,7286.3857421875,0.01416015625,0.9128907322883606,20487.191625976564,0.3821355104446411,880,0.0003,0.0027567549,-2.653774609416723
90,206.68,19086,9,550.2768284,184320,-0.003235566877992824,0.2,7959.564453125,0.01953125,0.917503833770752,22467.137022399904,0.4346884489059448,890,0.0003,0.0015803832,-2.659941568225622
