time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/n_updates,train/entropy_loss,train/value_loss,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range
1,9,2048,225,809.0079865,114.6875,,,,,,,,,,,
2,9,4096,450,796.3036033999998,135.7,0.3591451644897461,7370,-0.7858162704855204,12201.481153869629,0.0046656374,4671.115234375,0.25773870944976807,-0.004347711327136494,0.021484375,0.0003,0.2
3,9,6144,676,693.9830799782609,131.58695652173913,0.3585626184940338,7380,-0.7839441984891892,3212.1611881256104,0.007500727,540.1305541992188,0.8336742967367172,-0.005485708522610366,0.058544921875,0.0003,0.2
4,9,8192,906,731.105992953125,123.4375,0.35879451036453247,7390,-0.7825106536969543,13644.45443725586,0.005041996,8412.962890625,0.590661495923996,-0.005242770665790886,0.0384765625,0.0003,0.2
5,8,10240,1140,774.8524411511628,118.40697674418605,0.3577289581298828,7400,-0.7806037023663521,7029.016213607788,0.008822901,2895.121826171875,0.835846796631813,-0.006541262674727477,0.079248046875,0.0003,0.2
6,9,12288,1359,739.8960370312501,127.67708333333333,0.3574677109718323,7410,-0.7763794982805848,4618.685209655761,0.0070680627,3226.46435546875,0.7291508316993713,-0.012954145521507598,0.079345703125,0.0003,0.2
7,9,14336,1579,730.62140167,133.43,0.35762888193130493,7420,-0.7754667833447456,12048.398538970947,0.006624505,2564.797119140625,0.314630389213562,-0.007934468632447534,0.05302734375,0.0003,0.2
8,9,16384,1801,708.9529206099998,141.4,0.3572763502597809,7430,-0.7752733899280428,4549.009010314941,0.009147149,1836.7252197265625,0.8207357078790665,-0.007644692770554684,0.09619140625,0.0003,0.2
9,9,18432,2031,728.19268126,132.41,0.3573800325393677,7440,-0.7739273255690933,5264.073954772949,0.008733632,1527.5364990234375,0.8182033747434616,-0.007299668263294734,0.087109375,0.0003,0.2
10,9,20480,2250,739.3772625099998,142.79,0.35756051540374756,7450,-0.7746249115094542,9628.893790435792,0.0038241257,2674.08837890625,0.678514301776886,-0.005611063443939202,0.034716796875,0.0003,0.2
11,9,22528,2482,726.2698571399998,139.36,0.3589034080505371,7460,-0.778897762298584,5382.369456863404,0.005619676,1805.2806396484375,0.8298410773277283,-0.005980583376367576,0.05283203125,0.0003,0.2
12,9,24576,2704,703.69137425,147.25,0.35940730571746826,7470,-0.7847729282453656,6181.320579147339,0.0035517137,1836.0732421875,0.8308545053005219,-0.0037079453439218925,0.05673828125,0.0003,0.2
13,9,26624,2923,688.0523748400001,157.83,0.3583534359931946,7480,-0.7836982324719429,6004.894103240967,0.0072660754,1110.2054443359375,0.8605347722768784,-0.006087572034448385,0.05224609375,0.0003,0.2
14,9,28672,3145,730.1536598299997,146.12,0.3562600612640381,7490,-0.7752418883144856,4968.35492515564,0.0062335506,1695.0877685546875,0.7819498181343079,-0.003903107981022913,0.055322265625,0.0003,0.2
15,9,30720,3361,694.31869439,161.45,0.35607531666755676,7500,-0.7684967583045363,3951.1941329956053,0.0065104095,1259.53173828125,0.8577006310224533,-0.006449402455473319,0.078369140625,0.0003,0.2
16,9,32768,3576,715.20887764,161.82,0.3558579385280609,7510,-0.7670929431915283,4333.371059417725,0.005369116,1107.55224609375,0.8403811454772949,-0.006214837450534106,0.04521484375,0.0003,0.2
17,9,34816,3807,697.5078357,167.66,0.35577547550201416,7520,-0.7665799722075463,2874.1718349456787,0.0067407293,870.1848754882812,0.8978997245430946,-0.0037468506081495432,0.067578125,0.0003,0.2
18,9,36864,4032,714.14925953,159.63,0.3547065258026123,7530,-0.7629202168434859,5455.560816192627,0.0056578685,1937.04443359375,0.8589882105588913,-0.008371038682525977,0.052978515625,0.0003,0.2
19,9,38912,4255,727.6138980400002,162.34,0.3545551896095276,7540,-0.75985067486763,2402.4878828048704,0.00797824,830.9320678710938,0.9613197222352028,-0.004750260227592662,0.089501953125,0.0003,0.2
20,9,40960,4480,732.63437327,164.23,0.3552699089050293,7550,-0.7616209732368588,7075.535381698608,0.007355778,2815.000244140625,0.7968635708093643,-0.0036311996256699784,0.049853515625,0.0003,0.2
21,9,43008,4705,762.0961117300001,157.64,0.35504400730133057,7560,-0.7635127741843462,4690.59761352539,0.0046477057,1044.61279296875,0.9014764279127121,-0.003456944893696345,0.053759765625,0.0003,0.2
