train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,time/episodes,time/time_elapsed,train/n_updates,time/fps
355.6498718261719,-0.22827570140361786,191.25,307.8830261230469,765,-999.2006309999999,0.0003,0.1539282351732254,4,82,400564,9
790.3078002929688,2.146233558654785,210.625,138.45977783203125,1685,-628.8457048749999,0.0003,0.17151883244514465,8,179,401484,9
336.9700012207031,0.8147722482681274,247.58333333333334,-127.26433563232422,2971,-521.2411089999999,0.0003,0.2794579863548279,12,312,402770,9
257.2084655761719,0.19862040877342224,210.9375,-39.23944854736328,3375,-392.937337625,0.0003,0.29899170994758606,16,358,403174,9
322.65911865234375,0.1896146833896637,197.55,-25.62862205505371,3951,-409.01129715,0.0003,0.3137962222099304,20,421,403750,9
269.975341796875,-0.12662868201732635,196.625,59.62036895751953,4719,-447.26380449999994,0.0003,0.315001517534256,24,503,404518,9
415.09063720703125,0.2245558202266693,197.28571428571428,-70.22627258300781,5524,-256.8368493571428,0.0003,0.32784315943717957,28,589,405323,9
299.867919921875,0.05939417704939842,189.25,-59.044464111328125,6056,-227.07635749999997,0.0003,0.34073606133461,32,647,405855,9
255.35316467285156,-0.2069218009710312,203.72222222222223,57.83890914916992,7334,-353.4304976666666,0.0003,0.2874069809913635,36,780,407133,9
307.71380615234375,-0.12955862283706665,198.125,-0.7298793792724609,7925,-274.85585664999996,0.0003,0.2665632963180542,40,844,407724,9
305.16790771484375,-0.2528691291809082,191.9318181818182,87.08291625976562,8445,-263.23972675,0.0003,0.2675172686576843,44,901,408244,9
662.3441162109375,-0.07151501625776291,197.08333333333334,33.388301849365234,9460,-288.53599664583334,0.0003,0.23652592301368713,48,1008,409259,9
352.25714111328125,-0.306914746761322,200.17307692307693,91.6322021484375,10409,-298.65331767307686,0.0003,0.23566146194934845,52,1108,410208,9
897.0408935546875,0.22518259286880493,192.76785714285714,53.39638137817383,10795,-296.54545873214283,0.0003,0.24005164206027985,56,1152,410594,9
