train/n_updates,train/learning_rate,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
399940,0.0003,341,46.804134368896484,0.06608440726995468,4,8,39,85.25,706.304931640625,-270.77753325,0.5109792947769165
400308,0.0003,709,-18.187299728393555,0.1226167380809784,8,8,81,88.625,596.6920166015625,-72.79736000000003,0.5579311847686768
400827,0.0003,1228,-23.83611297607422,0.03983936831355095,12,8,139,102.33333333333333,1331.53662109375,-153.32003975,0.574843168258667
401126,0.0003,1527,-77.15576934814453,0.204115092754364,16,8,173,95.4375,1033.787841796875,-172.5782784375,0.5854871869087219
401619,0.0003,2020,-96.94674682617188,0.11260032653808594,20,8,228,101.0,1127.8046875,-35.0204495,0.6426560282707214
402228,0.0003,2629,-148.3608856201172,0.028367646038532257,24,8,294,109.54166666666667,1438.1611328125,49.16678324999998,0.7492309212684631
402810,0.0003,3211,-151.68035888671875,0.05918997526168823,28,8,358,114.67857142857143,1315.565673828125,52.18695207142854,0.7906923294067383
403476,0.0003,3877,-193.1361846923828,-0.030987709760665894,32,9,429,121.15625,1155.293212890625,99.34534565625,0.7299397587776184
403886,0.0003,4287,-149.5815887451172,0.01884189061820507,36,9,475,119.08333333333333,1900.181396484375,106.11415525000001,0.7375564575195312
404397,0.0003,4798,-181.83193969726562,0.02550816722214222,40,9,532,119.95,1375.753662109375,180.2986809,0.7191111445426941
404965,0.0003,5366,-182.94320678710938,-0.08479087799787521,44,9,594,121.95454545454545,1291.794921875,170.40648738636364,0.6930720806121826
405579,0.0003,5980,-132.46856689453125,0.0037880800664424896,48,9,660,124.58333333333333,1145.9415283203125,128.67461020833332,0.6981438398361206
406217,0.0003,6618,-124.62358093261719,-0.002676938660442829,52,9,729,127.26923076923077,1354.6339111328125,124.24641838461535,0.7061898112297058
406507,0.0003,6908,-154.5899658203125,0.03190043568611145,56,9,763,123.35714285714286,1685.5802001953125,128.45092201785715,0.7124462127685547
406877,0.0003,7278,-146.3556671142578,0.024210385978221893,60,9,805,121.3,1517.286865234375,129.98208536666667,0.7307314276695251
407284,0.0003,7685,-164.13882446289062,-0.03127637505531311,64,9,851,120.078125,1083.659912109375,153.6662455625,0.7346320748329163
407711,0.0003,8112,-170.19886779785156,-0.0900292918086052,68,9,899,119.29411764705883,1564.980712890625,173.97106379411767,0.7103129625320435
