time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/std,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss
75776,408.55739623,8138,175.88,37,9,0.6721272468566895,0.0003,0.2,0.8273958116769791,1717.5711669921875,0.007080078125,3790,-0.005172054684953764,8748.909352874756,0.0021035506,-2.038076972961426
77824,417.3654928899999,8361,174.48,38,9,0.6711069345474243,0.0003,0.2,0.9009374529123306,2728.212890625,0.018017578125,3800,-0.0051568057591794055,6202.459880828857,0.0028887289,-2.035681342333555
79872,431.32602832000003,8576,183.57,39,9,0.6709021925926208,0.0003,0.2,0.9245218858122826,1312.078369140625,0.007373046875,3810,-0.0055676465359283615,4655.464538574219,0.0026159696,-2.033588566631079
81920,454.15228924999997,8797,175.55,40,9,0.6707155704498291,0.0003,0.2,0.8055016845464706,2013.25146484375,0.005419921875,3820,-0.004501290646294365,6116.047489547729,0.0023697563,-2.0330297447741033
83968,367.28350851000005,9012,190.85,41,9,0.6689749956130981,0.0003,0.2,0.9300683885812759,663.8727416992188,0.03017578125,3830,-0.007386495277751237,3598.8855237960815,0.0045064753,-2.029283042997122
86016,397.20741884,9228,182.0,42,9,0.6727765798568726,0.0003,0.2,0.76466004550457,798.895263671875,0.030078125,3840,-0.007629316637758165,5176.776050567627,0.0043306137,-2.0321213237941267
88064,342.99774585,9452,187.11,43,9,0.675591230392456,0.0003,0.2,0.7329008877277374,1634.375244140625,0.015478515625,3850,-0.0058791674789972605,5096.204307365418,0.0031988951,-2.0423927076160906
90112,298.23291707,9673,189.46,44,9,0.6755041480064392,0.0003,0.2,0.7680634409189224,2690.379638671875,0.010302734375,3860,-0.00423049667297164,11411.122089385986,0.0022535925,-2.0464208632707597
92160,296.39072559,9895,190.74,45,9,0.6762321591377258,0.0003,0.2,0.9057314544916153,3924.02685546875,0.034716796875,3870,-0.007660978575586341,3974.3526721954345,0.0053266995,-2.0471751280128956
94208,284.36940622,10116,186.73,46,9,0.6754071116447449,0.0003,0.2,0.8586389422416687,3842.090087890625,0.045849609375,3880,-0.006858160730917007,9689.22218017578,0.0050461744,-2.0468716353178023
