time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
9,0.05,320,6213,58113,-844.15819126,179.42,0.6206673383712769,0.0001,164528
9,0.05,324,6246,58387,-837.93756139,177.08,0.5400031805038452,0.0001,164596
9,0.05,328,6306,58943,-848.0507913099999,174.9,0.7889192700386047,0.0001,164735
9,0.05,332,6338,59208,-826.0978971099998,166.85,0.5578677654266357,0.0001,164801
9,0.05,336,6390,59676,-804.27455658,164.47,12.784520149230957,0.0001,164918
9,0.05,340,6484,60567,-796.8232540299999,166.86,0.7226073741912842,0.0001,165141
9,0.05,344,6584,61522,-781.10844155,168.77,0.7785956859588623,0.0001,165380
9,0.05,348,6630,61929,-755.8421642000001,164.4,0.8793725967407227,0.0001,165482
9,0.05,352,6671,62289,-714.1573294499998,162.26,0.6122065782546997,0.0001,165572
9,0.05,356,6731,62839,-707.77717102,161.12,0.6712074279785156,0.0001,165709
9,0.05,360,6774,63209,-675.1163045599999,155.02,14.847444534301758,0.0001,165802
9,0.05,364,6829,63715,-667.03377017,154.6,0.7970205545425415,0.0001,165928
9,0.05,368,6884,64215,-641.7624247100001,148.38,14.641103744506836,0.0001,166053
9,0.05,372,6969,65013,-655.7435767000002,152.1,0.5950238704681396,0.0001,166253
9,0.05,376,7007,65345,-623.5192253,146.98,0.5906937718391418,0.0001,166336
9,0.05,380,7043,65655,-598.55754096,142.55,0.7463929653167725,0.0001,166413
9,0.05,384,7097,66149,-595.02333884,143.03,9.980752944946289,0.0001,166537
9,0.05,388,7159,66713,-592.80902,136.73,0.6862738728523254,0.0001,166678
9,0.05,392,7231,67380,-615.10333017,138.03,0.5960628986358643,0.0001,166844
9,0.05,396,7296,67981,-647.3781132299999,139.75,32.37738037109375,0.0001,166995
9,0.05,400,7343,68399,-615.90468167,136.99,0.47925078868865967,0.0001,167099
9,0.05,404,7392,68837,-601.64964495,138.33,0.45468276739120483,0.0001,167209
9,0.05,408,7519,70061,-613.8800841,141.17,0.808975338935852,0.0001,167515
9,0.05,412,7670,71524,-635.7935656599999,150.94,9.7284517288208,0.0001,167880
9,0.05,416,7713,71902,-641.8917710100002,142.57,0.5384252071380615,0.0001,167975
9,0.05,420,7840,73118,-635.04952551,150.05,1.0701613426208496,0.0001,168279
9,0.05,424,7876,73426,-597.80462148,150.39,0.5076336860656738,0.0001,168356
9,0.05,428,7924,73850,-594.83406903,149.07,0.42451053857803345,0.0001,168462
9,0.05,432,8021,74768,-614.4934803299999,155.6,1.0378283262252808,0.0001,168691
9,0.05,436,8060,75111,-609.0871169,154.35,0.5870737433433533,0.0001,168777
9,0.05,440,8130,75763,-607.18758515,151.96,0.5577493906021118,0.0001,168940
9,0.05,444,8167,76082,-588.66930867,145.6,0.5504846572875977,0.0001,169020
9,0.05,448,8255,76914,-597.1011834,149.85,0.5617126226425171,0.0001,169228
9,0.05,452,8294,77249,-594.540186,149.6,14.643010139465332,0.0001,169312
9,0.05,456,8380,78058,-590.6225904999999,152.19,0.39025503396987915,0.0001,169514
9,0.05,460,8461,78825,-589.78822229,156.16,0.7906733751296997,0.0001,169706
9,0.05,464,8518,79342,-549.55293532,156.27,0.565768837928772,0.0001,169835
9,0.05,468,8564,79747,-514.00655805,155.32,0.8315848112106323,0.0001,169936
9,0.05,472,8608,80139,-451.61571941,151.26,0.4333488345146179,0.0001,170034
9,0.05,476,8666,80663,-494.45553136999996,153.18,0.8117378950119019,0.0001,170165
9,0.05,480,8815,82101,-484.6185531599999,164.46,0.7823001146316528,0.0001,170525
9,0.05,484,8894,82845,-481.49249975,166.96,0.5891430377960205,0.0001,170711
9,0.05,488,8947,83321,-479.94720192,166.08,0.762042224407196,0.0001,170830
9,0.05,492,9080,84603,-449.13900375000003,172.23,0.8309613466262817,0.0001,171150
9,0.05,496,9268,86434,-435.9684553100001,184.53,0.596613347530365,0.0001,171608
9,0.05,500,9311,86810,-457.18716786,184.11,9.949752807617188,0.0001,171702
9,0.05,504,9453,88178,-479.7967675399999,193.41,1.2435054779052734,0.0001,172044
