rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/std,train/value_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/loss,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss
138.85714285714286,9,1,223,478.0521278571428,2048,,,,,,,,,,,
152.42307692307693,9,2,444,559.0133796538462,4096,0.6103025674819946,1655.598816394806,-0.00987608803261537,0.2,0.010341958,0.9724182244390249,412.52752685546875,0.06806640625,0.0003,4670,-1.8518981277942657
152.25,9,3,668,593.3528646500001,6144,0.6103867888450623,2664.2120347976684,-0.006821179015969392,0.2,0.0040772334,0.9405660592019558,493.7138366699219,0.0421875,0.0003,4680,-1.8423390451818704
151.35849056603774,9,4,891,527.4820833018867,8192,0.6063637733459473,893.2616211414337,-0.012196224655781407,0.2,0.010088805,0.9846026301383972,318.6758728027344,0.077978515625,0.0003,4690,-1.8374310061335564
151.86567164179104,9,5,1115,433.23799,10240,0.6032154560089111,2337.041100692749,-0.009008461114717647,0.2,0.0053211697,0.9359026923775673,785.5549926757812,0.047509765625,0.0003,4700,-1.825564955174923
146.04761904761904,9,6,1342,451.5351713809524,12288,0.6009125709533691,4426.491645622254,-0.005971536702418234,0.2,0.0035200221,0.9240429997444153,680.205810546875,0.03330078125,0.0003,4710,-1.8165855921804905
146.10204081632654,9,7,1566,440.30420709183676,14336,0.600635826587677,7373.107458496093,-0.006097100177430548,0.2,0.0031943163,0.8618497550487518,8916.3447265625,0.0193359375,0.0003,4720,-1.8116712130606174
144.58,9,8,1789,408.01898986,16384,0.6006679534912109,7867.57392578125,-0.0043155190156539906,0.2,0.0043852814,0.8652776479721069,2394.5009765625,0.01318359375,0.0003,4730,-1.811687671020627
146.61,9,9,2011,373.40616186,18432,0.5992503762245178,10219.049300384522,-0.0081790618452942,0.2,0.0033794497,0.7805906385183334,11016.8134765625,0.04541015625,0.0003,4740,-1.8090840082615613
145.94,9,10,2236,343.87571646000004,20480,0.6000115871429443,5903.083026123047,-0.006990984397998545,0.2,0.00464942,0.8245097100734711,1274.39013671875,0.035595703125,0.0003,4750,-1.8077702507376672
148.01,9,11,2457,321.82659368000003,22528,0.5998492240905762,9520.161239624023,-0.004510685548302718,0.2,0.004579639,0.8552470654249191,3772.525390625,0.013916015625,0.0003,4760,-1.8092842381447554
149.71,9,12,2677,322.8675778300001,24576,0.5997438430786133,10555.087103652953,-0.004545611221692525,0.2,0.0023965605,0.7582994401454926,2996.924072265625,0.013525390625,0.0003,4770,-1.8092666171491145
154.38,9,13,2900,318.53395424999997,26624,0.5981283187866211,4556.968951416015,-0.007507411047117785,0.2,0.0054427884,0.9122541919350624,763.068359375,0.034716796875,0.0003,4780,-1.8064598955214024
156.48,9,14,3123,338.41591579999994,28672,0.597348690032959,12446.226810455322,-0.004360499164613429,0.2,0.0031783923,0.8070406913757324,10159.0068359375,0.015380859375,0.0003,4790,-1.8021807890385388
161.18,9,15,3337,329.35678527999994,30720,0.5968621969223022,3128.6261127471926,-0.007458090086583979,0.2,0.005761938,0.9187932386994362,552.9195556640625,0.031103515625,0.0003,4800,-1.7998232368379832
172.48,9,16,3559,349.70360937000004,32768,0.596798300743103,2800.1570516586303,-0.008115764858666807,0.2,0.005062251,0.8336441665887833,318.719970703125,0.04814453125,0.0003,4810,-1.7986892476677894
166.22,9,17,3787,370.6271835,34816,0.5951031446456909,2357.8579132080076,-0.008836604483076372,0.2,0.006901661,0.9317121729254723,209.71990966796875,0.0359375,0.0003,4820,-1.7960512530058623
166.06,9,18,4007,372.64193556000004,36864,0.5943504571914673,4135.592483520508,-0.009395365657837829,0.2,0.006079299,0.9416702464222908,602.001220703125,0.067431640625,0.0003,4830,-1.792149206623435
160.85,9,19,4234,422.64589944,38912,0.5953179597854614,5173.1706489562985,-0.007186597619147505,0.2,0.004931039,0.8938340395689011,3014.0791015625,0.02880859375,0.0003,4840,-1.7923864100128413
151.96,9,20,4464,508.19184434999994,40960,0.5961183309555054,6811.101056289673,-0.005435576688614674,0.2,0.0042498317,0.8907353579998016,1933.6357421875,0.023046875,0.0003,4850,-1.7953152049332857
159.29,9,21,4679,470.62003470999997,43008,0.5944661498069763,6171.785335159302,-0.007826479052891955,0.2,0.004017852,0.9189209714531898,901.6281127929688,0.032080078125,0.0003,4860,-1.7947918336838484
160.5,9,22,4902,461.40719848000003,45056,0.5948102474212646,4892.890312576294,-0.009070837765466421,0.2,0.007727504,0.8320375978946686,1838.3590087890625,0.063720703125,0.0003,4870,-1.7919105857610702
138.02,9,23,5135,468.83606401000003,47104,0.5935230255126953,3252.895274925232,-0.006148736114846542,0.2,0.005981605,0.9427821114659309,2408.2880859375,0.05947265625,0.0003,4880,-1.7903971418738365
136.38,9,24,5361,491.69571355999994,49152,0.5932325720787048,8200.479472351075,-0.00794398632569937,0.2,0.007520031,0.891526535153389,2964.44189453125,0.040283203125,0.0003,4890,-1.7882111735641957
137.71,9,25,5584,476.5512370800001,51200,0.5909315347671509,3949.1117977142335,-0.010320368924294599,0.2,0.0054175993,0.9265009760856628,2166.35400390625,0.043701171875,0.0003,4900,-1.7845444653183222
149.84,9,26,5797,455.64206397000004,53248,0.5908098816871643,5500.262753677368,-0.0065034480358008295,0.2,0.003994126,0.9104434922337532,1119.9398193359375,0.024072265625,0.0003,4910,-1.7795394413173198
