time/time_elapsed,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss
93,-25.14010238647461,0.25256311893463135,947.11669921875,-484.75449549999996,800577,9,4,0.0003,219.5,878,1.7884315252304077
308,14.202221870422363,0.2634737193584442,210.42462158203125,-396.5499283749999,802671,9,8,0.0003,371.5,2972,-0.4398167133331299
390,0.24317359924316406,0.2563241422176361,265.96807861328125,-469.5446544166666,803436,9,12,0.0003,311.4166666666667,3737,-0.026046782732009888
506,-87.6650390625,0.23797444999217987,366.0186767578125,-334.2744375625,804547,9,16,0.0003,303.0,4848,0.5346497297286987
584,20.806386947631836,0.22962255775928497,215.6560821533203,-333.24635995,805274,9,20,0.0003,278.75,5575,-0.37648844718933105
666,104.36296844482422,0.20399941504001617,277.6287841796875,-392.1276040000001,806047,9,24,0.0003,264.5,6348,-0.6288682222366333
755,94.449951171875,0.18664607405662537,112.15631103515625,-387.50100735714295,806885,9,28,0.0003,256.64285714285717,7186,-0.5422098636627197
813,76.36444091796875,0.18090130388736725,209.59475708007812,-342.392174375,807407,9,32,0.0003,240.875,7708,-0.2549125552177429
867,35.25269317626953,0.17100754380226135,220.43447875976562,-367.8412495277778,807897,9,36,0.0003,227.72222222222223,8198,-0.09676122665405273
996,91.5510482788086,0.1712658405303955,180.37974548339844,-385.964842375,809141,9,40,0.0003,236.05,9442,0.2616395056247711
1084,133.19403076171875,0.17361199855804443,289.106201171875,-331.41136784090907,809966,9,44,0.0003,233.3409090909091,10267,0.02380365878343582
1168,86.58518981933594,0.1865578144788742,356.19793701171875,-289.64998966666667,810750,9,48,0.0003,230.22916666666666,11051,0.33406680822372437
1278,31.88735580444336,0.21559526026248932,215.9079132080078,-230.49254559615386,811798,9,52,0.0003,232.67307692307693,12099,0.45687657594680786
1400,64.34603881835938,0.22632281482219696,486.72149658203125,-185.63312866071428,812967,9,56,0.0003,236.92857142857142,13268,0.27521950006484985
1453,26.11794662475586,0.2327580451965332,259.26922607421875,-143.20880801666667,813448,9,60,0.0003,229.15,13749,0.25327548384666443
1568,47.18661117553711,0.22485943138599396,921.4723510742188,-164.78877126562503,814549,9,64,0.0003,232.03125,14850,-0.2652380168437958
1634,38.855140686035156,0.22403079271316528,208.85293579101562,-109.00337069117649,815160,9,68,0.0003,227.36764705882354,15461,0.010159701108932495
1725,64.16203308105469,0.21658335626125336,192.53228759765625,-146.72036070833332,816018,9,72,0.0003,226.65277777777777,16319,-0.4384908676147461
1820,28.60494613647461,0.20868998765945435,396.7432861328125,-180.33984268421054,816914,9,76,0.0003,226.51315789473685,17215,0.04547075927257538
1952,74.54017639160156,0.1989818960428238,299.4766540527344,-205.36367813750002,818180,9,80,0.0003,231.0125,18481,-0.06962157785892487
2044,90.0481185913086,0.19132202863693237,219.70005798339844,-214.40588852380955,819051,9,84,0.0003,230.38095238095238,19352,0.3330172002315521
2103,75.29801940917969,0.19465790688991547,301.6956787109375,-188.130807,819589,9,88,0.0003,226.02272727272728,19890,-0.05786818265914917
2188,75.0103759765625,0.19728615880012512,263.1231994628906,-171.11491333695653,820385,9,92,0.0003,224.84782608695653,20686,0.7495219707489014
2248,36.88582229614258,0.1979840099811554,205.67941284179688,-169.3561721875,820939,9,96,0.0003,221.25,21240,0.575843870639801
2326,60.70573043823242,0.19551849365234375,675.0298461914062,-137.69303506999998,821665,9,100,0.0003,219.66,21966,0.19142350554466248
2406,19.96282386779785,0.19362598657608032,408.30615234375,-110.50024901999997,822411,9,104,0.0003,218.34,22712,0.11441796272993088
2499,58.829673767089844,0.19729720056056976,194.18008422851562,-70.53589609999999,823293,9,108,0.0003,206.22,23594,0.19139555096626282
2558,6.989711761474609,0.2003345638513565,383.5752258300781,-50.09110493,823828,9,112,0.0003,203.92,24129,0.5920734405517578
2647,92.29583740234375,0.20243825018405914,206.16647338867188,-45.58159963000001,824668,9,116,0.0003,201.21,24969,-0.39421379566192627
2734,74.56410217285156,0.20315197110176086,566.8206787109375,-5.2213347699999995,825488,9,120,0.0003,202.14,25789,-0.08523064851760864
2810,109.64148712158203,0.2045082300901413,248.40541076660156,9.447402790000002,826195,9,124,0.0003,201.48,26496,-0.03929689899086952
2885,109.73135375976562,0.2005533128976822,372.0955505371094,14.524720369999995,826893,9,128,0.0003,200.08,27194,-0.15799124538898468
3010,66.53480529785156,0.19389808177947998,252.14138793945312,29.271603590000005,828087,9,132,0.0003,206.8,28388,0.06659077107906342
3106,42.98972702026367,0.1914377212524414,277.2577209472656,33.28266184,828998,9,136,0.0003,211.01,29299,-0.16807003319263458
3169,36.865325927734375,0.19142331182956696,194.78369140625,51.29967056,829581,9,140,0.0003,204.4,29882,0.3137274384498596
3232,17.06361961364746,0.18782657384872437,209.31683349609375,37.76780703,830159,9,144,0.0003,201.93,30460,0.1229504719376564
3275,65.20260620117188,0.19067232310771942,313.68133544921875,49.47837417999998,830539,9,148,0.0003,197.89,30840,0.652611494064331
3328,45.25566864013672,0.19251297414302826,174.51361083984375,63.771722260000004,831013,9,152,0.0003,192.15,31314,-0.2393692284822464
3376,62.51630401611328,0.19418077170848846,212.81280517578125,65.48011222000002,831450,9,156,0.0003,184.83,31751,0.21253737807273865
3481,13.945457458496094,0.19214050471782684,321.6047668457031,43.672486819999996,832438,9,160,0.0003,189.9,32739,0.30686116218566895
3544,54.914939880371094,0.18979507684707642,176.96018981933594,93.76130196000003,833024,9,164,0.0003,184.75,33325,-0.3607759177684784
3637,25.135637283325195,0.19039030373096466,200.95999145507812,48.42342299000003,833904,9,168,0.0003,187.44,34205,0.36243295669555664
3700,93.04389953613281,0.1921379715204239,178.78585815429688,107.3407864,834475,9,172,0.0003,184.57,34776,-0.2556396722793579
3762,10.384620666503906,0.1921999752521515,232.63876342773438,168.62148713000002,835045,9,176,0.0003,181.31,35346,0.052825599908828735
3808,94.41941833496094,0.19403128325939178,371.2560729980469,215.13416429000006,835461,9,180,0.0003,172.81,35762,-0.35839444398880005
3858,66.42042541503906,0.1951134353876114,215.39492797851562,245.45601533000004,835910,9,184,0.0003,168.59,36211,-0.41028428077697754
3933,-30.888463973999023,0.19408001005649567,215.3790283203125,238.92270239000004,836607,9,188,0.0003,170.18,36908,0.2936532199382782
4007,4.783276557922363,0.19369399547576904,205.98797607421875,256.87410177000004,837292,9,192,0.0003,169.07,37593,0.35431936383247375
4098,-10.092971801757812,0.19253069162368774,178.65975952148438,282.51301803,838152,9,196,0.0003,172.13,38453,0.0322626531124115
4195,61.53890609741211,0.18722203373908997,198.27606201171875,239.80182989000008,839067,9,200,0.0003,174.02,39368,-0.3786110281944275
4258,21.641773223876953,0.18294458091259003,187.11146545410156,207.55273914000006,839649,9,204,0.0003,172.38,39950,0.12105569243431091
4362,29.957199096679688,0.18122783303260803,610.34765625,159.43803330000003,840639,9,208,0.0003,173.46,40940,-0.17357303202152252
4461,-11.152013778686523,0.18020713329315186,180.17861938476562,182.12706867999998,841577,9,212,0.0003,177.49,41878,-0.04311276227235794
4564,108.05049896240234,0.17753656208515167,165.195068359375,155.41575641000006,842561,9,216,0.0003,178.93,42862,-0.550900399684906
4643,-1.7540128231048584,0.1753820776939392,211.13607788085938,134.07365217,843302,9,220,0.0003,178.14,43603,-0.2851976156234741
4686,6.483697891235352,0.1739836186170578,260.8936767578125,145.21829236000002,843672,9,224,0.0003,174.77,43973,0.11961572617292404
4775,20.147634506225586,0.17637312412261963,166.89085388183594,158.63916326,844512,9,228,0.0003,176.19,44813,-0.28781041502952576
4835,10.213890075683594,0.17232295870780945,272.65777587890625,140.15552886,845061,9,232,0.0003,169.74,45362,0.06781106442213058
4907,29.615198135375977,0.17470145225524902,180.41207885742188,166.78445952,845737,9,236,0.0003,167.39,46038,-0.1738021820783615
4990,39.16761016845703,0.1736305207014084,257.017822265625,161.73071952,846511,9,240,0.0003,169.3,46812,0.1187722310423851
5067,15.835824966430664,0.17541493475437164,181.23654174804688,174.35815936000003,847235,9,244,0.0003,170.76,47536,-0.17659376561641693
5136,4.137572288513184,0.17512528598308563,201.64706420898438,163.71943815,847874,9,248,0.0003,173.35,48175,-0.23960444331169128
5221,4.718937873840332,0.17545989155769348,257.91546630859375,116.56040015999997,848673,9,252,0.0003,176.6,48974,0.16988162696361542
5265,41.538169860839844,0.17387279868125916,222.81423950195312,133.53560381,849062,9,256,0.0003,176.12,49363,0.4605393409729004
5334,21.78579330444336,0.17330332100391388,266.5060119628906,144.2668369,849701,9,260,0.0003,172.63,50002,0.05357939004898071
5411,37.99125671386719,0.17404353618621826,167.84677124023438,124.19879322999999,850412,9,264,0.0003,173.88,50713,0.04567570984363556
