time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_range
9,213,1.0,1,390.8,-1230.9905204000002,,,,,,,,,,,
9,427,2.0,2,443.8888888888889,-1385.5448077777776,-0.0005826950073242,-2.8449871994555,2566.53955078125,1.0088653564453125,6522.846562576294,0.03310546875,10.0,0.0003,-0.003911868846626,0.0035080907,0.2
9,642,3.0,3,437.2142857142857,-1340.0229595714284,-0.0006803274154663,-2.8623017594218254,3268.363037109375,1.0147695541381836,5428.374198913574,0.0353515625,20.0,0.0003,-0.0065438734585768,0.0052434434,0.2
9,856,4.0,4,405.6666666666667,-1263.1693266111113,-0.0003236532211303,-2.8691378384828568,1478.534912109375,1.0153136253356934,6231.471370506287,0.016259765625,30.0,0.0003,-0.0044810508756199,0.003207927,0.2
9,1073,5.0,5,413.9166666666667,-1108.86574475,-8.58306884765625e-05,-2.852943382412195,1272.8624267578125,0.9984485507011414,5442.072891044617,0.015478515625,40.0,0.0003,-0.0036107757186982,0.0043554287,0.2
9,1286,6.0,6,431.2142857142857,-1159.1488937857143,-6.198883056640625e-06,-2.824402667582035,9121.9609375,0.9938082695007324,17401.403916549683,0.086865234375,50.0,0.0003,-0.0037800896316184,0.00453316,0.2
9,1497,7.0,7,465.56666666666666,-1146.0886353,-0.0049595832824707,-2.823880398273468,1555.9891357421875,0.9927257299423218,4749.631219100952,0.011376953125,60.0,0.0003,-0.0023769559040374,0.0028380458,0.2
9,1710,8.0,8,470.27272727272725,-1176.3229695454545,-0.000417947769165,-2.8250497080385686,150.97183227539062,0.9947440028190612,4960.8084444999695,0.15673828125,70.0,0.0003,0.0057792782070464,0.027745696,0.2
9,1922,9.0,9,502.30555555555554,-1326.5213574444444,3.337860107421875e-06,-2.8232917934656143,1343.677490234375,0.992961049079895,3928.4050159454346,0.083447265625,80.0,0.0003,0.0007626474573044,0.0037258156,0.2
9,2136,10.0,10,508.475,-1324.466986575,-9.894371032714844e-06,-2.821603013575077,2440.745361328125,0.9918391704559326,3721.0312789916993,0.000341796875,90.0,0.0003,-0.0012962243832589,0.0012390333,0.2
9,2347,11.0,11,531.9285714285714,-1351.300859690476,-1.347064971923828e-05,-2.811623025685549,974.26123046875,0.9853342771530152,8665.5488822937,0.042822265625,100.0,0.0003,-0.0025422731327125,0.004208597,0.2
9,2558,12.0,12,553.25,-1395.5866225454545,-0.0001102685928344,-2.804097398370504,254.3501434326172,0.982567012310028,578.828844833374,0.011279296875,110.0,0.0003,-0.0023682910112256,0.0030084646,0.2
9,2771,13.0,13,558.0212765957447,-1360.6774879999998,-4.649162292480469e-06,-2.798063423484564,358.8876342773437,0.9790743589401244,931.9745079040528,0.021240234375,120.0,0.0003,-0.0036806443604291,0.0036921068,0.2
9,2982,14.0,14,576.1020408163265,-1405.1304528979592,-1.9073486328125e-06,-2.8091710053384302,485.8946533203125,0.9944072961807252,6139.418123531342,0.105126953125,130.0,0.0003,0.0003860567252559,0.012110608,0.2
9,3194,15.0,15,587.5576923076923,-1447.7026827115385,-1.4901161193847656e-05,-2.8207533858716487,437.2506103515625,0.9908848404884338,1134.7526720046997,0.014404296875,140.0,0.0003,-0.0035659212124301,0.0027454447,0.2
9,3405,16.0,16,602.8703703703703,-1481.3718379444445,-1.347064971923828e-05,-2.8169587433338164,573.7182006835938,0.9914219379425048,2385.0596450805665,0.001025390625,150.0,0.0003,-0.0014728103204106,0.0018082903,0.2
9,3617,17.0,17,617.0892857142857,-1516.7163418928571,-1.8596649169921875e-05,-2.819075247645378,264.4965515136719,0.9929097890853882,576.3271927833557,0.0193359375,160.0,0.0003,-0.0041620070798671,0.0031207297,0.2
9,3828,18.0,18,619.3275862068965,-1524.3339741896552,-3.0994415283203125e-06,-2.817560742795467,179.69717407226562,0.9894546866416932,480.3451867580414,0.027587890625,170.0,0.0003,-0.0042112029739655,0.0038110092,0.2
9,4040,19.0,19,629.311475409836,-1505.388755147541,-1.6689300537109375e-06,-2.8173109978437423,328.6071472167969,0.9941760897636414,1028.7526760578155,0.02060546875,180.0,0.0003,-0.0024873716232832,0.0024130256,0.2
9,4252,20.0,20,641.1111111111111,-1511.0984941428571,-1.1920928955078125e-07,-2.8269905894994736,125.02430725097656,0.9982150197029114,5519.596781158447,0.150830078125,190.0,0.0003,0.0036164603268844,0.011936922,0.2
9,4463,21.0,21,652.1846153846154,-1534.412574184615,-5.960464477539062e-07,-2.834189468622208,67.34819793701172,1.0002894401550293,206.14160711765288,0.0201171875,200.0,0.0003,-0.0052412870412808,0.0047606807,0.2
9,4674,22.0,22,662.5970149253732,-1547.190894552239,-3.0994415283203125e-06,-2.831727828830481,109.3017349243164,0.9965901374816896,329.4429668903351,0.022607421875,210.0,0.0003,-0.0046829045648337,0.0048954682,0.2
9,4885,23.0,23,672.4057971014493,-1536.9140466086958,-1.1920928955078125e-06,-2.8209629967808723,114.69963073730467,0.9931321144104004,201.99525249004364,0.104296875,220.0,0.0003,0.0009021111676702,0.008288298,0.2
9,5096,24.0,24,679.4507042253521,-1555.889450380282,-4.76837158203125e-07,-2.807163026183844,51.91049575805664,0.9821250438690186,117.62445600032808,0.06357421875,230.0,0.0003,-0.0039010614535072,0.005960363,0.2
