rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_range
159.54545454545453,2048,219,9,-812.5460682727273,1,,,,,,,,,,
174.08695652173913,4096,441,9,-830.6181614782608,2,4770.896484375,0.049951171875,10,-2.701832773536444,0.0007640719413757324,0.01018881,0.0003,13026.030117034912,-0.012279622972710059,0.2
169.42857142857142,6144,662,9,-855.0718557714287,3,4416.57177734375,0.076123046875,20,-2.695248451828957,-6.67572021484375e-06,0.0103271045,0.0003,13034.059780883788,-0.01284332230570726,0.2
170.45833333333334,8192,885,9,-846.4305778125,4,8829.3154296875,0.054833984375,30,-2.6818061910569666,-2.5510787963867188e-05,0.009284671,0.0003,14583.314445495605,-0.013283344346564262,0.2
175.5,10240,1103,9,-832.2675439482758,5,4037.546142578125,0.11806640625,40,-2.6683683544397354,-1.5616416931152344e-05,0.013177242,0.0003,13543.148280334473,-0.017142468501697296,0.2
183.0151515151515,12288,1319,9,-836.2076475151515,6,11641.9248046875,0.12431640625,50,-2.656840754300356,8.165836334228516e-06,0.012430223,0.0003,14612.92700805664,-0.01679159841442015,0.2
192.64383561643837,14336,1534,9,-864.5108496027397,7,3084.183837890625,0.0958984375,60,-2.6475521437823772,5.960464477539063e-08,0.010825209,0.0003,7970.869980239868,-0.01648522125906311,0.2
208.32051282051282,16384,1747,9,-890.279638602564,8,2868.739990234375,0.06474609375,70,-2.6261231653392314,-1.430511474609375e-06,0.009190915,0.0003,7487.299056625367,-0.014614997882745229,0.2
216.48235294117646,18432,1962,9,-906.4833920000001,9,1402.9326171875,0.06025390625,80,-2.609167018532753,-3.933906555175781e-06,0.008486304,0.0003,4920.523042488098,-0.014437738445121796,0.2
226.3932584269663,20480,2174,9,-921.12321252809,10,5284.77001953125,0.068603515625,90,-2.593685840070248,-1.430511474609375e-06,0.008997033,0.0003,6778.711814498902,-0.017726554383989422,0.2
235.66315789473686,22528,2387,9,-932.6573673473684,11,643.1243896484375,0.081884765625,100,-2.568463984131813,-1.3113021850585938e-06,0.009194334,0.0003,3600.330322933197,-0.01707234991772566,0.2
245.59595959595958,24576,2599,9,-957.6290190101009,12,1206.630859375,0.05732421875,110,-2.5596984177827835,-3.5762786865234375e-07,0.00910298,0.0003,5317.170862388611,-0.013013468403369189,0.2
258.68,26624,2811,9,-962.3677461100001,13,754.7020263671875,0.04560546875,120,-2.5251358300447464,-3.5762786865234375e-07,0.0070730103,0.0003,3920.300828170776,-0.013836851215455682,0.2
269.91,28672,3024,9,-987.2824322399999,14,1661.047119140625,0.170703125,130,-2.5141184359788893,-4.76837158203125e-07,0.01313413,0.0003,8633.730534934997,-0.014650161883037072,0.2
285.63,30720,3233,9,-1015.0957707099998,15,1900.99072265625,0.057275390625,140,-2.4501939080655575,-1.1920928955078125e-07,0.008644573,0.0003,4204.284891223908,-0.012042618679697626,0.2
304.24,32768,3443,9,-1040.5745047799999,16,428.6722717285156,0.086572265625,150,-2.421377493441105,-2.384185791015625e-07,0.008310494,0.0003,1016.8844130516052,-0.015488753007957712,0.2
317.06,34816,3653,9,-1050.6060855399999,17,219.88368225097656,0.099267578125,160,-2.4076458647847176,3.5762786865234375e-07,0.00819312,0.0003,856.2742025613785,-0.014973218587692827,0.2
329.43,36864,3862,9,-1072.0634175399998,18,1718.9453125,0.049658203125,170,-2.4092878863215446,-2.384185791015625e-07,0.008725093,0.0003,1454.8287734031678,-0.012085690858657471,0.2
347.7,38912,4071,9,-1094.74359686,19,1985.126708984375,0.086279296875,180,-2.3833900295197963,-7.152557373046875e-07,0.0078272605,0.0003,1497.151189994812,-0.015265307150548324,0.2
361.49,40960,4284,9,-1087.77975538,20,16.778770446777344,0.2498046875,190,-2.361782417446375,2.205371856689453e-06,0.02033569,0.0003,39.46792100667953,-0.026881026898627168,0.2
379.72,43008,4493,9,-1113.4244919699997,21,8294.685546875,0.24404296875,200,-2.3396545007824896,0.0,0.03827273,0.0003,6931.016782379151,0.00012088359508197755,0.2
397.27,45056,4702,9,-1123.10758429,22,85.88675689697266,0.024169921875,210,-2.219801915436983,3.5762786865234375e-07,0.009916075,0.0003,143.39740259647368,-0.004276068872422911,0.2
411.01,47104,4913,9,-1142.96505316,23,28.32562255859375,0.0970703125,220,-2.2266298055648805,-2.7418136596679688e-06,0.010037629,0.0003,51.501137864589694,-0.012229604297317564,0.2
427.97,49152,5122,9,-1171.27987327,24,1300.021728515625,0.003125,230,-2.1545516729354857,-2.384185791015625e-07,0.0021926002,0.0003,2166.594964027405,0.0012839063012506813,0.2
444.16,51200,5331,9,-1200.4527561,25,49.66779327392578,0.00244140625,240,-2.1164052419364454,1.1920928955078125e-07,0.0041010845,0.0003,158.5099002122879,-0.0030843024942441843,0.2
463.38,53248,5541,9,-1213.40421277,26,60.71586990356445,0.005322265625,250,-2.1027147278189657,-9.5367431640625e-07,0.008118283,0.0003,165.55578563213348,-0.004556236437929328,0.2
474.75,55296,5750,9,-1225.4710421799998,27,44.119667053222656,0.136279296875,260,-2.157746957987547,0.0,0.011383124,0.0003,626.7457901716232,-0.009294155010138638,0.2
492.16,57344,5959,9,-1261.61846528,28,147.18765258789062,0.038427734375,270,-2.1275662396103145,-1.1920928955078125e-07,0.007121819,0.0003,573.272049856186,-0.0027809531587990933,0.2
507.53,59392,6168,9,-1282.16649588,29,145.7908935546875,0.015380859375,280,-2.283351989835501,-8.344650268554688e-07,0.0023154407,0.0003,329.9794456958771,-0.0022210265335161237,0.2
526.87,61440,6379,9,-1314.34658224,30,24.928186416625977,0.16318359375,290,-2.1993261240422726,5.364418029785156e-07,0.010663762,0.0003,71.22378764152526,-0.015811234744614922,0.2
535.87,63488,6588,9,-1311.5682294399999,31,219.82876586914062,0.0193359375,300,-2.1712671138346193,-1.1920928955078125e-07,0.003969459,0.0003,1128.2320337533952,-0.003569169646652881,0.2
551.59,65536,6798,9,-1336.88898033,32,848.0748291015625,0.152392578125,310,-2.09650335945189,0.0,0.008018784,0.0003,6615.3944675445555,-0.006585046282270923,0.2
570.22,67584,7008,9,-1381.5889478799998,33,362.67877197265625,0.0,320,-2.1681845776736735,-1.1920928955078125e-07,0.00052710937,0.0003,732.1367270469666,-0.001651360114919953,0.2
586.1,69632,7218,9,-1391.73931382,34,55.729366302490234,0.1419921875,330,-2.1549498707056047,0.0,0.0100460965,0.0003,566.1922314167023,-0.012197648713481613,0.2
597.68,71680,7427,9,-1415.88702351,35,243.49673461914062,0.148046875,340,-2.1313644856214524,0.0,0.014455787,0.0003,6824.703724861145,-0.0018667909927899018,0.2
614.89,73728,7637,9,-1424.79163326,36,111.93212127685547,0.12587890625,350,-2.129742341861129,0.0,0.008990768,0.0003,600.8263988494873,-0.009847781437565572,0.2
621.09,75776,7846,9,-1440.87984169,37,1795.787841796875,0.075341796875,360,-2.1783753857016563,5.960464477539063e-08,0.0037438073,0.0003,6731.26336889267,-0.003519675646384712,0.2
640.91,77824,8058,9,-1468.9820707400004,38,222.34759521484375,0.033251953125,370,-2.144668106734753,0.00510936975479126,0.0067960983,0.0003,678.0697612285614,-0.008178421476623043,0.2
637.04,79872,8268,9,-1448.07627117,39,599.9056396484375,0.0048828125,380,-2.1669484078884125,0.006226003170013428,0.004310813,0.0003,1424.3097711086273,-0.005565207998733968,0.2
648.7,81920,8479,9,-1479.29338032,40,305.7168273925781,0.00048828125,390,-2.2299440167844296,0.10507452487945557,0.0033335127,0.0003,1072.1054337501525,-0.0032818618121382313,0.2
659.48,83968,8691,9,-1504.4102138899998,41,243.16574096679688,0.018408203125,400,-2.2100452236831187,-0.0028312206268310547,0.0056287665,0.0003,1290.0966381549836,-0.00644009707175428,0.2
666.55,86016,8900,9,-1517.5965976399998,42,1276.79150390625,0.004931640625,410,-2.1570985153317452,0.07448965311050415,0.005790879,0.0003,1431.671803689003,-0.005777115264208987,0.2
687.95,88064,9110,9,-1553.51637467,43,382.4004821777344,0.022021484375,420,-2.2080398976802824,0.19492214918136597,0.0058523985,0.0003,480.0677234351635,-0.007355488509347197,0.2
